hotel_id,group,brand,city,parking,pool,children_policy,price,stock,date,language,mobile,avatar_name,order_requests
326,Chillton Worldwide,Chill Garden Inn,amsterdam,0,1,0,317,17,10,austrian,1,coco,3
679,Chillton Worldwide,Tripletree,amsterdam,1,0,0,167,0,10,austrian,1,coco,3
567,Independant,Independant,amsterdam,1,0,0,101,1,10,austrian,1,coco,3
317,Accar Hotels,Marcure,amsterdam,0,0,0,217,14,10,austrian,1,coco,3
77,Accar Hotels,Safitel,amsterdam,0,1,0,449,10,10,austrian,1,coco,3
366,Independant,Independant,amsterdam,1,0,0,87,0,10,austrian,1,coco,3
918,Morriott International,Corlton,amsterdam,1,1,0,373,15,10,austrian,1,coco,3
916,Boss Western,Boss Western,amsterdam,1,0,0,149,8,10,austrian,1,coco,3
676,Independant,Independant,amsterdam,0,0,0,97,4,10,austrian,1,coco,3
892,Chillton Worldwide,Quadrupletree,amsterdam,0,1,0,307,7,10,austrian,1,coco,3
442,Accar Hotels,Marcure,amsterdam,0,0,0,211,13,10,austrian,1,coco,3
269,Yin Yang,Ardisson,amsterdam,0,1,0,168,0,10,austrian,1,coco,3
88,Boss Western,Boss Western,amsterdam,0,0,0,145,0,10,austrian,1,coco,3
529,Morriott International,Corlton,amsterdam,1,0,1,345,9,10,austrian,1,coco,3
680,Independant,Independant,amsterdam,1,0,0,167,0,10,austrian,1,coco,3
715,Yin Yang,Ardisson,amsterdam,0,0,0,193,6,10,austrian,1,coco,3
788,Independant,Independant,amsterdam,1,0,0,120,0,10,austrian,1,coco,3
960,Chillton Worldwide,Chill Garden Inn,amsterdam,0,0,0,368,10,10,austrian,1,coco,3
507,Boss Western,Boss Western,amsterdam,0,0,0,140,8,10,austrian,1,coco,3
83,Yin Yang,Ardisson,amsterdam,0,0,0,194,10,10,austrian,1,coco,3
762,Yin Yang,Ardisson,amsterdam,1,1,0,193,10,10,austrian,1,coco,3
517,Boss Western,Boss Western,amsterdam,1,0,0,143,8,10,austrian,1,coco,3
685,Morriott International,Corlton,amsterdam,0,0,1,452,9,10,austrian,1,coco,3
627,Independant,Independant,amsterdam,0,0,0,117,0,10,austrian,1,coco,3
557,Accar Hotels,Navatel,amsterdam,0,0,0,124,0,10,austrian,1,coco,3
211,Morriott International,CourtYord,amsterdam,1,0,0,163,0,10,austrian,1,coco,3
196,Independant,Independant,amsterdam,1,0,0,121,0,10,austrian,1,coco,3
745,Independant,Independant,amsterdam,0,0,0,115,7,10,austrian,1,coco,3
628,Boss Western,J.Halliday Inn,amsterdam,0,0,0,167,3,10,austrian,1,coco,3
806,Chillton Worldwide,Chill Garden Inn,amsterdam,0,0,1,296,24,10,austrian,1,coco,3
105,Yin Yang,Ardisson,amsterdam,0,0,0,193,10,10,austrian,1,coco,3
429,Chillton Worldwide,Chill Garden Inn,amsterdam,0,0,0,276,27,10,austrian,1,coco,3
783,Yin Yang,8 Premium,amsterdam,1,0,0,110,0,10,austrian,1,coco,3
82,Independant,Independant,amsterdam,0,0,0,120,5,10,austrian,1,coco,3
9,Independant,Independant,amsterdam,0,0,0,93,0,10,austrian,1,coco,3
157,Morriott International,Corlton,amsterdam,0,0,0,328,18,10,austrian,1,coco,3
450,Morriott International,Morriot,amsterdam,0,0,0,189,35,10,austrian,1,coco,3
111,Boss Western,Boss Western,amsterdam,1,0,0,161,6,10,austrian,1,coco,3
146,Chillton Worldwide,Quadrupletree,amsterdam,0,0,0,235,12,10,austrian,1,coco,3
264,Independant,Independant,amsterdam,1,0,0,88,0,10,austrian,1,coco,3
743,Morriott International,CourtYord,amsterdam,1,1,0,191,9,10,austrian,1,coco,3
588,Independant,Independant,amsterdam,0,0,0,192,0,10,austrian,1,coco,3
22,Yin Yang,Ardisson,amsterdam,1,0,0,193,4,10,austrian,1,coco,3
706,Boss Western,Boss Western,amsterdam,0,0,1,140,0,10,austrian,1,coco,3
85,Boss Western,Boss Western,amsterdam,1,0,0,140,4,10,austrian,1,coco,3
878,Independant,Independant,amsterdam,1,0,0,120,8,10,austrian,1,coco,3
807,Chillton Worldwide,Chill Garden Inn,amsterdam,0,1,0,449,10,10,austrian,1,coco,3
657,Chillton Worldwide,Quadrupletree,amsterdam,1,0,0,227,9,10,austrian,1,coco,3
821,Independant,Independant,amsterdam,0,0,0,121,7,10,austrian,1,coco,3
193,Independant,Independant,amsterdam,0,0,0,164,6,10,austrian,1,coco,3
230,Boss Western,Boss Western,amsterdam,1,0,0,202,4,10,austrian,1,coco,3
163,Yin Yang,Royal Lotus,amsterdam,0,1,0,209,12,10,austrian,1,coco,3
140,Boss Western,Boss Western,amsterdam,0,0,0,204,4,10,austrian,1,coco,3
224,Yin Yang,Ardisson,amsterdam,1,0,0,158,18,10,austrian,1,coco,3
214,Chillton Worldwide,Quadrupletree,amsterdam,0,1,0,327,7,10,austrian,1,coco,3
172,Accar Hotels,Navatel,amsterdam,1,0,0,145,4,10,austrian,1,coco,3
778,Independant,Independant,amsterdam,1,0,0,120,0,10,austrian,1,coco,3
369,Independant,Independant,amsterdam,1,0,0,83,0,10,austrian,1,coco,3
867,Independant,Independant,amsterdam,1,0,0,164,0,10,austrian,1,coco,3
166,Boss Western,Boss Western,amsterdam,0,0,0,152,8,10,austrian,1,coco,3
570,Independant,Independant,amsterdam,1,0,0,119,0,10,austrian,1,coco,3
271,Independant,Independant,amsterdam,1,0,0,90,0,10,austrian,1,coco,3
12,Independant,Independant,amsterdam,0,0,0,87,0,10,austrian,1,coco,3
158,Yin Yang,Ardisson,amsterdam,0,0,0,196,10,10,austrian,1,coco,3
387,Accar Hotels,Safitel,amsterdam,1,0,0,461,10,10,austrian,1,coco,3
591,Accar Hotels,Safitel,amsterdam,0,0,0,348,16,10,austrian,1,coco,3
430,Yin Yang,Royal Lotus,amsterdam,0,0,0,175,20,10,austrian,1,coco,3
674,Accar Hotels,Navatel,amsterdam,0,0,0,149,6,10,austrian,1,coco,3
902,Yin Yang,Royal Lotus,amsterdam,1,1,0,233,14,10,austrian,1,coco,3
373,Boss Western,Boss Western,amsterdam,1,0,0,159,4,10,austrian,1,coco,3
460,Accar Hotels,Ibas,amsterdam,0,0,0,92,0,10,austrian,1,coco,3
311,Independant,Independant,amsterdam,1,0,0,113,18,10,austrian,1,coco,3
303,Yin Yang,Royal Lotus,amsterdam,1,1,0,235,6,10,austrian,1,coco,3
10,Chillton Worldwide,Tripletree,amsterdam,0,0,0,168,0,10,austrian,1,coco,3
52,Chillton Worldwide,Tripletree,amsterdam,0,0,0,193,8,10,austrian,1,coco,3
465,Morriott International,Corlton,amsterdam,1,1,0,362,14,10,austrian,1,coco,3
933,Boss Western,J.Halliday Inn,amsterdam,1,0,0,167,0,10,austrian,1,coco,3
777,Yin Yang,Ardisson,amsterdam,0,0,0,199,6,10,austrian,1,coco,3
760,Yin Yang,Royal Lotus,amsterdam,0,0,0,245,8,10,austrian,1,coco,3
352,Independant,Independant,amsterdam,1,0,0,110,27,10,austrian,1,coco,3
493,Chillton Worldwide,Tripletree,amsterdam,0,0,0,194,4,10,austrian,1,coco,3
212,Yin Yang,Royal Lotus,amsterdam,0,1,0,327,7,10,austrian,1,coco,3
880,Boss Western,Boss Western,amsterdam,0,0,0,143,0,10,austrian,1,coco,3
441,Yin Yang,Royal Lotus,amsterdam,0,0,0,235,14,10,austrian,1,coco,3
969,Accar Hotels,Ibas,amsterdam,1,0,0,93,3,10,austrian,1,coco,3
505,Independant,Independant,amsterdam,0,0,1,120,5,10,austrian,1,coco,3
658,Morriott International,CourtYord,amsterdam,1,0,0,196,5,10,austrian,1,coco,3
660,Chillton Worldwide,Tripletree,amsterdam,0,0,0,191,6,10,austrian,1,coco,3
455,Yin Yang,Ardisson,amsterdam,0,0,0,194,13,10,austrian,1,coco,3
581,Independant,Independant,amsterdam,1,0,0,165,3,10,austrian,1,coco,3
253,Accar Hotels,Safitel,amsterdam,0,1,2,351,17,10,austrian,1,coco,3
283,Independant,Independant,amsterdam,1,0,0,127,8,10,austrian,1,coco,3
587,Boss Western,J.Halliday Inn,amsterdam,0,0,0,168,0,10,austrian,1,coco,3
625,Yin Yang,Royal Lotus,amsterdam,1,0,0,268,11,10,austrian,1,coco,3
809,Chillton Worldwide,Chill Garden Inn,amsterdam,0,1,0,360,11,10,austrian,1,coco,3
16,Chillton Worldwide,Tripletree,amsterdam,1,0,0,196,0,10,austrian,1,coco,3
117,Yin Yang,8 Premium,amsterdam,1,0,0,101,4,10,austrian,1,coco,3
971,Chillton Worldwide,Tripletree,amsterdam,1,0,0,196,10,10,austrian,1,coco,3
891,Independant,Independant,amsterdam,1,0,0,136,5,10,austrian,1,coco,3
724,Morriott International,Corlton,amsterdam,1,0,0,328,17,10,austrian,1,coco,3
101,Accar Hotels,Safitel,amsterdam,1,0,0,359,10,10,austrian,1,coco,3
410,Accar Hotels,Navatel,amsterdam,0,0,0,141,8,10,austrian,1,coco,3
86,Independant,Independant,amsterdam,1,0,0,123,0,10,austrian,1,coco,3
750,Independant,Independant,amsterdam,1,1,0,125,9,10,austrian,1,coco,3
945,Chillton Worldwide,Tripletree,amsterdam,0,0,0,199,7,10,austrian,1,coco,3
921,Independant,Independant,amsterdam,0,0,0,101,10,10,austrian,1,coco,3
482,Accar Hotels,Ibas,amsterdam,1,0,0,89,0,10,austrian,1,coco,3
752,Accar Hotels,Safitel,amsterdam,0,0,0,363,11,10,austrian,1,coco,3
779,Morriott International,Morriot,amsterdam,1,0,2,263,11,10,austrian,1,coco,3
630,Boss Western,J.Halliday Inn,amsterdam,0,0,0,170,0,10,austrian,1,coco,3
917,Morriott International,Corlton,amsterdam,1,1,0,365,14,10,austrian,1,coco,3
307,Accar Hotels,Navatel,amsterdam,1,0,0,140,8,10,austrian,1,coco,3
