,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,416,98,50,sofia,30,german,0,3534
1,578,104,73,sofia,30,german,0,3534
2,472,49,76,sofia,30,german,0,3534
3,383,46,69,sofia,30,german,0,3534
4,107,48,25,sofia,30,german,0,3534
5,181,87,75,sofia,30,german,0,3534
6,459,93,54,sofia,30,german,0,3534
7,25,141,106,sofia,30,german,0,3534
8,883,120,70,sofia,30,german,0,3534
9,923,48,41,sofia,30,german,0,3534
10,984,65,25,sofia,30,german,0,3534
11,899,93,47,sofia,30,german,0,3534
12,270,115,65,sofia,30,german,0,3534
13,544,70,21,sofia,30,german,0,3534
14,968,113,69,sofia,30,german,0,3534
15,802,86,48,sofia,30,german,0,3534
16,554,48,58,sofia,30,german,0,3534
17,815,164,105,sofia,30,german,0,3534
18,272,52,22,sofia,30,german,0,3534
19,574,67,23,sofia,30,german,0,3534
20,862,66,43,sofia,30,german,0,3534
21,4,47,22,sofia,30,german,0,3534
22,337,88,61,sofia,30,german,0,3534
23,553,101,30,sofia,30,german,0,3534
24,44,54,19,sofia,30,german,0,3534
25,814,146,111,sofia,30,german,0,3534
26,683,95,60,sofia,30,german,0,3534
27,601,67,40,sofia,30,german,0,3534
28,637,65,28,sofia,30,german,0,3534
29,203,106,71,sofia,30,german,0,3534
30,302,64,70,sofia,30,german,0,3534
31,353,47,31,sofia,30,german,0,3534
32,590,88,59,sofia,30,german,0,3534
33,304,96,81,sofia,30,german,0,3534
34,145,86,58,sofia,30,german,0,3534
35,597,153,107,sofia,30,german,0,3534
36,764,65,25,sofia,30,german,0,3534
37,871,90,58,sofia,30,german,0,3534
38,542,70,40,sofia,30,german,0,3534
39,201,91,46,sofia,30,german,0,3534
40,287,158,103,sofia,30,german,0,3534
41,137,48,25,sofia,30,german,0,3534
42,13,61,26,sofia,30,german,0,3534
43,470,66,38,sofia,30,german,0,3534
44,262,88,50,sofia,30,german,0,3534
45,653,104,76,sofia,30,german,0,3534
46,143,63,55,sofia,30,german,0,3534
47,190,49,22,sofia,30,german,0,3534
48,608,95,48,sofia,30,german,0,3534
49,141,94,58,sofia,30,german,0,3534
50,109,90,56,sofia,30,german,0,3534
51,649,144,126,sofia,30,german,0,3534
52,852,51,22,sofia,30,german,0,3534
53,665,63,37,sofia,30,german,0,3534
54,208,70,26,sofia,30,german,0,3534
