,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,594,438,1,amsterdam,1,romanian,0,3535
1,570,112,0,amsterdam,1,romanian,0,3535
2,658,185,0,amsterdam,1,romanian,0,3535
3,892,290,1,amsterdam,1,romanian,0,3535
4,778,113,0,amsterdam,1,romanian,0,3535
5,214,308,1,amsterdam,1,romanian,0,3535
6,117,95,0,amsterdam,1,romanian,0,3535
7,269,158,0,amsterdam,1,romanian,0,3535
8,475,110,0,amsterdam,1,romanian,0,3535
9,660,180,0,amsterdam,1,romanian,0,3535
10,878,113,0,amsterdam,1,romanian,0,3535
11,627,110,0,amsterdam,1,romanian,0,3535
12,410,133,1,amsterdam,1,romanian,0,3535
13,762,182,1,amsterdam,1,romanian,0,3535
14,676,95,0,amsterdam,1,romanian,0,3535
15,585,81,1,amsterdam,1,romanian,0,3535
16,557,117,0,amsterdam,1,romanian,0,3535
17,303,221,0,amsterdam,1,romanian,0,3535
18,375,110,0,amsterdam,1,romanian,0,3535
19,111,152,2,amsterdam,1,romanian,0,3535
20,760,284,1,amsterdam,1,romanian,0,3535
21,783,104,0,amsterdam,1,romanian,0,3535
22,163,303,1,amsterdam,1,romanian,0,3535
23,745,114,0,amsterdam,1,romanian,0,3535
24,83,183,0,amsterdam,1,romanian,0,3535
25,455,183,8,amsterdam,1,romanian,0,3535
26,933,157,0,amsterdam,1,romanian,0,3535
27,588,181,0,amsterdam,1,romanian,0,3535
28,567,95,0,amsterdam,1,romanian,0,3535
29,172,137,0,amsterdam,1,romanian,0,3535
30,515,425,1,amsterdam,1,romanian,0,3535
31,85,164,0,amsterdam,1,romanian,0,3535
32,679,157,0,amsterdam,1,romanian,0,3535
33,960,425,1,amsterdam,1,romanian,0,3535
34,12,82,0,amsterdam,1,romanian,0,3535
35,317,212,1,amsterdam,1,romanian,0,3535
36,788,113,0,amsterdam,1,romanian,0,3535
37,867,154,0,amsterdam,1,romanian,0,3535
38,82,113,0,amsterdam,1,romanian,0,3535
