,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,941,71,0,madrid,3,romanian,1,3535
1,20,75,0,madrid,3,romanian,1,3535
2,780,364,3,madrid,3,romanian,1,3535
3,904,118,0,madrid,3,romanian,1,3535
4,798,368,2,madrid,3,romanian,1,3535
5,619,129,0,madrid,3,romanian,1,3535
6,384,187,4,madrid,3,romanian,1,3535
7,721,72,0,madrid,3,romanian,1,3535
8,164,153,2,madrid,3,romanian,1,3535
9,427,264,2,madrid,3,romanian,1,3535
10,615,113,0,madrid,3,romanian,1,3535
11,149,186,0,madrid,3,romanian,1,3535
12,414,68,0,madrid,3,romanian,1,3535
13,205,92,0,madrid,3,romanian,1,3535
14,93,272,5,madrid,3,romanian,1,3535
15,284,156,3,madrid,3,romanian,1,3535
16,67,209,16,madrid,3,romanian,1,3535
17,322,87,4,madrid,3,romanian,1,3535
18,886,168,1,madrid,3,romanian,1,3535
19,909,70,0,madrid,3,romanian,1,3535
20,997,153,0,madrid,3,romanian,1,3535
21,499,257,2,madrid,3,romanian,1,3535
22,789,80,0,madrid,3,romanian,1,3535
23,54,94,0,madrid,3,romanian,1,3535
24,175,114,0,madrid,3,romanian,1,3535
25,108,100,0,madrid,3,romanian,1,3535
26,860,154,2,madrid,3,romanian,1,3535
27,527,154,0,madrid,3,romanian,1,3535
28,120,153,2,madrid,3,romanian,1,3535
29,478,116,2,madrid,3,romanian,1,3535
30,351,97,1,madrid,3,romanian,1,3535
31,633,156,2,madrid,3,romanian,1,3535
32,7,98,0,madrid,3,romanian,1,3535
33,828,121,3,madrid,3,romanian,1,3535
34,413,271,6,madrid,3,romanian,1,3535
35,729,354,3,madrid,3,romanian,1,3535
36,126,103,2,madrid,3,romanian,1,3535
37,39,114,2,madrid,3,romanian,1,3535
38,575,92,22,madrid,3,romanian,1,3535
39,847,88,8,madrid,3,romanian,1,3535
40,939,179,0,madrid,3,romanian,1,3535
41,936,156,2,madrid,3,romanian,1,3535
42,966,83,1,madrid,3,romanian,1,3535
43,233,157,0,madrid,3,romanian,1,3535
44,388,132,0,madrid,3,romanian,1,3535
45,901,373,3,madrid,3,romanian,1,3535
46,246,375,3,madrid,3,romanian,1,3535
47,500,71,0,madrid,3,romanian,1,3535
48,277,225,7,madrid,3,romanian,1,3535
49,982,244,2,madrid,3,romanian,1,3535
50,964,156,0,madrid,3,romanian,1,3535
51,561,66,4,madrid,3,romanian,1,3535
52,618,114,0,madrid,3,romanian,1,3535
53,888,225,16,madrid,3,romanian,1,3535
54,857,114,2,madrid,3,romanian,1,3535
55,458,83,2,madrid,3,romanian,1,3535
56,439,113,0,madrid,3,romanian,1,3535
57,75,149,1,madrid,3,romanian,1,3535
58,297,366,3,madrid,3,romanian,1,3535
59,185,154,0,madrid,3,romanian,1,3535
60,697,156,2,madrid,3,romanian,1,3535
61,276,73,0,madrid,3,romanian,1,3535
62,252,264,2,madrid,3,romanian,1,3535
63,2,96,0,madrid,3,romanian,1,3535
64,313,72,0,madrid,3,romanian,1,3535
65,31,114,2,madrid,3,romanian,1,3535
66,689,92,0,madrid,3,romanian,1,3535
67,873,227,8,madrid,3,romanian,1,3535
68,525,140,1,madrid,3,romanian,1,3535
69,312,115,0,madrid,3,romanian,1,3535
70,791,116,2,madrid,3,romanian,1,3535
71,97,240,6,madrid,3,romanian,1,3535
72,393,156,4,madrid,3,romanian,1,3535
73,606,253,0,madrid,3,romanian,1,3535
74,285,95,0,madrid,3,romanian,1,3535
75,398,68,2,madrid,3,romanian,1,3535
76,733,155,1,madrid,3,romanian,1,3535
77,138,72,0,madrid,3,romanian,1,3535
78,870,75,0,madrid,3,romanian,1,3535
79,600,66,0,madrid,3,romanian,1,3535
80,822,196,4,madrid,3,romanian,1,3535
81,468,70,0,madrid,3,romanian,1,3535
82,717,375,3,madrid,3,romanian,1,3535
83,310,68,0,madrid,3,romanian,1,3535
84,747,184,4,madrid,3,romanian,1,3535
85,800,97,0,madrid,3,romanian,1,3535
86,241,132,0,madrid,3,romanian,1,3535
87,378,133,0,madrid,3,romanian,1,3535
88,235,157,2,madrid,3,romanian,1,3535
89,102,350,3,madrid,3,romanian,1,3535
90,174,136,8,madrid,3,romanian,1,3535
91,845,337,3,madrid,3,romanian,1,3535
92,333,110,2,madrid,3,romanian,1,3535
93,483,98,0,madrid,3,romanian,1,3535
94,79,119,2,madrid,3,romanian,1,3535
95,261,149,2,madrid,3,romanian,1,3535
96,154,342,3,madrid,3,romanian,1,3535
97,737,153,13,madrid,3,romanian,1,3535
98,147,182,0,madrid,3,romanian,1,3535
99,186,135,0,madrid,3,romanian,1,3535
100,411,97,0,madrid,3,romanian,1,3535
101,444,147,2,madrid,3,romanian,1,3535
102,768,381,3,madrid,3,romanian,1,3535
103,127,73,0,madrid,3,romanian,1,3535
104,135,364,3,madrid,3,romanian,1,3535
105,538,129,2,madrid,3,romanian,1,3535
106,495,362,3,madrid,3,romanian,1,3535
