,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,791,118,4,madrid,5,croatian,0,3535
1,413,277,10,madrid,5,croatian,0,3535
2,904,120,2,madrid,5,croatian,0,3535
3,860,157,4,madrid,5,croatian,0,3535
4,822,200,6,madrid,5,croatian,0,3535
5,313,74,0,madrid,5,croatian,0,3535
6,393,159,6,madrid,5,croatian,0,3535
7,499,263,4,madrid,5,croatian,0,3535
8,619,132,0,madrid,5,croatian,0,3535
9,828,123,4,madrid,5,croatian,0,3535
10,845,344,5,madrid,5,croatian,0,3535
11,20,76,0,madrid,5,croatian,0,3535
12,135,372,5,madrid,5,croatian,0,3535
13,733,158,2,madrid,5,croatian,0,3535
14,174,139,11,madrid,5,croatian,0,3535
15,527,157,0,madrid,5,croatian,0,3535
16,164,156,4,madrid,5,croatian,0,3535
17,789,81,0,madrid,5,croatian,0,3535
18,768,390,5,madrid,5,croatian,0,3535
19,175,117,0,madrid,5,croatian,0,3535
20,847,90,11,madrid,5,croatian,0,3535
21,964,159,0,madrid,5,croatian,0,3535
22,154,350,5,madrid,5,croatian,0,3535
23,966,85,2,madrid,5,croatian,0,3535
24,606,258,4,madrid,5,croatian,0,3535
25,277,229,11,madrid,5,croatian,0,3535
26,31,117,4,madrid,5,croatian,0,3535
27,351,99,2,madrid,5,croatian,0,3535
28,982,249,4,madrid,5,croatian,0,3535
29,936,159,4,madrid,5,croatian,0,3535
30,575,94,24,madrid,5,croatian,0,3535
31,483,100,0,madrid,5,croatian,0,3535
32,411,99,0,madrid,5,croatian,0,3535
33,205,94,0,madrid,5,croatian,0,3535
34,149,190,0,madrid,5,croatian,0,3535
35,388,135,0,madrid,5,croatian,0,3535
36,729,362,5,madrid,5,croatian,0,3535
37,93,278,7,madrid,5,croatian,0,3535
38,67,214,20,madrid,5,croatian,0,3535
39,886,172,2,madrid,5,croatian,0,3535
40,54,96,0,madrid,5,croatian,0,3535
41,697,159,4,madrid,5,croatian,0,3535
42,721,73,0,madrid,5,croatian,0,3535
43,79,121,4,madrid,5,croatian,0,3535
44,285,97,0,madrid,5,croatian,0,3535
45,747,188,7,madrid,5,croatian,0,3535
46,600,68,0,madrid,5,croatian,0,3535
47,241,135,0,madrid,5,croatian,0,3535
48,561,68,5,madrid,5,croatian,0,3535
49,737,156,17,madrid,5,croatian,0,3535
50,939,183,0,madrid,5,croatian,0,3535
51,102,292,5,madrid,5,croatian,0,3535
52,297,374,5,madrid,5,croatian,0,3535
53,120,156,4,madrid,5,croatian,0,3535
54,75,153,2,madrid,5,croatian,0,3535
55,2,98,0,madrid,5,croatian,0,3535
56,186,138,0,madrid,5,croatian,0,3535
57,873,232,12,madrid,5,croatian,0,3535
58,478,118,3,madrid,5,croatian,0,3535
59,7,100,0,madrid,5,croatian,0,3535
60,997,156,2,madrid,5,croatian,0,3535
61,800,99,0,madrid,5,croatian,0,3535
62,500,72,4,madrid,5,croatian,0,3535
63,495,370,5,madrid,5,croatian,0,3535
64,322,88,5,madrid,5,croatian,0,3535
65,127,74,0,madrid,5,croatian,0,3535
66,310,70,0,madrid,5,croatian,0,3535
67,246,383,5,madrid,5,croatian,0,3535
68,941,72,0,madrid,5,croatian,0,3535
69,427,270,4,madrid,5,croatian,0,3535
70,633,159,4,madrid,5,croatian,0,3535
71,108,103,0,madrid,5,croatian,0,3535
72,97,245,10,madrid,5,croatian,0,3535
73,126,105,4,madrid,5,croatian,0,3535
74,525,143,2,madrid,5,croatian,0,3535
75,870,76,0,madrid,5,croatian,0,3535
76,414,70,0,madrid,5,croatian,0,3535
77,235,160,4,madrid,5,croatian,0,3535
78,185,157,0,madrid,5,croatian,0,3535
79,888,229,20,madrid,5,croatian,0,3535
80,147,186,0,madrid,5,croatian,0,3535
81,780,372,5,madrid,5,croatian,0,3535
82,233,160,0,madrid,5,croatian,0,3535
83,689,94,0,madrid,5,croatian,0,3535
84,284,159,5,madrid,5,croatian,0,3535
85,444,130,4,madrid,5,croatian,0,3535
86,39,117,3,madrid,5,croatian,0,3535
87,261,153,4,madrid,5,croatian,0,3535
88,312,118,0,madrid,5,croatian,0,3535
89,398,69,2,madrid,5,croatian,0,3535
90,901,381,5,madrid,5,croatian,0,3535
91,333,112,4,madrid,5,croatian,0,3535
92,798,376,4,madrid,5,croatian,0,3535
93,138,73,0,madrid,5,croatian,0,3535
94,252,270,4,madrid,5,croatian,0,3535
95,909,71,0,madrid,5,croatian,0,3535
96,717,383,5,madrid,5,croatian,0,3535
97,384,192,6,madrid,5,croatian,0,3535
98,458,85,4,madrid,5,croatian,0,3535
99,615,116,0,madrid,5,croatian,0,3535
100,857,117,4,madrid,5,croatian,0,3535
101,468,71,0,madrid,5,croatian,0,3535
102,378,136,0,madrid,5,croatian,0,3535
103,439,116,0,madrid,5,croatian,0,3535
104,276,75,0,madrid,5,croatian,0,3535
105,538,121,4,madrid,5,croatian,0,3535
106,618,117,0,madrid,5,croatian,0,3535
