,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,997,153,2,madrid,5,luxembourgish,1,3535
1,495,363,5,madrid,5,luxembourgish,1,3535
2,747,185,7,madrid,5,luxembourgish,1,3535
3,205,92,0,madrid,5,luxembourgish,1,3535
4,936,156,4,madrid,5,luxembourgish,1,3535
5,600,66,0,madrid,5,luxembourgish,1,3535
6,845,338,5,madrid,5,luxembourgish,1,3535
7,483,99,0,madrid,5,luxembourgish,1,3535
8,322,87,5,madrid,5,luxembourgish,1,3535
9,789,80,0,madrid,5,luxembourgish,1,3535
10,147,182,0,madrid,5,luxembourgish,1,3535
11,79,119,4,madrid,5,luxembourgish,1,3535
12,427,264,4,madrid,5,luxembourgish,1,3535
13,174,137,11,madrid,5,luxembourgish,1,3535
14,414,69,0,madrid,5,luxembourgish,1,3535
15,888,225,20,madrid,5,luxembourgish,1,3535
16,689,92,0,madrid,5,luxembourgish,1,3535
17,20,75,0,madrid,5,luxembourgish,1,3535
18,737,153,17,madrid,5,luxembourgish,1,3535
19,384,188,6,madrid,5,luxembourgish,1,3535
20,127,73,0,madrid,5,luxembourgish,1,3535
21,235,157,4,madrid,5,luxembourgish,1,3535
22,606,253,4,madrid,5,luxembourgish,1,3535
23,54,94,0,madrid,5,luxembourgish,1,3535
24,67,210,20,madrid,5,luxembourgish,1,3535
25,312,116,0,madrid,5,luxembourgish,1,3535
26,886,168,2,madrid,5,luxembourgish,1,3535
27,138,72,0,madrid,5,luxembourgish,1,3535
28,468,70,0,madrid,5,luxembourgish,1,3535
29,252,264,4,madrid,5,luxembourgish,1,3535
30,31,115,4,madrid,5,luxembourgish,1,3535
31,901,374,5,madrid,5,luxembourgish,1,3535
32,941,71,0,madrid,5,luxembourgish,1,3535
33,164,153,4,madrid,5,luxembourgish,1,3535
34,798,369,4,madrid,5,luxembourgish,1,3535
35,313,72,0,madrid,5,luxembourgish,1,3535
36,939,179,0,madrid,5,luxembourgish,1,3535
37,478,116,3,madrid,5,luxembourgish,1,3535
38,135,365,5,madrid,5,luxembourgish,1,3535
39,847,88,11,madrid,5,luxembourgish,1,3535
40,175,115,0,madrid,5,luxembourgish,1,3535
41,697,156,4,madrid,5,luxembourgish,1,3535
42,982,245,4,madrid,5,luxembourgish,1,3535
43,729,355,5,madrid,5,luxembourgish,1,3535
44,857,115,4,madrid,5,luxembourgish,1,3535
45,439,114,0,madrid,5,luxembourgish,1,3535
46,904,118,2,madrid,5,luxembourgish,1,3535
47,398,68,2,madrid,5,luxembourgish,1,3535
48,768,382,5,madrid,5,luxembourgish,1,3535
49,444,128,4,madrid,5,luxembourgish,1,3535
50,618,115,0,madrid,5,luxembourgish,1,3535
51,102,286,5,madrid,5,luxembourgish,1,3535
52,7,99,0,madrid,5,luxembourgish,1,3535
53,93,273,7,madrid,5,luxembourgish,1,3535
54,108,101,0,madrid,5,luxembourgish,1,3535
55,126,103,4,madrid,5,luxembourgish,1,3535
56,413,272,10,madrid,5,luxembourgish,1,3535
57,185,154,0,madrid,5,luxembourgish,1,3535
58,527,154,0,madrid,5,luxembourgish,1,3535
59,277,225,11,madrid,5,luxembourgish,1,3535
60,822,197,6,madrid,5,luxembourgish,1,3535
61,615,114,0,madrid,5,luxembourgish,1,3535
62,909,70,0,madrid,5,luxembourgish,1,3535
63,966,84,2,madrid,5,luxembourgish,1,3535
64,791,116,4,madrid,5,luxembourgish,1,3535
65,261,150,4,madrid,5,luxembourgish,1,3535
66,97,240,10,madrid,5,luxembourgish,1,3535
67,120,153,4,madrid,5,luxembourgish,1,3535
68,333,110,4,madrid,5,luxembourgish,1,3535
69,800,97,0,madrid,5,luxembourgish,1,3535
70,246,376,5,madrid,5,luxembourgish,1,3535
71,458,84,4,madrid,5,luxembourgish,1,3535
72,500,71,4,madrid,5,luxembourgish,1,3535
73,388,132,0,madrid,5,luxembourgish,1,3535
74,733,155,2,madrid,5,luxembourgish,1,3535
75,619,130,0,madrid,5,luxembourgish,1,3535
76,525,140,2,madrid,5,luxembourgish,1,3535
77,310,69,0,madrid,5,luxembourgish,1,3535
78,411,97,0,madrid,5,luxembourgish,1,3535
79,378,133,0,madrid,5,luxembourgish,1,3535
80,154,343,5,madrid,5,luxembourgish,1,3535
81,186,135,0,madrid,5,luxembourgish,1,3535
82,149,187,0,madrid,5,luxembourgish,1,3535
83,276,73,0,madrid,5,luxembourgish,1,3535
84,717,376,5,madrid,5,luxembourgish,1,3535
85,873,227,12,madrid,5,luxembourgish,1,3535
86,575,92,24,madrid,5,luxembourgish,1,3535
87,241,132,0,madrid,5,luxembourgish,1,3535
88,284,156,5,madrid,5,luxembourgish,1,3535
89,633,156,4,madrid,5,luxembourgish,1,3535
90,39,115,3,madrid,5,luxembourgish,1,3535
91,351,97,2,madrid,5,luxembourgish,1,3535
92,285,95,0,madrid,5,luxembourgish,1,3535
93,721,72,0,madrid,5,luxembourgish,1,3535
94,75,150,2,madrid,5,luxembourgish,1,3535
95,561,66,5,madrid,5,luxembourgish,1,3535
96,393,156,6,madrid,5,luxembourgish,1,3535
97,538,119,4,madrid,5,luxembourgish,1,3535
98,860,154,4,madrid,5,luxembourgish,1,3535
99,233,157,0,madrid,5,luxembourgish,1,3535
100,870,75,0,madrid,5,luxembourgish,1,3535
101,964,156,0,madrid,5,luxembourgish,1,3535
102,499,258,4,madrid,5,luxembourgish,1,3535
103,780,365,5,madrid,5,luxembourgish,1,3535
104,2,96,0,madrid,5,luxembourgish,1,3535
105,828,121,4,madrid,5,luxembourgish,1,3535
106,297,367,5,madrid,5,luxembourgish,1,3535
