,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,986,344,1,paris,2,czech,1,3535
1,259,147,0,paris,2,czech,1,3535
2,803,389,2,paris,2,czech,1,3535
3,115,105,18,paris,2,czech,1,3535
4,866,488,2,paris,2,czech,1,3535
5,14,167,0,paris,2,czech,1,3535
6,868,307,1,paris,2,czech,1,3535
7,560,183,2,paris,2,czech,1,3535
8,314,125,0,paris,2,czech,1,3535
9,225,204,0,paris,2,czech,1,3535
10,290,188,2,paris,2,czech,1,3535
11,980,122,0,paris,2,czech,1,3535
12,192,127,0,paris,2,czech,1,3535
13,723,92,0,paris,2,czech,1,3535
14,308,318,1,paris,2,czech,1,3535
15,357,185,2,paris,2,czech,1,3535
16,182,174,0,paris,2,czech,1,3535
17,949,423,2,paris,2,czech,1,3535
18,912,176,0,paris,2,czech,1,3535
19,795,177,0,paris,2,czech,1,3535
20,738,141,1,paris,2,czech,1,3535
21,327,243,0,paris,2,czech,1,3535
22,903,95,0,paris,2,czech,1,3535
23,970,352,3,paris,2,czech,1,3535
24,741,203,2,paris,2,czech,1,3535
25,484,136,2,paris,2,czech,1,3535
26,736,221,1,paris,2,czech,1,3535
27,467,251,45,paris,2,czech,1,3535
28,447,145,0,paris,2,czech,1,3535
29,509,95,0,paris,2,czech,1,3535
30,573,368,2,paris,2,czech,1,3535
31,885,204,2,paris,2,czech,1,3535
32,595,201,0,paris,2,czech,1,3535
33,823,335,1,paris,2,czech,1,3535
34,708,185,2,paris,2,czech,1,3535
35,946,346,1,paris,2,czech,1,3535
36,95,486,2,paris,2,czech,1,3535
37,647,153,0,paris,2,czech,1,3535
38,579,91,0,paris,2,czech,1,3535
39,123,166,1,paris,2,czech,1,3535
40,254,176,0,paris,2,czech,1,3535
41,238,170,0,paris,2,czech,1,3535
42,257,201,0,paris,2,czech,1,3535
43,248,335,1,paris,2,czech,1,3535
44,62,92,0,paris,2,czech,1,3535
45,359,139,1,paris,2,czech,1,3535
46,645,173,0,paris,2,czech,1,3535
47,150,223,10,paris,2,czech,1,3535
48,634,93,0,paris,2,czech,1,3535
49,229,218,3,paris,2,czech,1,3535
50,792,84,4,paris,2,czech,1,3535
51,188,83,8,paris,2,czech,1,3535
52,910,94,0,paris,2,czech,1,3535
53,274,204,0,paris,2,czech,1,3535
54,227,91,0,paris,2,czech,1,3535
55,132,480,2,paris,2,czech,1,3535
56,216,258,4,paris,2,czech,1,3535
57,130,338,1,paris,2,czech,1,3535
58,564,98,0,paris,2,czech,1,3535
59,851,95,0,paris,2,czech,1,3535
60,742,447,2,paris,2,czech,1,3535
61,841,93,0,paris,2,czech,1,3535
62,640,206,0,paris,2,czech,1,3535
63,29,341,1,paris,2,czech,1,3535
64,756,264,2,paris,2,czech,1,3535
65,734,151,0,paris,2,czech,1,3535
66,837,448,2,paris,2,czech,1,3535
67,339,271,2,paris,2,czech,1,3535
68,882,237,0,paris,2,czech,1,3535
69,808,472,2,paris,2,czech,1,3535
70,299,123,0,paris,2,czech,1,3535
71,222,364,3,paris,2,czech,1,3535
72,24,439,2,paris,2,czech,1,3535
73,998,240,0,paris,2,czech,1,3535
74,449,218,2,paris,2,czech,1,3535
75,49,173,0,paris,2,czech,1,3535
76,165,159,2,paris,2,czech,1,3535
77,963,145,0,paris,2,czech,1,3535
78,797,155,0,paris,2,czech,1,3535
79,937,300,1,paris,2,czech,1,3535
80,911,164,4,paris,2,czech,1,3535
81,65,173,0,paris,2,czech,1,3535
82,27,379,4,paris,2,czech,1,3535
83,817,323,1,paris,2,czech,1,3535
84,614,94,0,paris,2,czech,1,3535
85,748,341,1,paris,2,czech,1,3535
86,331,97,2,paris,2,czech,1,3535
87,884,238,0,paris,2,czech,1,3535
88,663,153,4,paris,2,czech,1,3535
89,397,457,2,paris,2,czech,1,3535
90,176,92,0,paris,2,czech,1,3535
91,617,480,2,paris,2,czech,1,3535
92,21,92,0,paris,2,czech,1,3535
93,612,223,2,paris,2,czech,1,3535
94,705,153,0,paris,2,czech,1,3535
95,474,180,2,paris,2,czech,1,3535
96,842,474,2,paris,2,czech,1,3535
97,790,486,2,paris,2,czech,1,3535
98,700,175,57,paris,2,czech,1,3535
99,825,185,3,paris,2,czech,1,3535
