,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,785,304,1,paris,2,portuguese,0,3535
1,723,92,0,paris,2,portuguese,0,3535
2,803,389,2,paris,2,portuguese,0,3535
3,980,122,0,paris,2,portuguese,0,3535
4,159,338,1,paris,2,portuguese,0,3535
5,910,94,0,paris,2,portuguese,0,3535
6,359,151,1,paris,2,portuguese,0,3535
7,736,240,1,paris,2,portuguese,0,3535
8,580,151,4,paris,2,portuguese,0,3535
9,182,174,0,paris,2,portuguese,0,3535
10,248,335,1,paris,2,portuguese,0,3535
11,584,494,2,paris,2,portuguese,0,3535
12,912,176,0,paris,2,portuguese,0,3535
13,327,243,0,paris,2,portuguese,0,3535
14,617,480,2,paris,2,portuguese,0,3535
15,449,237,2,paris,2,portuguese,0,3535
16,782,395,4,paris,2,portuguese,0,3535
17,634,93,0,paris,2,portuguese,0,3535
18,825,201,3,paris,2,portuguese,0,3535
19,314,125,0,paris,2,portuguese,0,3535
20,823,335,1,paris,2,portuguese,0,3535
21,599,110,14,paris,2,portuguese,0,3535
22,62,92,0,paris,2,portuguese,0,3535
23,614,94,0,paris,2,portuguese,0,3535
24,199,245,0,paris,2,portuguese,0,3535
25,948,258,2,paris,2,portuguese,0,3535
26,492,125,0,paris,2,portuguese,0,3535
27,975,177,4,paris,2,portuguese,0,3535
28,467,273,45,paris,2,portuguese,0,3535
29,254,176,0,paris,2,portuguese,0,3535
30,176,92,0,paris,2,portuguese,0,3535
31,735,208,1,paris,2,portuguese,0,3535
32,534,427,2,paris,2,portuguese,0,3535
33,474,196,2,paris,2,portuguese,0,3535
34,808,472,2,paris,2,portuguese,0,3535
35,342,129,0,paris,2,portuguese,0,3535
36,842,474,2,paris,2,portuguese,0,3535
37,576,243,0,paris,2,portuguese,0,3535
38,259,147,0,paris,2,portuguese,0,3535
39,926,201,10,paris,2,portuguese,0,3535
40,115,115,18,paris,2,portuguese,0,3535
41,776,170,0,paris,2,portuguese,0,3535
42,863,488,2,paris,2,portuguese,0,3535
43,132,480,2,paris,2,portuguese,0,3535
44,308,318,1,paris,2,portuguese,0,3535
45,257,201,0,paris,2,portuguese,0,3535
46,477,90,0,paris,2,portuguese,0,3535
47,700,190,57,paris,2,portuguese,0,3535
48,571,488,1,paris,2,portuguese,0,3535
49,379,377,2,paris,2,portuguese,0,3535
50,631,88,0,paris,2,portuguese,0,3535
51,841,93,0,paris,2,portuguese,0,3535
52,49,173,0,paris,2,portuguese,0,3535
53,436,264,19,paris,2,portuguese,0,3535
54,705,153,0,paris,2,portuguese,0,3535
55,868,307,1,paris,2,portuguese,0,3535
56,274,204,0,paris,2,portuguese,0,3535
57,629,93,0,paris,2,portuguese,0,3535
58,795,177,0,paris,2,portuguese,0,3535
59,119,338,1,paris,2,portuguese,0,3535
60,392,203,0,paris,2,portuguese,0,3535
61,305,206,2,paris,2,portuguese,0,3535
