,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,521,88,2,valletta,5,estonian,1,3535
1,237,171,5,valletta,5,estonian,1,3535
2,746,165,8,valletta,5,estonian,1,3535
3,404,143,0,valletta,5,estonian,1,3535
4,81,167,4,valletta,5,estonian,1,3535
5,371,101,0,valletta,5,estonian,1,3535
6,592,404,5,valletta,5,estonian,1,3535
7,512,268,4,valletta,5,estonian,1,3535
8,134,80,0,valletta,5,estonian,1,3535
9,598,144,0,valletta,5,estonian,1,3535
10,905,167,0,valletta,5,estonian,1,3535
11,363,167,4,valletta,5,estonian,1,3535
12,501,92,1,valletta,5,estonian,1,3535
13,476,127,12,valletta,5,estonian,1,3535
14,360,201,7,valletta,5,estonian,1,3535
15,832,161,0,valletta,5,estonian,1,3535
16,965,167,5,valletta,5,estonian,1,3535
17,55,125,0,valletta,5,estonian,1,3535
18,282,165,4,valletta,5,estonian,1,3535
19,424,282,4,valletta,5,estonian,1,3535
20,244,402,5,valletta,5,estonian,1,3535
21,106,170,11,valletta,5,estonian,1,3535
22,295,75,0,valletta,5,estonian,1,3535
23,209,72,0,valletta,5,estonian,1,3535
24,643,79,0,valletta,5,estonian,1,3535
25,709,142,0,valletta,5,estonian,1,3535
26,732,201,7,valletta,5,estonian,1,3535
27,376,284,4,valletta,5,estonian,1,3535
28,861,228,6,valletta,5,estonian,1,3535
29,400,100,14,valletta,5,estonian,1,3535
30,985,70,6,valletta,5,estonian,1,3535
31,504,195,7,valletta,5,estonian,1,3535
32,718,165,0,valletta,5,estonian,1,3535
33,639,278,4,valletta,5,estonian,1,3535
34,480,77,0,valletta,5,estonian,1,3535
35,334,82,0,valletta,5,estonian,1,3535
36,377,142,0,valletta,5,estonian,1,3535
37,988,168,4,valletta,5,estonian,1,3535
38,466,170,0,valletta,5,estonian,1,3535
39,859,142,0,valletta,5,estonian,1,3535
40,200,134,10,valletta,5,estonian,1,3535
41,325,103,0,valletta,5,estonian,1,3535
42,749,126,0,valletta,5,estonian,1,3535
43,719,249,4,valletta,5,estonian,1,3535
