,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,784,121,0,vienna,2,portuguese,0,3535
1,220,99,2,vienna,2,portuguese,0,3535
2,524,335,1,vienna,2,portuguese,0,3535
3,37,300,1,vienna,2,portuguese,0,3535
4,931,327,1,vienna,2,portuguese,0,3535
5,877,91,0,vienna,2,portuguese,0,3535
6,219,295,1,vienna,2,portuguese,0,3535
7,610,84,6,vienna,2,portuguese,0,3535
8,457,165,0,vienna,2,portuguese,0,3535
9,428,143,0,vienna,2,portuguese,0,3535
10,462,90,0,vienna,2,portuguese,0,3535
11,64,91,0,vienna,2,portuguese,0,3535
12,266,89,0,vienna,2,portuguese,0,3535
13,98,168,0,vienna,2,portuguese,0,3535
14,535,163,0,vienna,2,portuguese,0,3535
15,730,235,0,vienna,2,portuguese,0,3535
16,226,120,0,vienna,2,portuguese,0,3535
17,168,431,2,vienna,2,portuguese,0,3535
18,171,97,0,vienna,2,portuguese,0,3535
19,801,316,1,vienna,2,portuguese,0,3535
20,839,209,4,vienna,2,portuguese,0,3535
21,239,469,2,vienna,2,portuguese,0,3535
22,68,193,6,vienna,2,portuguese,0,3535
23,167,90,0,vienna,2,portuguese,0,3535
24,675,114,7,vienna,2,portuguese,0,3535
25,343,90,0,vienna,2,portuguese,0,3535
26,275,141,0,vienna,2,portuguese,0,3535
27,979,196,2,vienna,2,portuguese,0,3535
28,255,216,3,vienna,2,portuguese,0,3535
29,70,200,6,vienna,2,portuguese,0,3535
30,315,331,4,vienna,2,portuguese,0,3535
31,195,161,0,vienna,2,portuguese,0,3535
32,848,333,1,vienna,2,portuguese,0,3535
33,713,319,1,vienna,2,portuguese,0,3535
34,692,414,2,vienna,2,portuguese,0,3535
35,682,160,0,vienna,2,portuguese,0,3535
36,890,89,0,vienna,2,portuguese,0,3535
37,920,117,0,vienna,2,portuguese,0,3535
38,833,163,0,vienna,2,portuguese,0,3535
39,753,170,0,vienna,2,portuguese,0,3535
40,184,434,2,vienna,2,portuguese,0,3535
41,179,125,0,vienna,2,portuguese,0,3535
42,875,119,0,vienna,2,portuguese,0,3535
43,775,89,0,vienna,2,portuguese,0,3535
44,626,199,1,vienna,2,portuguese,0,3535
45,494,233,0,vienna,2,portuguese,0,3535
46,382,199,0,vienna,2,portuguese,0,3535
47,57,168,0,vienna,2,portuguese,0,3535
48,846,327,1,vienna,2,portuguese,0,3535
49,652,152,1,vienna,2,portuguese,0,3535
50,943,258,2,vienna,2,portuguese,0,3535
51,11,229,3,vienna,2,portuguese,0,3535
52,245,154,2,vienna,2,portuguese,0,3535
53,940,194,0,vienna,2,portuguese,0,3535
54,87,308,1,vienna,2,portuguese,0,3535
55,336,143,0,vienna,2,portuguese,0,3535
56,372,137,1,vienna,2,portuguese,0,3535
57,403,471,1,vienna,2,portuguese,0,3535
58,368,85,0,vienna,2,portuguese,0,3535
59,511,251,3,vienna,2,portuguese,0,3535
60,33,191,0,vienna,2,portuguese,0,3535
61,236,90,1,vienna,2,portuguese,0,3535
62,426,188,1,vienna,2,portuguese,0,3535
63,292,235,1,vienna,2,portuguese,0,3535
64,565,334,7,vienna,2,portuguese,0,3535
65,924,193,0,vienna,2,portuguese,0,3535
66,354,102,5,vienna,2,portuguese,0,3535
67,703,184,2,vienna,2,portuguese,0,3535
68,128,319,1,vienna,2,portuguese,0,3535
69,635,186,1,vienna,2,portuguese,0,3535
70,996,140,1,vienna,2,portuguese,0,3535
71,672,321,1,vienna,2,portuguese,0,3535
72,210,141,3,vienna,2,portuguese,0,3535
73,15,438,2,vienna,2,portuguese,0,3535
74,438,121,0,vienna,2,portuguese,0,3535
75,693,284,21,vienna,2,portuguese,0,3535
76,810,202,1,vienna,2,portuguese,0,3535
77,35,93,0,vienna,2,portuguese,0,3535
78,268,141,0,vienna,2,portuguese,0,3535
79,704,121,0,vienna,2,portuguese,0,3535
80,662,319,1,vienna,2,portuguese,0,3535
81,152,249,4,vienna,2,portuguese,0,3535
82,446,120,0,vienna,2,portuguese,0,3535
83,250,469,2,vienna,2,portuguese,0,3535
84,278,125,0,vienna,2,portuguese,0,3535
85,755,90,0,vienna,2,portuguese,0,3535
86,962,160,0,vienna,2,portuguese,0,3535
87,8,153,4,vienna,2,portuguese,0,3535
88,919,85,0,vienna,2,portuguese,0,3535
89,661,140,0,vienna,2,portuguese,0,3535
90,928,93,0,vienna,2,portuguese,0,3535
91,173,124,0,vienna,2,portuguese,0,3535
92,231,167,0,vienna,2,portuguese,0,3535
93,646,119,0,vienna,2,portuguese,0,3535
94,530,112,3,vienna,2,portuguese,0,3535
95,977,127,5,vienna,2,portuguese,0,3535
96,549,119,0,vienna,2,portuguese,0,3535
97,63,165,0,vienna,2,portuguese,0,3535
98,116,140,0,vienna,2,portuguese,0,3535
99,927,297,1,vienna,2,portuguese,0,3535
100,666,91,0,vienna,2,portuguese,0,3535
101,613,303,1,vienna,2,portuguese,0,3535
