,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,336,138,0,vienna,3,luxembourgish,1,3535
1,426,181,1,vienna,3,luxembourgish,1,3535
2,693,273,22,vienna,3,luxembourgish,1,3535
3,610,81,7,vienna,3,luxembourgish,1,3535
4,943,248,4,vienna,3,luxembourgish,1,3535
5,57,162,0,vienna,3,luxembourgish,1,3535
6,220,95,2,vienna,3,luxembourgish,1,3535
7,661,134,1,vienna,3,luxembourgish,1,3535
8,173,119,0,vienna,3,luxembourgish,1,3535
9,128,307,2,vienna,3,luxembourgish,1,3535
10,927,286,2,vienna,3,luxembourgish,1,3535
11,940,187,0,vienna,3,luxembourgish,1,3535
12,613,292,2,vienna,3,luxembourgish,1,3535
13,703,177,3,vienna,3,luxembourgish,1,3535
14,784,117,0,vienna,3,luxembourgish,1,3535
15,98,162,0,vienna,3,luxembourgish,1,3535
16,63,158,0,vienna,3,luxembourgish,1,3535
17,846,315,2,vienna,3,luxembourgish,1,3535
18,457,159,0,vienna,3,luxembourgish,1,3535
19,275,135,0,vienna,3,luxembourgish,1,3535
20,635,179,1,vienna,3,luxembourgish,1,3535
21,979,189,3,vienna,3,luxembourgish,1,3535
22,64,88,0,vienna,3,luxembourgish,1,3535
23,652,146,2,vienna,3,luxembourgish,1,3535
24,152,239,4,vienna,3,luxembourgish,1,3535
25,8,147,4,vienna,3,luxembourgish,1,3535
26,692,399,3,vienna,3,luxembourgish,1,3535
27,928,90,0,vienna,3,luxembourgish,1,3535
28,33,184,0,vienna,3,luxembourgish,1,3535
29,675,109,8,vienna,3,luxembourgish,1,3535
30,962,154,0,vienna,3,luxembourgish,1,3535
31,268,135,0,vienna,3,luxembourgish,1,3535
32,68,186,6,vienna,3,luxembourgish,1,3535
33,875,115,0,vienna,3,luxembourgish,1,3535
34,179,120,0,vienna,3,luxembourgish,1,3535
35,810,194,1,vienna,3,luxembourgish,1,3535
36,730,226,2,vienna,3,luxembourgish,1,3535
37,704,117,0,vienna,3,luxembourgish,1,3535
38,382,191,2,vienna,3,luxembourgish,1,3535
39,775,85,0,vienna,3,luxembourgish,1,3535
40,511,241,4,vienna,3,luxembourgish,1,3535
41,292,226,2,vienna,3,luxembourgish,1,3535
42,219,284,2,vienna,3,luxembourgish,1,3535
43,278,120,0,vienna,3,luxembourgish,1,3535
44,245,148,3,vienna,3,luxembourgish,1,3535
45,877,88,0,vienna,3,luxembourgish,1,3535
46,70,192,7,vienna,3,luxembourgish,1,3535
47,646,115,0,vienna,3,luxembourgish,1,3535
48,231,161,0,vienna,3,luxembourgish,1,3535
49,255,208,4,vienna,3,luxembourgish,1,3535
50,977,122,6,vienna,3,luxembourgish,1,3535
51,524,322,2,vienna,3,luxembourgish,1,3535
52,372,132,2,vienna,3,luxembourgish,1,3535
53,755,86,0,vienna,3,luxembourgish,1,3535
54,168,415,3,vienna,3,luxembourgish,1,3535
55,184,417,3,vienna,3,luxembourgish,1,3535
56,919,82,0,vienna,3,luxembourgish,1,3535
57,494,224,1,vienna,3,luxembourgish,1,3535
58,713,307,1,vienna,3,luxembourgish,1,3535
59,226,116,0,vienna,3,luxembourgish,1,3535
60,839,186,7,vienna,3,luxembourgish,1,3535
61,368,81,0,vienna,3,luxembourgish,1,3535
62,549,115,0,vienna,3,luxembourgish,1,3535
63,662,307,2,vienna,3,luxembourgish,1,3535
64,672,309,1,vienna,3,luxembourgish,1,3535
65,924,186,1,vienna,3,luxembourgish,1,3535
66,210,135,4,vienna,3,luxembourgish,1,3535
67,343,87,1,vienna,3,luxembourgish,1,3535
68,167,86,0,vienna,3,luxembourgish,1,3535
69,403,453,2,vienna,3,luxembourgish,1,3535
70,920,112,0,vienna,3,luxembourgish,1,3535
71,530,108,3,vienna,3,luxembourgish,1,3535
72,801,304,2,vienna,3,luxembourgish,1,3535
73,87,241,2,vienna,3,luxembourgish,1,3535
74,315,319,6,vienna,3,luxembourgish,1,3535
75,116,135,0,vienna,3,luxembourgish,1,3535
76,35,90,0,vienna,3,luxembourgish,1,3535
77,565,321,9,vienna,3,luxembourgish,1,3535
78,250,451,3,vienna,3,luxembourgish,1,3535
79,11,221,4,vienna,3,luxembourgish,1,3535
80,354,99,5,vienna,3,luxembourgish,1,3535
81,37,232,2,vienna,3,luxembourgish,1,3535
82,626,191,1,vienna,3,luxembourgish,1,3535
83,266,85,0,vienna,3,luxembourgish,1,3535
84,239,451,3,vienna,3,luxembourgish,1,3535
85,833,157,0,vienna,3,luxembourgish,1,3535
86,446,116,0,vienna,3,luxembourgish,1,3535
87,753,164,0,vienna,3,luxembourgish,1,3535
88,15,342,3,vienna,3,luxembourgish,1,3535
89,236,86,2,vienna,3,luxembourgish,1,3535
90,535,157,0,vienna,3,luxembourgish,1,3535
91,195,155,0,vienna,3,luxembourgish,1,3535
92,682,154,0,vienna,3,luxembourgish,1,3535
93,848,320,2,vienna,3,luxembourgish,1,3535
94,666,88,0,vienna,3,luxembourgish,1,3535
95,931,315,2,vienna,3,luxembourgish,1,3535
96,890,85,0,vienna,3,luxembourgish,1,3535
97,438,117,0,vienna,3,luxembourgish,1,3535
98,171,93,1,vienna,3,luxembourgish,1,3535
99,996,134,2,vienna,3,luxembourgish,1,3535
100,462,87,0,vienna,3,luxembourgish,1,3535
101,428,138,0,vienna,3,luxembourgish,1,3535
