,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,623,225,4,vilnius,3,portuguese,1,3535
1,189,123,0,vilnius,3,portuguese,1,3535
2,408,146,3,vilnius,3,portuguese,1,3535
3,72,63,0,vilnius,3,portuguese,1,3535
4,794,358,3,vilnius,3,portuguese,1,3535
5,667,143,0,vilnius,3,portuguese,1,3535
6,161,127,0,vilnius,3,portuguese,1,3535
7,118,110,2,vilnius,3,portuguese,1,3535
8,896,63,0,vilnius,3,portuguese,1,3535
9,678,92,0,vilnius,3,portuguese,1,3535
10,607,146,0,vilnius,3,portuguese,1,3535
11,813,126,0,vilnius,3,portuguese,1,3535
12,74,126,0,vilnius,3,portuguese,1,3535
13,183,247,2,vilnius,3,portuguese,1,3535
14,217,176,4,vilnius,3,portuguese,1,3535
15,5,170,4,vilnius,3,portuguese,1,3535
16,490,149,0,vilnius,3,portuguese,1,3535
17,954,148,0,vilnius,3,portuguese,1,3535
18,448,140,2,vilnius,3,portuguese,1,3535
19,654,241,2,vilnius,3,portuguese,1,3535
20,420,63,0,vilnius,3,portuguese,1,3535
21,362,107,2,vilnius,3,portuguese,1,3535
22,914,64,0,vilnius,3,portuguese,1,3535
23,355,93,0,vilnius,3,portuguese,1,3535
24,976,91,0,vilnius,3,portuguese,1,3535
25,551,66,7,vilnius,3,portuguese,1,3535
26,89,108,3,vilnius,3,portuguese,1,3535
27,125,61,3,vilnius,3,portuguese,1,3535
28,279,75,3,vilnius,3,portuguese,1,3535
29,887,144,2,vilnius,3,portuguese,1,3535
30,879,126,3,vilnius,3,portuguese,1,3535
31,956,104,0,vilnius,3,portuguese,1,3535
32,80,326,3,vilnius,3,portuguese,1,3535
33,84,265,5,vilnius,3,portuguese,1,3535
34,687,146,2,vilnius,3,portuguese,1,3535
35,533,237,2,vilnius,3,portuguese,1,3535
36,18,69,1,vilnius,3,portuguese,1,3535
37,464,89,0,vilnius,3,portuguese,1,3535
38,819,133,6,vilnius,3,portuguese,1,3535
39,461,63,0,vilnius,3,portuguese,1,3535
40,957,69,0,vilnius,3,portuguese,1,3535
41,758,66,8,vilnius,3,portuguese,1,3535
42,76,65,0,vilnius,3,portuguese,1,3535
43,740,148,8,vilnius,3,portuguese,1,3535
44,104,63,18,vilnius,3,portuguese,1,3535
45,215,89,5,vilnius,3,portuguese,1,3535
46,294,67,0,vilnius,3,portuguese,1,3535
47,221,62,0,vilnius,3,portuguese,1,3535
48,974,148,3,vilnius,3,portuguese,1,3535
49,955,81,0,vilnius,3,portuguese,1,3535
50,950,88,0,vilnius,3,portuguese,1,3535
51,502,109,2,vilnius,3,portuguese,1,3535
52,40,124,0,vilnius,3,portuguese,1,3535
53,503,309,2,vilnius,3,portuguese,1,3535
54,320,125,0,vilnius,3,portuguese,1,3535
55,432,171,4,vilnius,3,portuguese,1,3535
56,593,63,10,vilnius,3,portuguese,1,3535
57,288,126,0,vilnius,3,portuguese,1,3535
58,204,65,0,vilnius,3,portuguese,1,3535
59,648,67,0,vilnius,3,portuguese,1,3535
60,177,170,0,vilnius,3,portuguese,1,3535
61,240,250,2,vilnius,3,portuguese,1,3535
62,59,124,0,vilnius,3,portuguese,1,3535
63,356,87,0,vilnius,3,portuguese,1,3535
64,187,175,0,vilnius,3,portuguese,1,3535
65,516,336,3,vilnius,3,portuguese,1,3535
66,820,230,2,vilnius,3,portuguese,1,3535
67,61,246,6,vilnius,3,portuguese,1,3535
68,765,65,11,vilnius,3,portuguese,1,3535
69,632,93,0,vilnius,3,portuguese,1,3535
70,394,76,0,vilnius,3,portuguese,1,3535
71,47,169,4,vilnius,3,portuguese,1,3535
72,198,146,0,vilnius,3,portuguese,1,3535
73,498,156,1,vilnius,3,portuguese,1,3535
74,451,121,0,vilnius,3,portuguese,1,3535
75,406,62,0,vilnius,3,portuguese,1,3535
76,935,82,0,vilnius,3,portuguese,1,3535
77,409,109,0,vilnius,3,portuguese,1,3535
78,670,88,0,vilnius,3,portuguese,1,3535
79,605,233,2,vilnius,3,portuguese,1,3535
80,520,93,0,vilnius,3,portuguese,1,3535
81,479,170,0,vilnius,3,portuguese,1,3535
82,19,62,0,vilnius,3,portuguese,1,3535
83,620,243,1,vilnius,3,portuguese,1,3535
84,197,124,0,vilnius,3,portuguese,1,3535
85,881,200,4,vilnius,3,portuguese,1,3535
86,155,153,1,vilnius,3,portuguese,1,3535
87,545,149,0,vilnius,3,portuguese,1,3535
88,340,88,0,vilnius,3,portuguese,1,3535
89,247,187,4,vilnius,3,portuguese,1,3535
90,136,119,1,vilnius,3,portuguese,1,3535
91,589,67,0,vilnius,3,portuguese,1,3535
92,568,91,5,vilnius,3,portuguese,1,3535
