,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,607,141,0,vilnius,5,czech,1,3535
1,74,121,0,vilnius,5,czech,1,3535
2,240,240,4,vilnius,5,czech,1,3535
3,432,165,5,vilnius,5,czech,1,3535
4,187,168,0,vilnius,5,czech,1,3535
5,520,90,0,vilnius,5,czech,1,3535
6,279,72,4,vilnius,5,czech,1,3535
7,221,60,0,vilnius,5,czech,1,3535
8,545,143,0,vilnius,5,czech,1,3535
9,687,141,4,vilnius,5,czech,1,3535
10,533,228,4,vilnius,5,czech,1,3535
11,678,89,0,vilnius,5,czech,1,3535
12,914,61,0,vilnius,5,czech,1,3535
13,502,105,4,vilnius,5,czech,1,3535
14,420,61,0,vilnius,5,czech,1,3535
15,620,234,2,vilnius,5,czech,1,3535
16,667,138,0,vilnius,5,czech,1,3535
17,879,121,6,vilnius,5,czech,1,3535
18,294,64,0,vilnius,5,czech,1,3535
19,356,84,0,vilnius,5,czech,1,3535
20,18,67,2,vilnius,5,czech,1,3535
21,104,61,19,vilnius,5,czech,1,3535
22,451,117,0,vilnius,5,czech,1,3535
23,155,147,2,vilnius,5,czech,1,3535
24,288,121,0,vilnius,5,czech,1,3535
25,340,85,0,vilnius,5,czech,1,3535
26,461,61,0,vilnius,5,czech,1,3535
27,198,141,0,vilnius,5,czech,1,3535
28,516,323,5,vilnius,5,czech,1,3535
29,503,297,4,vilnius,5,czech,1,3535
30,217,134,7,vilnius,5,czech,1,3535
31,593,61,12,vilnius,5,czech,1,3535
32,974,142,5,vilnius,5,czech,1,3535
33,623,216,8,vilnius,5,czech,1,3535
34,896,61,0,vilnius,5,czech,1,3535
35,670,85,0,vilnius,5,czech,1,3535
36,551,63,7,vilnius,5,czech,1,3535
37,197,119,0,vilnius,5,czech,1,3535
38,490,143,3,vilnius,5,czech,1,3535
39,394,73,0,vilnius,5,czech,1,3535
40,189,118,0,vilnius,5,czech,1,3535
41,935,79,0,vilnius,5,czech,1,3535
42,247,180,7,vilnius,5,czech,1,3535
43,84,255,9,vilnius,5,czech,1,3535
44,654,232,4,vilnius,5,czech,1,3535
45,320,120,0,vilnius,5,czech,1,3535
46,19,60,0,vilnius,5,czech,1,3535
47,568,88,8,vilnius,5,czech,1,3535
48,118,106,4,vilnius,5,czech,1,3535
49,765,62,11,vilnius,5,czech,1,3535
50,80,314,5,vilnius,5,czech,1,3535
51,479,164,0,vilnius,5,czech,1,3535
52,813,121,0,vilnius,5,czech,1,3535
53,957,66,0,vilnius,5,czech,1,3535
54,125,59,4,vilnius,5,czech,1,3535
55,72,61,0,vilnius,5,czech,1,3535
56,955,78,0,vilnius,5,czech,1,3535
57,136,115,3,vilnius,5,czech,1,3535
58,177,164,0,vilnius,5,czech,1,3535
59,161,122,0,vilnius,5,czech,1,3535
60,204,62,0,vilnius,5,czech,1,3535
61,59,119,0,vilnius,5,czech,1,3535
62,464,85,0,vilnius,5,czech,1,3535
63,589,64,0,vilnius,5,czech,1,3535
64,498,150,2,vilnius,5,czech,1,3535
65,448,134,4,vilnius,5,czech,1,3535
66,409,105,0,vilnius,5,czech,1,3535
67,648,64,0,vilnius,5,czech,1,3535
68,5,164,7,vilnius,5,czech,1,3535
69,355,90,0,vilnius,5,czech,1,3535
70,61,237,10,vilnius,5,czech,1,3535
71,954,142,0,vilnius,5,czech,1,3535
72,76,62,0,vilnius,5,czech,1,3535
73,976,88,0,vilnius,5,czech,1,3535
74,362,103,4,vilnius,5,czech,1,3535
75,408,141,5,vilnius,5,czech,1,3535
76,956,101,0,vilnius,5,czech,1,3535
77,183,238,4,vilnius,5,czech,1,3535
78,89,104,4,vilnius,5,czech,1,3535
79,881,192,5,vilnius,5,czech,1,3535
80,819,128,10,vilnius,5,czech,1,3535
81,605,224,4,vilnius,5,czech,1,3535
82,887,139,4,vilnius,5,czech,1,3535
83,820,222,4,vilnius,5,czech,1,3535
84,215,86,6,vilnius,5,czech,1,3535
85,758,63,9,vilnius,5,czech,1,3535
86,40,119,0,vilnius,5,czech,1,3535
87,47,163,6,vilnius,5,czech,1,3535
88,632,90,0,vilnius,5,czech,1,3535
89,794,344,5,vilnius,5,czech,1,3535
90,950,85,0,vilnius,5,czech,1,3535
91,740,142,8,vilnius,5,czech,1,3535
92,406,60,0,vilnius,5,czech,1,3535
