,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,630,161,0,amsterdam,10,german,1,3533
1,880,135,0,amsterdam,10,german,1,3533
2,311,107,18,amsterdam,10,german,1,3533
3,429,260,27,amsterdam,10,german,1,3533
4,366,82,0,amsterdam,10,german,1,3533
5,88,137,0,amsterdam,10,german,1,3533
6,482,84,0,amsterdam,10,german,1,3533
7,625,253,11,amsterdam,10,german,1,3533
8,515,347,10,amsterdam,10,german,1,3533
9,967,82,2,amsterdam,10,german,1,3533
10,172,137,4,amsterdam,10,german,1,3533
11,12,82,0,amsterdam,10,german,1,3533
12,373,150,4,amsterdam,10,german,1,3533
13,567,96,1,amsterdam,10,german,1,3533
14,212,308,7,amsterdam,10,german,1,3533
15,587,159,0,amsterdam,10,german,1,3533
16,307,132,8,amsterdam,10,german,1,3533
17,821,114,7,amsterdam,10,german,1,3533
18,760,231,8,amsterdam,10,german,1,3533
19,921,96,10,amsterdam,10,german,1,3533
20,603,299,11,amsterdam,10,german,1,3533
21,945,187,7,amsterdam,10,german,1,3533
22,271,85,0,amsterdam,10,german,1,3533
23,891,128,5,amsterdam,10,german,1,3533
24,969,88,3,amsterdam,10,german,1,3533
25,809,340,11,amsterdam,10,german,1,3533
26,745,108,7,amsterdam,10,german,1,3533
27,105,182,10,amsterdam,10,german,1,3533
28,867,154,0,amsterdam,10,german,1,3533
29,570,112,0,amsterdam,10,german,1,3533
30,557,117,0,amsterdam,10,german,1,3533
31,101,338,10,amsterdam,10,german,1,3533
32,16,185,0,amsterdam,10,german,1,3533
33,517,135,8,amsterdam,10,german,1,3533
34,430,165,20,amsterdam,10,german,1,3533
35,417,185,0,amsterdam,10,german,1,3533
36,346,248,10,amsterdam,10,german,1,3533
37,475,110,0,amsterdam,10,german,1,3533
38,660,180,6,amsterdam,10,german,1,3533
39,224,149,18,amsterdam,10,german,1,3533
40,507,132,8,amsterdam,10,german,1,3533
41,685,426,9,amsterdam,10,german,1,3533
42,917,345,14,amsterdam,10,german,1,3533
43,326,299,17,amsterdam,10,german,1,3533
44,283,120,8,amsterdam,10,german,1,3533
45,674,140,6,amsterdam,10,german,1,3533
46,916,140,8,amsterdam,10,german,1,3533
47,971,185,10,amsterdam,10,german,1,3533
48,269,159,0,amsterdam,10,german,1,3533
49,223,157,0,amsterdam,10,german,1,3533
50,604,135,7,amsterdam,10,german,1,3533
51,588,182,0,amsterdam,10,german,1,3533
