,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,548,253,47,amsterdam,15,swedish,1,3533
1,585,83,16,amsterdam,15,swedish,1,3533
2,777,199,13,amsterdam,15,swedish,1,3533
3,9,94,0,amsterdam,15,swedish,1,3533
4,752,328,21,amsterdam,15,swedish,1,3533
5,960,332,20,amsterdam,15,swedish,1,3533
6,933,167,0,amsterdam,15,swedish,1,3533
7,891,136,6,amsterdam,15,swedish,1,3533
8,193,164,11,amsterdam,15,swedish,1,3533
9,12,87,3,amsterdam,15,swedish,1,3533
10,77,337,19,amsterdam,15,swedish,1,3533
11,660,191,12,amsterdam,15,swedish,1,3533
12,809,326,21,amsterdam,15,swedish,1,3533
13,369,84,0,amsterdam,15,swedish,1,3533
14,105,193,14,amsterdam,15,swedish,1,3533
15,806,297,34,amsterdam,15,swedish,1,3533
16,493,194,10,amsterdam,15,swedish,1,3533
17,85,130,8,amsterdam,15,swedish,1,3533
18,630,170,0,amsterdam,15,swedish,1,3533
19,779,207,24,amsterdam,15,swedish,1,3533
20,971,197,14,amsterdam,15,swedish,1,3533
21,157,328,28,amsterdam,15,swedish,1,3533
22,587,168,0,amsterdam,15,swedish,1,3533
23,218,259,13,amsterdam,15,swedish,1,3533
24,214,261,13,amsterdam,15,swedish,1,3533
25,196,121,0,amsterdam,15,swedish,1,3533
26,603,294,22,amsterdam,15,swedish,1,3533
27,604,143,11,amsterdam,15,swedish,1,3533
28,517,127,16,amsterdam,15,swedish,1,3533
29,253,317,27,amsterdam,15,swedish,1,3533
30,16,197,0,amsterdam,15,swedish,1,3533
31,685,362,19,amsterdam,15,swedish,1,3533
32,146,235,19,amsterdam,15,swedish,1,3533
33,916,119,12,amsterdam,15,swedish,1,3533
34,807,360,19,amsterdam,15,swedish,1,3533
35,515,368,20,amsterdam,15,swedish,1,3533
36,163,193,27,amsterdam,15,swedish,1,3533
37,625,209,22,amsterdam,15,swedish,1,3533
38,945,199,15,amsterdam,15,swedish,1,3533
39,264,88,0,amsterdam,15,swedish,1,3533
40,724,328,27,amsterdam,15,swedish,1,3533
41,158,168,15,amsterdam,15,swedish,1,3533
42,679,167,9,amsterdam,15,swedish,1,3533
43,969,91,8,amsterdam,15,swedish,1,3533
44,101,359,20,amsterdam,15,swedish,1,3533
45,475,117,8,amsterdam,15,swedish,1,3533
46,878,120,18,amsterdam,15,swedish,1,3533
47,373,144,8,amsterdam,15,swedish,1,3533
48,482,89,0,amsterdam,15,swedish,1,3533
49,303,235,17,amsterdam,15,swedish,1,3533
50,925,137,9,amsterdam,15,swedish,1,3533
51,918,374,25,amsterdam,15,swedish,1,3533
52,417,197,12,amsterdam,15,swedish,1,3533
53,570,119,8,amsterdam,15,swedish,1,3533
54,166,132,14,amsterdam,15,swedish,1,3533
55,762,193,15,amsterdam,15,swedish,1,3533
56,269,168,0,amsterdam,15,swedish,1,3533
57,450,190,46,amsterdam,15,swedish,1,3533
58,223,167,0,amsterdam,15,swedish,1,3533
59,627,117,0,amsterdam,15,swedish,1,3533
60,581,165,9,amsterdam,15,swedish,1,3533
61,442,211,20,amsterdam,15,swedish,1,3533
62,83,194,14,amsterdam,15,swedish,1,3533
63,760,245,15,amsterdam,15,swedish,1,3533
64,88,145,7,amsterdam,15,swedish,1,3533
65,224,158,28,amsterdam,15,swedish,1,3533
66,967,87,18,amsterdam,15,swedish,1,3533
67,212,261,13,amsterdam,15,swedish,1,3533
68,783,110,0,amsterdam,15,swedish,1,3533
69,505,120,11,amsterdam,15,swedish,1,3533
70,921,101,14,amsterdam,15,swedish,1,3533
71,211,164,0,amsterdam,15,swedish,1,3533
72,867,164,10,amsterdam,15,swedish,1,3533
73,366,87,0,amsterdam,15,swedish,1,3533
74,657,194,19,amsterdam,15,swedish,1,3533
75,10,168,10,amsterdam,15,swedish,1,3533
76,706,140,4,amsterdam,15,swedish,1,3533
77,52,193,13,amsterdam,15,swedish,1,3533
78,352,110,35,amsterdam,15,swedish,1,3533
79,821,121,13,amsterdam,15,swedish,1,3533
80,674,133,13,amsterdam,15,swedish,1,3533
81,311,114,21,amsterdam,15,swedish,1,3533
82,375,117,7,amsterdam,15,swedish,1,3533
83,902,216,21,amsterdam,15,swedish,1,3533
84,835,114,38,amsterdam,15,swedish,1,3533
85,307,140,12,amsterdam,15,swedish,1,3533
86,271,90,0,amsterdam,15,swedish,1,3533
87,745,115,12,amsterdam,15,swedish,1,3533
88,917,331,24,amsterdam,15,swedish,1,3533
89,567,101,4,amsterdam,15,swedish,1,3533
90,557,124,0,amsterdam,15,swedish,1,3533
91,111,161,8,amsterdam,15,swedish,1,3533
92,594,268,40,amsterdam,15,swedish,1,3533
93,676,97,6,amsterdam,15,swedish,1,3533
94,326,317,27,amsterdam,15,swedish,1,3533
95,880,143,5,amsterdam,15,swedish,1,3533
96,387,323,19,amsterdam,15,swedish,1,3533
97,346,240,17,amsterdam,15,swedish,1,3533
98,680,167,2,amsterdam,15,swedish,1,3533
99,317,217,21,amsterdam,15,swedish,1,3533
100,230,151,8,amsterdam,15,swedish,1,3533
101,429,276,37,amsterdam,15,swedish,1,3533
102,283,127,12,amsterdam,15,swedish,1,3533
103,588,193,0,amsterdam,15,swedish,1,3533
