,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,10,165,21,amsterdam,20,maltese,1,3533
1,969,84,15,amsterdam,20,maltese,1,3533
2,375,115,17,amsterdam,20,maltese,1,3533
3,750,122,11,amsterdam,20,maltese,1,3533
4,16,193,14,amsterdam,20,maltese,1,3533
5,916,117,23,amsterdam,20,maltese,1,3533
6,303,231,27,amsterdam,20,maltese,1,3533
7,628,164,36,amsterdam,20,maltese,1,3533
8,880,140,15,amsterdam,20,maltese,1,3533
9,369,82,0,amsterdam,20,maltese,1,3533
10,450,186,56,amsterdam,20,maltese,1,3533
11,625,205,36,amsterdam,20,maltese,1,3533
12,307,117,17,amsterdam,20,maltese,1,3533
13,52,169,20,amsterdam,20,maltese,1,3533
14,967,85,28,amsterdam,20,maltese,1,3533
15,105,176,20,amsterdam,20,maltese,1,3533
16,918,322,42,amsterdam,20,maltese,1,3533
17,783,108,5,amsterdam,20,maltese,1,3533
18,223,164,8,amsterdam,20,maltese,1,3533
19,387,271,41,amsterdam,20,maltese,1,3533
20,234,176,20,amsterdam,20,maltese,1,3533
21,271,88,1,amsterdam,20,maltese,1,3533
22,45,190,20,amsterdam,20,maltese,1,3533
23,807,309,37,amsterdam,20,maltese,1,3533
24,878,118,28,amsterdam,20,maltese,1,3533
25,346,196,34,amsterdam,20,maltese,1,3533
26,777,167,22,amsterdam,20,maltese,1,3533
27,211,160,14,amsterdam,20,maltese,1,3533
28,902,187,38,amsterdam,20,maltese,1,3533
29,835,111,44,amsterdam,20,maltese,1,3533
30,34,85,9,amsterdam,20,maltese,1,3533
31,224,155,37,amsterdam,20,maltese,1,3533
32,921,99,20,amsterdam,20,maltese,1,3533
33,685,300,37,amsterdam,20,maltese,1,3533
34,581,162,15,amsterdam,20,maltese,1,3533
35,157,322,38,amsterdam,20,maltese,1,3533
36,762,189,20,amsterdam,20,maltese,1,3533
37,674,130,23,amsterdam,20,maltese,1,3533
38,570,117,17,amsterdam,20,maltese,1,3533
39,809,286,44,amsterdam,20,maltese,1,3533
40,429,271,50,amsterdam,20,maltese,1,3533
41,163,189,41,amsterdam,20,maltese,1,3533
42,193,161,21,amsterdam,20,maltese,1,3533
43,373,123,18,amsterdam,20,maltese,1,3533
44,212,233,25,amsterdam,20,maltese,1,3533
45,603,288,39,amsterdam,20,maltese,1,3533
46,269,165,17,amsterdam,20,maltese,1,3533
47,214,208,27,amsterdam,20,maltese,1,3533
48,172,143,16,amsterdam,20,maltese,1,3533
49,867,154,21,amsterdam,20,maltese,1,3533
50,676,88,8,amsterdam,20,maltese,1,3533
51,567,99,7,amsterdam,20,maltese,1,3533
52,627,115,0,amsterdam,20,maltese,1,3533
53,12,85,8,amsterdam,20,maltese,1,3533
54,706,137,13,amsterdam,20,maltese,1,3533
55,9,92,10,amsterdam,20,maltese,1,3533
56,111,144,12,amsterdam,20,maltese,1,3533
57,430,172,59,amsterdam,20,maltese,1,3533
58,743,180,26,amsterdam,20,maltese,1,3533
59,680,164,9,amsterdam,20,maltese,1,3533
60,660,187,19,amsterdam,20,maltese,1,3533
61,352,108,42,amsterdam,20,maltese,1,3533
62,752,287,42,amsterdam,20,maltese,1,3533
63,101,319,32,amsterdam,20,maltese,1,3533
64,326,277,47,amsterdam,20,maltese,1,3533
65,724,299,37,amsterdam,20,maltese,1,3533
66,891,122,8,amsterdam,20,maltese,1,3533
67,117,81,12,amsterdam,20,maltese,1,3533
68,264,86,5,amsterdam,20,maltese,1,3533
69,594,252,76,amsterdam,20,maltese,1,3533
70,933,164,18,amsterdam,20,maltese,1,3533
71,256,85,8,amsterdam,20,maltese,1,3533
72,587,165,12,amsterdam,20,maltese,1,3533
73,760,208,26,amsterdam,20,maltese,1,3533
74,971,172,20,amsterdam,20,maltese,1,3533
75,158,165,26,amsterdam,20,maltese,1,3533
76,821,117,20,amsterdam,20,maltese,1,3533
77,505,116,17,amsterdam,20,maltese,1,3533
78,892,228,20,amsterdam,20,maltese,1,3533
79,311,111,25,amsterdam,20,maltese,1,3533
80,230,124,17,amsterdam,20,maltese,1,3533
81,778,118,1,amsterdam,20,maltese,1,3533
82,510,280,56,amsterdam,20,maltese,1,3533
83,779,203,38,amsterdam,20,maltese,1,3533
84,85,123,15,amsterdam,20,maltese,1,3533
85,630,167,16,amsterdam,20,maltese,1,3533
86,917,301,44,amsterdam,20,maltese,1,3533
87,86,121,8,amsterdam,20,maltese,1,3533
88,442,175,34,amsterdam,20,maltese,1,3533
89,745,112,18,amsterdam,20,maltese,1,3533
90,417,179,22,amsterdam,20,maltese,1,3533
91,925,120,15,amsterdam,20,maltese,1,3533
92,548,248,63,amsterdam,20,maltese,1,3533
93,460,90,0,amsterdam,20,maltese,1,3533
94,88,143,15,amsterdam,20,maltese,1,3533
95,945,160,27,amsterdam,20,maltese,1,3533
96,82,118,20,amsterdam,20,maltese,1,3533
97,475,115,20,amsterdam,20,maltese,1,3533
98,517,125,26,amsterdam,20,maltese,1,3533
99,788,118,8,amsterdam,20,maltese,1,3533
100,366,85,11,amsterdam,20,maltese,1,3533
101,283,110,19,amsterdam,20,maltese,1,3533
102,77,276,42,amsterdam,20,maltese,1,3533
103,146,189,35,amsterdam,20,maltese,1,3533
104,482,87,5,amsterdam,20,maltese,1,3533
105,585,81,21,amsterdam,20,maltese,1,3533
106,83,190,20,amsterdam,20,maltese,1,3533
107,515,325,34,amsterdam,20,maltese,1,3533
108,657,175,34,amsterdam,20,maltese,1,3533
109,507,137,16,amsterdam,20,maltese,1,3533
110,679,164,20,amsterdam,20,maltese,1,3533
111,557,121,0,amsterdam,20,maltese,1,3533
112,806,291,50,amsterdam,20,maltese,1,3533
113,493,190,18,amsterdam,20,maltese,1,3533
114,960,291,41,amsterdam,20,maltese,1,3533
115,103,196,48,amsterdam,20,maltese,1,3533
116,253,277,50,amsterdam,20,maltese,1,3533
117,604,125,15,amsterdam,20,maltese,1,3533
118,166,129,20,amsterdam,20,maltese,1,3533
119,196,119,3,amsterdam,20,maltese,1,3533
120,588,189,0,amsterdam,20,maltese,1,3533
121,465,266,49,amsterdam,20,maltese,1,3533
122,218,223,26,amsterdam,20,maltese,1,3533
123,317,197,29,amsterdam,20,maltese,1,3533
