,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,627,112,19,amsterdam,25,irish,1,3533
1,750,120,13,amsterdam,25,irish,1,3533
2,807,281,69,amsterdam,25,irish,1,3533
3,157,271,57,amsterdam,25,irish,1,3533
4,45,174,34,amsterdam,25,irish,1,3533
5,230,111,29,amsterdam,25,irish,1,3533
6,557,119,0,amsterdam,25,irish,1,3533
7,581,155,21,amsterdam,25,irish,1,3533
8,603,283,61,amsterdam,25,irish,1,3533
9,969,81,23,amsterdam,25,irish,1,3533
10,788,116,26,amsterdam,25,irish,1,3533
11,271,87,11,amsterdam,25,irish,1,3533
12,918,294,65,amsterdam,25,irish,1,3533
13,346,192,52,amsterdam,25,irish,1,3533
14,674,128,35,amsterdam,25,irish,1,3533
15,12,84,14,amsterdam,25,irish,1,3533
16,809,271,73,amsterdam,25,irish,1,3533
17,10,162,34,amsterdam,25,irish,1,3533
18,193,157,33,amsterdam,25,irish,1,3533
19,455,154,38,amsterdam,25,irish,1,3533
20,529,244,78,amsterdam,25,irish,1,3533
21,269,162,38,amsterdam,25,irish,1,3533
22,326,272,73,amsterdam,25,irish,1,3533
23,16,182,30,amsterdam,25,irish,1,3533
24,307,115,28,amsterdam,25,irish,1,3533
25,916,115,33,amsterdam,25,irish,1,3533
26,256,83,15,amsterdam,25,irish,1,3533
27,715,166,32,amsterdam,25,irish,1,3533
28,441,193,46,amsterdam,25,irish,1,3533
29,264,85,13,amsterdam,25,irish,1,3533
30,85,110,26,amsterdam,25,irish,1,3533
31,375,112,29,amsterdam,25,irish,1,3533
32,493,167,34,amsterdam,25,irish,1,3533
33,628,161,50,amsterdam,25,irish,1,3533
34,777,157,39,amsterdam,25,irish,1,3533
35,234,166,34,amsterdam,25,irish,1,3533
36,971,162,31,amsterdam,25,irish,1,3533
37,587,162,30,amsterdam,25,irish,1,3533
38,166,111,35,amsterdam,25,irish,1,3533
39,465,261,78,amsterdam,25,irish,1,3533
40,630,164,40,amsterdam,25,irish,1,3533
41,658,168,40,amsterdam,25,irish,1,3533
42,158,149,46,amsterdam,25,irish,1,3533
43,594,247,115,amsterdam,25,irish,1,3533
44,917,284,77,amsterdam,25,irish,1,3533
45,283,108,30,amsterdam,25,irish,1,3533
46,867,148,34,amsterdam,25,irish,1,3533
47,9,90,32,amsterdam,25,irish,1,3533
48,387,255,69,amsterdam,25,irish,1,3533
49,224,152,47,amsterdam,25,irish,1,3533
50,88,130,24,amsterdam,25,irish,1,3533
51,657,172,55,amsterdam,25,irish,1,3533
52,505,108,28,amsterdam,25,irish,1,3533
53,442,172,57,amsterdam,25,irish,1,3533
54,902,176,64,amsterdam,25,irish,1,3533
55,660,170,30,amsterdam,25,irish,1,3533
56,921,87,30,amsterdam,25,irish,1,3533
57,460,88,10,amsterdam,25,irish,1,3533
58,724,271,57,amsterdam,25,irish,1,3533
59,517,122,36,amsterdam,25,irish,1,3533
