,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,265,321,15,madrid,10,austrian,1,3533
1,398,72,5,madrid,10,austrian,1,3533
2,710,125,4,madrid,10,austrian,1,3533
3,20,79,0,madrid,10,austrian,1,3533
4,186,144,5,madrid,10,austrian,1,3533
5,836,167,10,madrid,10,austrian,1,3533
6,800,103,0,madrid,10,austrian,1,3533
7,717,398,10,madrid,10,austrian,1,3533
8,310,73,0,madrid,10,austrian,1,3533
9,277,239,22,madrid,10,austrian,1,3533
10,378,141,0,madrid,10,austrian,1,3533
11,413,250,20,madrid,10,austrian,1,3533
12,768,324,11,madrid,10,austrian,1,3533
13,847,94,18,madrid,10,austrian,1,3533
14,791,123,8,madrid,10,austrian,1,3533
15,609,227,9,madrid,10,austrian,1,3533
16,351,103,4,madrid,10,austrian,1,3533
17,138,76,0,madrid,10,austrian,1,3533
18,606,269,19,madrid,10,austrian,1,3533
19,870,79,0,madrid,10,austrian,1,3533
20,495,314,12,madrid,10,austrian,1,3533
21,737,162,27,madrid,10,austrian,1,3533
22,93,290,12,madrid,10,austrian,1,3533
23,313,76,0,madrid,10,austrian,1,3533
24,127,77,0,madrid,10,austrian,1,3533
25,233,167,6,madrid,10,austrian,1,3533
26,175,122,2,madrid,10,austrian,1,3533
27,97,255,20,madrid,10,austrian,1,3533
28,888,239,30,madrid,10,austrian,1,3533
29,54,100,4,madrid,10,austrian,1,3533
30,235,167,10,madrid,10,austrian,1,3533
31,174,145,22,madrid,10,austrian,1,3533
32,241,140,0,madrid,10,austrian,1,3533
33,454,136,4,madrid,10,austrian,1,3533
34,411,103,0,madrid,10,austrian,1,3533
35,982,211,8,madrid,10,austrian,1,3533
36,729,307,12,madrid,10,austrian,1,3533
37,258,202,13,madrid,10,austrian,1,3533
38,246,398,10,madrid,10,austrian,1,3533
39,439,120,3,madrid,10,austrian,1,3533
40,483,104,0,madrid,10,austrian,1,3533
41,205,98,3,madrid,10,austrian,1,3533
42,673,212,13,madrid,10,austrian,1,3533
43,252,280,7,madrid,10,austrian,1,3533
44,414,73,0,madrid,10,austrian,1,3533
45,276,78,0,madrid,10,austrian,1,3533
46,901,396,10,madrid,10,austrian,1,3533
47,721,76,0,madrid,10,austrian,1,3533
48,527,163,0,madrid,10,austrian,1,3533
49,126,109,8,madrid,10,austrian,1,3533
50,733,134,4,madrid,10,austrian,1,3533
51,828,128,7,madrid,10,austrian,1,3533
52,285,101,0,madrid,10,austrian,1,3533
53,860,163,10,madrid,10,austrian,1,3533
54,67,222,30,madrid,10,austrian,1,3533
55,538,126,12,madrid,10,austrian,1,3533
56,500,75,14,madrid,10,austrian,1,3533
57,7,104,0,madrid,10,austrian,1,3533
58,135,309,12,madrid,10,austrian,1,3533
59,102,303,15,madrid,10,austrian,1,3533
60,575,98,30,madrid,10,austrian,1,3533
61,261,137,8,madrid,10,austrian,1,3533
62,164,162,10,madrid,10,austrian,1,3533
63,31,122,8,madrid,10,austrian,1,3533
64,822,209,13,madrid,10,austrian,1,3533
65,633,166,10,madrid,10,austrian,1,3533
66,154,295,10,madrid,10,austrian,1,3533
67,79,126,8,madrid,10,austrian,1,3533
68,618,122,4,madrid,10,austrian,1,3533
69,941,75,0,madrid,10,austrian,1,3533
70,75,127,4,madrid,10,austrian,1,3533
71,966,89,4,madrid,10,austrian,1,3533
72,615,120,5,madrid,10,austrian,1,3533
73,297,341,10,madrid,10,austrian,1,3533
74,388,140,0,madrid,10,austrian,1,3533
75,322,92,8,madrid,10,austrian,1,3533
76,997,162,9,madrid,10,austrian,1,3533
77,697,166,10,madrid,10,austrian,1,3533
78,147,193,4,madrid,10,austrian,1,3533
79,333,117,8,madrid,10,austrian,1,3533
80,780,387,10,madrid,10,austrian,1,3533
81,873,241,22,madrid,10,austrian,1,3533
82,444,102,15,madrid,10,austrian,1,3533
83,2,102,0,madrid,10,austrian,1,3533
84,393,166,10,madrid,10,austrian,1,3533
85,458,89,8,madrid,10,austrian,1,3533
86,798,392,9,madrid,10,austrian,1,3533
87,499,273,7,madrid,10,austrian,1,3533
88,108,107,3,madrid,10,austrian,1,3533
89,427,196,9,madrid,10,austrian,1,3533
90,619,137,0,madrid,10,austrian,1,3533
91,418,167,0,madrid,10,austrian,1,3533
92,689,98,0,madrid,10,austrian,1,3533
93,886,178,4,madrid,10,austrian,1,3533
94,284,166,10,madrid,10,austrian,1,3533
95,468,74,0,madrid,10,austrian,1,3533
96,939,190,8,madrid,10,austrian,1,3533
97,747,196,14,madrid,10,austrian,1,3533
98,600,70,0,madrid,10,austrian,1,3533
99,131,184,13,madrid,10,austrian,1,3533
100,478,123,7,madrid,10,austrian,1,3533
101,120,162,8,madrid,10,austrian,1,3533
102,525,118,6,madrid,10,austrian,1,3533
103,561,70,7,madrid,10,austrian,1,3533
104,384,199,13,madrid,10,austrian,1,3533
105,936,166,9,madrid,10,austrian,1,3533
106,789,85,0,madrid,10,austrian,1,3533
107,845,290,11,madrid,10,austrian,1,3533
108,39,122,7,madrid,10,austrian,1,3533
109,909,74,0,madrid,10,austrian,1,3533
110,964,166,4,madrid,10,austrian,1,3533
111,904,125,6,madrid,10,austrian,1,3533
112,185,163,0,madrid,10,austrian,1,3533
113,857,122,8,madrid,10,austrian,1,3533
114,149,198,4,madrid,10,austrian,1,3533
115,312,123,0,madrid,10,austrian,1,3533
