,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,939,186,8,madrid,10,cypriot,1,3533
1,427,192,9,madrid,10,cypriot,1,3533
2,822,204,13,madrid,10,cypriot,1,3533
3,246,391,10,madrid,10,cypriot,1,3533
4,982,207,8,madrid,10,cypriot,1,3533
5,297,334,10,madrid,10,cypriot,1,3533
6,836,163,10,madrid,10,cypriot,1,3533
7,235,163,10,madrid,10,cypriot,1,3533
8,131,181,13,madrid,10,cypriot,1,3533
9,997,159,9,madrid,10,cypriot,1,3533
10,322,90,8,madrid,10,cypriot,1,3533
11,936,162,9,madrid,10,cypriot,1,3533
12,384,195,13,madrid,10,cypriot,1,3533
13,525,116,6,madrid,10,cypriot,1,3533
14,495,308,12,madrid,10,cypriot,1,3533
15,909,73,0,madrid,10,cypriot,1,3533
16,67,218,30,madrid,10,cypriot,1,3533
17,277,234,22,madrid,10,cypriot,1,3533
18,351,101,4,madrid,10,cypriot,1,3533
19,721,75,0,madrid,10,cypriot,1,3533
20,241,137,0,madrid,10,cypriot,1,3533
21,964,162,4,madrid,10,cypriot,1,3533
22,901,388,10,madrid,10,cypriot,1,3533
23,138,75,0,madrid,10,cypriot,1,3533
24,886,175,4,madrid,10,cypriot,1,3533
25,689,96,0,madrid,10,cypriot,1,3533
26,847,92,18,madrid,10,cypriot,1,3533
27,276,76,0,madrid,10,cypriot,1,3533
28,800,101,0,madrid,10,cypriot,1,3533
29,108,105,3,madrid,10,cypriot,1,3533
30,619,135,0,madrid,10,cypriot,1,3533
31,733,132,4,madrid,10,cypriot,1,3533
32,575,96,30,madrid,10,cypriot,1,3533
33,126,107,8,madrid,10,cypriot,1,3533
34,870,78,0,madrid,10,cypriot,1,3533
35,966,87,4,madrid,10,cypriot,1,3533
36,673,208,13,madrid,10,cypriot,1,3533
37,873,236,22,madrid,10,cypriot,1,3533
38,265,314,15,madrid,10,cypriot,1,3533
39,483,102,0,madrid,10,cypriot,1,3533
40,747,192,14,madrid,10,cypriot,1,3533
41,333,115,8,madrid,10,cypriot,1,3533
42,444,100,15,madrid,10,cypriot,1,3533
43,904,123,6,madrid,10,cypriot,1,3533
44,561,69,7,madrid,10,cypriot,1,3533
45,388,137,0,madrid,10,cypriot,1,3533
46,127,76,0,madrid,10,cypriot,1,3533
47,860,160,10,madrid,10,cypriot,1,3533
48,102,297,15,madrid,10,cypriot,1,3533
49,97,250,20,madrid,10,cypriot,1,3533
50,186,141,5,madrid,10,cypriot,1,3533
51,93,284,12,madrid,10,cypriot,1,3533
52,285,99,0,madrid,10,cypriot,1,3533
53,149,194,4,madrid,10,cypriot,1,3533
54,393,162,10,madrid,10,cypriot,1,3533
55,413,245,20,madrid,10,cypriot,1,3533
56,609,223,9,madrid,10,cypriot,1,3533
57,780,379,10,madrid,10,cypriot,1,3533
58,185,160,0,madrid,10,cypriot,1,3533
59,737,159,27,madrid,10,cypriot,1,3533
60,233,163,6,madrid,10,cypriot,1,3533
61,174,142,22,madrid,10,cypriot,1,3533
62,39,119,7,madrid,10,cypriot,1,3533
