,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,357,186,15,paris,15,slovakian,1,3533
1,868,199,15,paris,15,slovakian,1,3533
2,980,117,6,paris,15,slovakian,1,3533
3,986,239,15,paris,15,slovakian,1,3533
4,484,142,12,paris,15,slovakian,1,3533
5,257,193,11,paris,15,slovakian,1,3533
6,150,233,20,paris,15,slovakian,1,3533
7,723,88,5,paris,15,slovakian,1,3533
8,415,130,12,paris,15,slovakian,1,3533
9,756,229,20,paris,15,slovakian,1,3533
10,115,110,34,paris,15,slovakian,1,3533
11,290,196,14,paris,15,slovakian,1,3533
12,738,126,13,paris,15,slovakian,1,3533
13,889,196,14,paris,15,slovakian,1,3533
14,970,304,29,paris,15,slovakian,1,3533
15,21,88,5,paris,15,slovakian,1,3533
16,700,182,85,paris,15,slovakian,1,3533
17,942,241,16,paris,15,slovakian,1,3533
18,645,166,0,paris,15,slovakian,1,3533
19,248,233,14,paris,15,slovakian,1,3533
20,225,196,12,paris,15,slovakian,1,3533
21,573,306,35,paris,15,slovakian,1,3533
22,882,228,10,paris,15,slovakian,1,3533
23,767,193,6,paris,15,slovakian,1,3533
24,735,159,8,paris,15,slovakian,1,3533
25,722,198,14,paris,15,slovakian,1,3533
26,301,137,12,paris,15,slovakian,1,3533
27,522,176,7,paris,15,slovakian,1,3533
28,299,118,0,paris,15,slovakian,1,3533
29,663,159,17,paris,15,slovakian,1,3533
30,795,170,0,paris,15,slovakian,1,3533
31,95,349,19,paris,15,slovakian,1,3533
32,863,340,19,paris,15,slovakian,1,3533
33,379,326,28,paris,15,slovakian,1,3533
34,582,227,18,paris,15,slovakian,1,3533
35,912,169,0,paris,15,slovakian,1,3533
36,29,245,13,paris,15,slovakian,1,3533
37,308,222,17,paris,15,slovakian,1,3533
38,342,123,6,paris,15,slovakian,1,3533
39,614,90,0,paris,15,slovakian,1,3533
40,338,201,31,paris,15,slovakian,1,3533
41,736,231,19,paris,15,slovakian,1,3533
42,436,254,78,paris,15,slovakian,1,3533
43,130,243,18,paris,15,slovakian,1,3533
44,577,193,4,paris,15,slovakian,1,3533
45,492,120,0,paris,15,slovakian,1,3533
46,327,233,14,paris,15,slovakian,1,3533
47,595,193,12,paris,15,slovakian,1,3533
48,306,201,24,paris,15,slovakian,1,3533
49,629,89,0,paris,15,slovakian,1,3533
50,580,145,12,paris,15,slovakian,1,3533
51,123,129,10,paris,15,slovakian,1,3533
52,254,169,1,paris,15,slovakian,1,3533
53,526,332,25,paris,15,slovakian,1,3533
54,841,89,1,paris,15,slovakian,1,3533
55,823,233,13,paris,15,slovakian,1,3533
56,884,229,21,paris,15,slovakian,1,3533
57,858,252,13,paris,15,slovakian,1,3533
58,808,362,19,paris,15,slovakian,1,3533
59,817,227,19,paris,15,slovakian,1,3533
60,412,273,96,paris,15,slovakian,1,3533
61,259,142,10,paris,15,slovakian,1,3533
62,159,235,15,paris,15,slovakian,1,3533
63,66,191,14,paris,15,slovakian,1,3533
64,188,87,17,paris,15,slovakian,1,3533
65,742,301,27,paris,15,slovakian,1,3533
66,397,356,20,paris,15,slovakian,1,3533
67,534,328,27,paris,15,slovakian,1,3533
68,946,241,14,paris,15,slovakian,1,3533
69,782,273,45,paris,15,slovakian,1,3533
70,148,117,0,paris,15,slovakian,1,3533
71,803,303,23,paris,15,slovakian,1,3533
72,790,349,19,paris,15,slovakian,1,3533
73,24,274,28,paris,15,slovakian,1,3533
74,121,85,7,paris,15,slovakian,1,3533
75,94,257,81,paris,15,slovakian,1,3533
76,0,201,21,paris,15,slovakian,1,3533
77,17,84,10,paris,15,slovakian,1,3533
78,792,87,20,paris,15,slovakian,1,3533
79,69,259,96,paris,15,slovakian,1,3533
80,963,139,12,paris,15,slovakian,1,3533
81,564,94,0,paris,15,slovakian,1,3533
82,708,193,15,paris,15,slovakian,1,3533
