,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,225,217,12,paris,15,swedish,0,3533
1,926,213,31,paris,15,swedish,0,3533
2,299,131,0,paris,15,swedish,0,3533
3,305,219,15,paris,15,swedish,0,3533
4,229,251,21,paris,15,swedish,0,3533
5,165,183,24,paris,15,swedish,0,3533
6,357,205,15,paris,15,swedish,0,3533
7,573,338,35,paris,15,swedish,0,3533
8,992,94,0,paris,15,swedish,0,3533
9,571,363,20,paris,15,swedish,0,3533
10,259,156,10,paris,15,swedish,0,3533
11,595,213,12,paris,15,swedish,0,3533
12,640,219,12,paris,15,swedish,0,3533
13,130,269,18,paris,15,swedish,0,3533
14,56,253,19,paris,15,swedish,0,3533
15,564,104,0,paris,15,swedish,0,3533
16,708,213,15,paris,15,swedish,0,3533
17,576,257,16,paris,15,swedish,0,3533
18,509,101,0,paris,15,swedish,0,3533
19,150,257,20,paris,15,swedish,0,3533
20,808,400,19,paris,15,swedish,0,3533
21,948,246,21,paris,15,swedish,0,3533
22,656,138,10,paris,15,swedish,0,3533
23,684,96,6,paris,15,swedish,0,3533
24,803,335,23,paris,15,swedish,0,3533
25,858,278,13,paris,15,swedish,0,3533
26,119,259,14,paris,15,swedish,0,3533
27,963,154,12,paris,15,swedish,0,3533
28,767,213,6,paris,15,swedish,0,3533
29,188,96,17,paris,15,swedish,0,3533
30,970,336,29,paris,15,swedish,0,3533
31,419,138,12,paris,15,swedish,0,3533
32,885,193,22,paris,15,swedish,0,3533
33,882,251,10,paris,15,swedish,0,3533
34,21,97,5,paris,15,swedish,0,3533
35,27,285,46,paris,15,swedish,0,3533
36,910,97,10,paris,15,swedish,0,3533
37,17,93,10,paris,15,swedish,0,3533
38,663,176,17,paris,15,swedish,0,3533
39,474,207,14,paris,15,swedish,0,3533
40,436,280,78,paris,15,swedish,0,3533
41,825,213,16,paris,15,swedish,0,3533
42,705,162,8,paris,15,swedish,0,3533
43,634,99,0,paris,15,swedish,0,3533
44,199,259,2,paris,15,swedish,0,3533
45,560,174,22,paris,15,swedish,0,3533
46,69,286,96,paris,15,swedish,0,3533
47,823,257,13,paris,15,swedish,0,3533
48,631,94,0,paris,15,swedish,0,3533
49,742,332,27,paris,15,swedish,0,3533
50,95,386,19,paris,15,swedish,0,3533
51,308,246,17,paris,15,swedish,0,3533
52,415,144,12,paris,15,swedish,0,3533
53,868,220,15,paris,15,swedish,0,3533
54,257,213,11,paris,15,swedish,0,3533
55,115,122,34,paris,15,swedish,0,3533
56,24,302,28,paris,15,swedish,0,3533
57,477,95,10,paris,15,swedish,0,3533
58,795,188,0,paris,15,swedish,0,3533
59,49,183,0,paris,15,swedish,0,3533
60,797,164,11,paris,15,swedish,0,3533
61,397,393,20,paris,15,swedish,0,3533
62,238,181,0,paris,15,swedish,0,3533
63,176,97,0,paris,15,swedish,0,3533
64,290,217,14,paris,15,swedish,0,3533
65,734,160,9,paris,15,swedish,0,3533
66,645,183,0,paris,15,swedish,0,3533
67,911,145,12,paris,15,swedish,0,3533
68,975,188,22,paris,15,swedish,0,3533
69,722,219,14,paris,15,swedish,0,3533
70,972,114,6,paris,15,swedish,0,3533
71,274,217,12,paris,15,swedish,0,3533
72,558,116,5,paris,15,swedish,0,3533
73,192,135,0,paris,15,swedish,0,3533
74,842,415,20,paris,15,swedish,0,3533
75,121,94,7,paris,15,swedish,0,3533
76,534,363,27,paris,15,swedish,0,3533
77,584,432,19,paris,15,swedish,0,3533
78,582,250,18,paris,15,swedish,0,3533
79,986,264,15,paris,15,swedish,0,3533
80,942,266,16,paris,15,swedish,0,3533
81,612,257,20,paris,15,swedish,0,3533
82,756,253,20,paris,15,swedish,0,3533
83,937,255,14,paris,15,swedish,0,3533
84,412,301,96,paris,15,swedish,0,3533
85,342,136,6,paris,15,swedish,0,3533
86,790,386,19,paris,15,swedish,0,3533
87,522,195,7,paris,15,swedish,0,3533
88,65,183,9,paris,15,swedish,0,3533
89,884,253,21,paris,15,swedish,0,3533
90,980,129,6,paris,15,swedish,0,3533
91,331,111,12,paris,15,swedish,0,3533
92,132,293,42,paris,15,swedish,0,3533
93,123,142,10,paris,15,swedish,0,3533
94,602,131,7,paris,15,swedish,0,3533
95,338,222,31,paris,15,swedish,0,3533
96,159,259,15,paris,15,swedish,0,3533
97,647,162,10,paris,15,swedish,0,3533
98,741,215,15,paris,15,swedish,0,3533
99,133,179,0,paris,15,swedish,0,3533
100,66,211,14,paris,15,swedish,0,3533
101,216,236,22,paris,15,swedish,0,3533
102,62,97,0,paris,15,swedish,0,3533
103,248,257,14,paris,15,swedish,0,3533
104,0,222,21,paris,15,swedish,0,3533
105,782,301,45,paris,15,swedish,0,3533
106,946,266,14,paris,15,swedish,0,3533
107,903,101,0,paris,15,swedish,0,3533
108,792,97,20,paris,15,swedish,0,3533
109,182,184,9,paris,15,swedish,0,3533
110,484,156,12,paris,15,swedish,0,3533
111,738,139,13,paris,15,swedish,0,3533
112,327,257,14,paris,15,swedish,0,3533
113,339,287,20,paris,15,swedish,0,3533
114,723,97,5,paris,15,swedish,0,3533
115,748,207,31,paris,15,swedish,0,3533
116,207,187,0,paris,15,swedish,0,3533
117,540,337,33,paris,15,swedish,0,3533
118,41,154,12,paris,15,swedish,0,3533
119,227,96,8,paris,15,swedish,0,3533
120,392,215,14,paris,15,swedish,0,3533
121,736,255,19,paris,15,swedish,0,3533
122,889,217,14,paris,15,swedish,0,3533
123,949,358,26,paris,15,swedish,0,3533
124,379,360,28,paris,15,swedish,0,3533
125,912,187,0,paris,15,swedish,0,3533
126,776,181,0,paris,15,swedish,0,3533
127,14,170,19,paris,15,swedish,0,3533
