,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,188,91,20,paris,20,italian,0,3533
1,736,198,31,paris,20,italian,0,3533
2,509,95,0,paris,20,italian,0,3533
3,121,87,13,paris,20,italian,0,3533
4,868,191,34,paris,20,italian,0,3533
5,305,192,20,paris,20,italian,0,3533
6,248,201,31,paris,20,italian,0,3533
7,27,269,69,paris,20,italian,0,3533
8,803,316,39,paris,20,italian,0,3533
9,825,187,22,paris,20,italian,0,3533
10,738,131,21,paris,20,italian,0,3533
11,910,90,16,paris,20,italian,0,3533
12,254,176,18,paris,20,italian,0,3533
13,323,300,53,paris,20,italian,0,3533
14,972,107,8,paris,20,italian,0,3533
15,992,88,3,paris,20,italian,0,3533
16,216,223,34,paris,20,italian,0,3533
17,133,169,0,paris,20,italian,0,3533
18,705,153,16,paris,20,italian,0,3533
19,767,193,21,paris,20,italian,0,3533
20,41,140,16,paris,20,italian,0,3533
21,577,201,18,paris,20,italian,0,3533
22,28,154,14,paris,20,italian,0,3533
23,331,97,19,paris,20,italian,0,3533
24,148,122,8,paris,20,italian,0,3533
25,631,88,0,paris,20,italian,0,3533
26,986,223,27,paris,20,italian,0,3533
27,69,270,112,paris,20,italian,0,3533
28,397,346,30,paris,20,italian,0,3533
29,970,293,49,paris,20,italian,0,3533
30,176,92,0,paris,20,italian,0,3533
31,227,91,12,paris,20,italian,0,3533
32,314,125,9,paris,20,italian,0,3533
33,492,125,2,paris,20,italian,0,3533
34,948,206,37,paris,20,italian,0,3533
35,980,122,17,paris,20,italian,0,3533
36,150,216,33,paris,20,italian,0,3533
37,182,174,26,paris,20,italian,0,3533
38,884,222,28,paris,20,italian,0,3533
39,782,284,67,paris,20,italian,0,3533
40,795,177,0,paris,20,italian,0,3533
41,790,316,42,paris,20,italian,0,3533
42,342,129,11,paris,20,italian,0,3533
43,24,273,59,paris,20,italian,0,3533
44,926,201,42,paris,20,italian,0,3533
45,584,333,39,paris,20,italian,0,3533
46,192,127,6,paris,20,italian,0,3533
