,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,228,134,0,rome,10,hungarian,1,3533
1,440,141,6,rome,10,hungarian,1,3533
2,129,115,8,rome,10,hungarian,1,3533
3,702,206,13,rome,10,hungarian,1,3533
4,906,140,0,rome,10,hungarian,1,3533
5,714,73,0,rome,10,hungarian,1,3533
6,286,123,7,rome,10,hungarian,1,3533
7,260,104,3,rome,10,hungarian,1,3533
8,364,165,4,rome,10,hungarian,1,3533
9,642,77,3,rome,10,hungarian,1,3533
10,344,70,8,rome,10,hungarian,1,3533
11,485,84,4,rome,10,hungarian,1,3533
12,586,206,9,rome,10,hungarian,1,3533
13,563,190,0,rome,10,hungarian,1,3533
14,347,79,0,rome,10,hungarian,1,3533
15,473,276,19,rome,10,hungarian,1,3533
16,641,130,4,rome,10,hungarian,1,3533
17,774,200,10,rome,10,hungarian,1,3533
18,469,84,7,rome,10,hungarian,1,3533
19,769,79,0,rome,10,hungarian,1,3533
20,843,380,10,rome,10,hungarian,1,3533
21,773,84,6,rome,10,hungarian,1,3533
22,536,122,6,rome,10,hungarian,1,3533
23,696,97,0,rome,10,hungarian,1,3533
24,213,97,0,rome,10,hungarian,1,3533
25,321,385,10,rome,10,hungarian,1,3533
26,452,267,7,rome,10,hungarian,1,3533
27,621,76,0,rome,10,hungarian,1,3533
28,824,272,12,rome,10,hungarian,1,3533
29,636,97,0,rome,10,hungarian,1,3533
30,913,158,10,rome,10,hungarian,1,3533
31,840,106,15,rome,10,hungarian,1,3533
32,947,163,10,rome,10,hungarian,1,3533
33,399,182,12,rome,10,hungarian,1,3533
34,453,380,10,rome,10,hungarian,1,3533
35,144,79,3,rome,10,hungarian,1,3533
36,907,140,0,rome,10,hungarian,1,3533
37,934,76,2,rome,10,hungarian,1,3533
38,694,147,4,rome,10,hungarian,1,3533
39,681,165,4,rome,10,hungarian,1,3533
40,677,214,12,rome,10,hungarian,1,3533
41,864,161,10,rome,10,hungarian,1,3533
42,151,233,21,rome,10,hungarian,1,3533
43,486,191,14,rome,10,hungarian,1,3533
44,386,103,0,rome,10,hungarian,1,3533
45,112,76,0,rome,10,hungarian,1,3533
46,659,214,13,rome,10,hungarian,1,3533
47,324,163,0,rome,10,hungarian,1,3533
48,73,216,8,rome,10,hungarian,1,3533
49,46,300,12,rome,10,hungarian,1,3533
50,330,298,13,rome,10,hungarian,1,3533
51,856,73,0,rome,10,hungarian,1,3533
52,854,300,12,rome,10,hungarian,1,3533
53,728,267,0,rome,10,hungarian,1,3533
54,781,71,0,rome,10,hungarian,1,3533
55,838,161,0,rome,10,hungarian,1,3533
56,796,157,10,rome,10,hungarian,1,3533
57,651,113,8,rome,10,hungarian,1,3533
58,191,160,10,rome,10,hungarian,1,3533
59,48,71,0,rome,10,hungarian,1,3533
60,178,292,18,rome,10,hungarian,1,3533
61,804,158,5,rome,10,hungarian,1,3533
62,156,72,0,rome,10,hungarian,1,3533
63,328,71,0,rome,10,hungarian,1,3533
64,361,160,7,rome,10,hungarian,1,3533
65,293,71,0,rome,10,hungarian,1,3533
66,38,97,0,rome,10,hungarian,1,3533
67,686,113,4,rome,10,hungarian,1,3533
68,374,101,0,rome,10,hungarian,1,3533
69,206,173,19,rome,10,hungarian,1,3533
