,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,929,412,10,rome,10,irish,1,3533
1,566,196,18,rome,10,irish,1,3533
2,180,79,0,rome,10,irish,1,3533
3,563,206,0,rome,10,irish,1,3533
4,769,86,0,rome,10,irish,1,3533
5,641,140,4,rome,10,irish,1,3533
6,341,130,8,rome,10,irish,1,3533
7,583,78,0,rome,10,irish,1,3533
8,681,178,4,rome,10,irish,1,3533
9,947,177,10,rome,10,irish,1,3533
10,543,223,10,rome,10,irish,1,3533
11,906,151,0,rome,10,irish,1,3533
12,453,412,10,rome,10,irish,1,3533
13,650,81,0,rome,10,irish,1,3533
14,712,209,13,rome,10,irish,1,3533
15,38,105,0,rome,10,irish,1,3533
16,281,173,4,rome,10,irish,1,3533
17,489,341,15,rome,10,irish,1,3533
18,324,177,0,rome,10,irish,1,3533
19,953,137,4,rome,10,irish,1,3533
20,636,105,0,rome,10,irish,1,3533
21,569,173,4,rome,10,irish,1,3533
22,206,187,19,rome,10,irish,1,3533
23,840,115,15,rome,10,irish,1,3533
24,328,77,0,rome,10,irish,1,3533
25,686,122,4,rome,10,irish,1,3533
26,347,86,0,rome,10,irish,1,3533
27,854,325,12,rome,10,irish,1,3533
28,725,203,0,rome,10,irish,1,3533
29,728,290,0,rome,10,irish,1,3533
30,671,150,0,rome,10,irish,1,3533
31,895,270,12,rome,10,irish,1,3533
32,944,293,0,rome,10,irish,1,3533
33,469,91,7,rome,10,irish,1,3533
34,668,125,4,rome,10,irish,1,3533
35,991,180,14,rome,10,irish,1,3533
36,897,414,10,rome,10,irish,1,3533
37,386,111,0,rome,10,irish,1,3533
38,296,75,2,rome,10,irish,1,3533
39,739,299,7,rome,10,irish,1,3533
40,51,174,8,rome,10,irish,1,3533
41,485,91,4,rome,10,irish,1,3533
42,677,232,12,rome,10,irish,1,3533
43,423,321,10,rome,10,irish,1,3533
44,42,221,9,rome,10,irish,1,3533
45,702,223,13,rome,10,irish,1,3533
46,298,175,4,rome,10,irish,1,3533
47,144,86,3,rome,10,irish,1,3533
48,286,134,7,rome,10,irish,1,3533
49,344,76,8,rome,10,irish,1,3533
50,751,290,19,rome,10,irish,1,3533
51,838,175,0,rome,10,irish,1,3533
52,399,197,12,rome,10,irish,1,3533
53,804,172,5,rome,10,irish,1,3533
54,773,91,6,rome,10,irish,1,3533
55,759,218,10,rome,10,irish,1,3533
56,781,77,0,rome,10,irish,1,3533
57,701,77,7,rome,10,irish,1,3533
58,112,82,0,rome,10,irish,1,3533
59,907,151,0,rome,10,irish,1,3533
60,316,204,9,rome,10,irish,1,3533
61,763,129,8,rome,10,irish,1,3533
62,396,143,8,rome,10,irish,1,3533
63,864,175,10,rome,10,irish,1,3533
64,537,206,14,rome,10,irish,1,3533
65,550,84,8,rome,10,irish,1,3533
66,139,82,0,rome,10,irish,1,3533
67,934,82,2,rome,10,irish,1,3533
68,232,82,0,rome,10,irish,1,3533
69,913,172,10,rome,10,irish,1,3533
70,621,82,0,rome,10,irish,1,3533
71,380,82,0,rome,10,irish,1,3533
72,156,78,0,rome,10,irish,1,3533
73,714,79,0,rome,10,irish,1,3533
74,191,174,10,rome,10,irish,1,3533
75,178,316,18,rome,10,irish,1,3533
76,48,76,0,rome,10,irish,1,3533
77,228,145,0,rome,10,irish,1,3533
78,816,90,6,rome,10,irish,1,3533
79,786,407,10,rome,10,irish,1,3533
80,440,153,6,rome,10,irish,1,3533
81,437,107,0,rome,10,irish,1,3533
82,651,122,8,rome,10,irish,1,3533
83,486,207,14,rome,10,irish,1,3533
84,361,174,7,rome,10,irish,1,3533
85,856,79,0,rome,10,irish,1,3533
86,321,417,10,rome,10,irish,1,3533
87,586,223,9,rome,10,irish,1,3533
88,932,145,0,rome,10,irish,1,3533
89,390,209,5,rome,10,irish,1,3533
90,694,159,4,rome,10,irish,1,3533
91,114,172,10,rome,10,irish,1,3533
92,787,182,4,rome,10,irish,1,3533
93,260,112,3,rome,10,irish,1,3533
94,774,217,10,rome,10,irish,1,3533
95,496,87,14,rome,10,irish,1,3533
96,536,133,6,rome,10,irish,1,3533
97,552,104,0,rome,10,irish,1,3533
98,330,323,13,rome,10,irish,1,3533
99,850,207,10,rome,10,irish,1,3533
100,513,84,3,rome,10,irish,1,3533
101,151,253,21,rome,10,irish,1,3533
102,555,175,0,rome,10,irish,1,3533
103,273,151,6,rome,10,irish,1,3533
104,473,299,19,rome,10,irish,1,3533
105,345,145,0,rome,10,irish,1,3533
106,364,178,4,rome,10,irish,1,3533
107,993,228,7,rome,10,irish,1,3533
108,452,290,7,rome,10,irish,1,3533
109,46,325,12,rome,10,irish,1,3533
110,129,125,8,rome,10,irish,1,3533
111,73,234,8,rome,10,irish,1,3533
112,696,105,0,rome,10,irish,1,3533
113,874,257,10,rome,10,irish,1,3533
114,824,295,12,rome,10,irish,1,3533
115,374,109,0,rome,10,irish,1,3533
116,3,76,0,rome,10,irish,1,3533
117,471,169,36,rome,10,irish,1,3533
118,381,144,0,rome,10,irish,1,3533
119,170,174,10,rome,10,irish,1,3533
120,293,76,0,rome,10,irish,1,3533
121,644,75,0,rome,10,irish,1,3533
122,642,84,3,rome,10,irish,1,3533
123,843,412,10,rome,10,irish,1,3533
124,213,105,0,rome,10,irish,1,3533
125,659,232,13,rome,10,irish,1,3533
126,242,239,8,rome,10,irish,1,3533
127,796,170,10,rome,10,irish,1,3533
