,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,347,84,5,rome,15,lithuanian,1,3533
1,273,149,16,rome,15,lithuanian,1,3533
2,932,142,0,rome,15,lithuanian,1,3533
3,773,89,7,rome,15,lithuanian,1,3533
4,112,81,2,rome,15,lithuanian,1,3533
5,759,193,18,rome,15,lithuanian,1,3533
6,686,94,7,rome,15,lithuanian,1,3533
7,473,293,29,rome,15,lithuanian,1,3533
8,850,175,26,rome,15,lithuanian,1,3533
9,991,177,23,rome,15,lithuanian,1,3533
10,543,189,20,rome,15,lithuanian,1,3533
11,934,78,8,rome,15,lithuanian,1,3533
12,583,76,4,rome,15,lithuanian,1,3533
13,816,88,7,rome,15,lithuanian,1,3533
14,897,355,18,rome,15,lithuanian,1,3533
15,641,125,8,rome,15,lithuanian,1,3533
16,659,205,20,rome,15,lithuanian,1,3533
17,170,140,21,rome,15,lithuanian,1,3533
18,856,78,0,rome,15,lithuanian,1,3533
19,471,166,46,rome,15,lithuanian,1,3533
20,781,75,0,rome,15,lithuanian,1,3533
21,361,170,12,rome,15,lithuanian,1,3533
22,786,280,19,rome,15,lithuanian,1,3533
23,440,135,10,rome,15,lithuanian,1,3533
24,485,76,7,rome,15,lithuanian,1,3533
25,453,323,17,rome,15,lithuanian,1,3533
26,260,110,16,rome,15,lithuanian,1,3533
27,213,103,0,rome,15,lithuanian,1,3533
28,536,120,12,rome,15,lithuanian,1,3533
29,550,82,12,rome,15,lithuanian,1,3533
30,566,155,41,rome,15,lithuanian,1,3533
31,129,122,12,rome,15,lithuanian,1,3533
32,38,103,8,rome,15,lithuanian,1,3533
33,316,186,21,rome,15,lithuanian,1,3533
34,206,184,27,rome,15,lithuanian,1,3533
35,725,199,10,rome,15,lithuanian,1,3533
36,344,74,12,rome,15,lithuanian,1,3533
37,644,74,0,rome,15,lithuanian,1,3533
38,769,84,2,rome,15,lithuanian,1,3533
39,751,284,29,rome,15,lithuanian,1,3533
40,293,75,7,rome,15,lithuanian,1,3533
41,701,75,11,rome,15,lithuanian,1,3533
42,151,248,41,rome,15,lithuanian,1,3533
43,46,319,22,rome,15,lithuanian,1,3533
44,586,197,16,rome,15,lithuanian,1,3533
45,563,202,1,rome,15,lithuanian,1,3533
46,681,175,12,rome,15,lithuanian,1,3533
47,668,122,10,rome,15,lithuanian,1,3533
48,642,79,9,rome,15,lithuanian,1,3533
49,838,172,4,rome,15,lithuanian,1,3533
50,380,81,0,rome,15,lithuanian,1,3533
51,144,84,9,rome,15,lithuanian,1,3533
52,651,120,12,rome,15,lithuanian,1,3533
53,569,138,8,rome,15,lithuanian,1,3533
54,437,105,5,rome,15,lithuanian,1,3533
55,864,147,16,rome,15,lithuanian,1,3533
56,381,141,2,rome,15,lithuanian,1,3533
57,513,79,7,rome,15,lithuanian,1,3533
58,178,248,32,rome,15,lithuanian,1,3533
59,321,327,17,rome,15,lithuanian,1,3533
60,298,172,12,rome,15,lithuanian,1,3533
61,139,81,0,rome,15,lithuanian,1,3533
62,228,142,0,rome,15,lithuanian,1,3533
63,947,142,16,rome,15,lithuanian,1,3533
64,396,127,12,rome,15,lithuanian,1,3533
65,944,287,11,rome,15,lithuanian,1,3533
66,694,145,6,rome,15,lithuanian,1,3533
67,728,284,0,rome,15,lithuanian,1,3533
68,3,75,5,rome,15,lithuanian,1,3533
69,804,168,10,rome,15,lithuanian,1,3533
70,374,107,0,rome,15,lithuanian,1,3533
71,913,168,18,rome,15,lithuanian,1,3533
72,242,213,15,rome,15,lithuanian,1,3533
73,496,86,21,rome,15,lithuanian,1,3533
74,48,75,14,rome,15,lithuanian,1,3533
75,953,134,8,rome,15,lithuanian,1,3533
76,636,103,0,rome,15,lithuanian,1,3533
77,824,248,26,rome,15,lithuanian,1,3533
78,469,73,13,rome,15,lithuanian,1,3533
79,324,174,6,rome,15,lithuanian,1,3533
80,702,197,20,rome,15,lithuanian,1,3533
81,452,213,11,rome,15,lithuanian,1,3533
82,696,103,0,rome,15,lithuanian,1,3533
83,787,146,8,rome,15,lithuanian,1,3533
84,423,315,20,rome,15,lithuanian,1,3533
85,714,78,0,rome,15,lithuanian,1,3533
86,341,128,12,rome,15,lithuanian,1,3533
87,993,202,14,rome,15,lithuanian,1,3533
88,489,334,25,rome,15,lithuanian,1,3533
89,537,202,21,rome,15,lithuanian,1,3533
