,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,642,73,24,rome,25,french,1,3533
1,114,144,36,rome,25,french,1,3533
2,840,113,32,rome,25,french,1,3533
3,621,80,14,rome,25,french,1,3533
4,993,180,48,rome,25,french,1,3533
5,144,79,22,rome,25,french,1,3533
6,380,79,15,rome,25,french,1,3533
7,242,176,55,rome,25,french,1,3533
8,563,194,38,rome,25,french,1,3533
9,796,137,43,rome,25,french,1,3533
10,816,78,12,rome,25,french,1,3533
11,929,272,58,rome,25,french,1,3533
12,686,90,18,rome,25,french,1,3533
13,696,103,27,rome,25,french,1,3533
14,386,109,17,rome,25,french,1,3533
15,178,238,96,rome,25,french,1,3533
16,895,253,67,rome,25,french,1,3533
17,854,270,62,rome,25,french,1,3533
18,659,176,52,rome,25,french,1,3533
19,913,168,32,rome,25,french,1,3533
20,38,103,17,rome,25,french,1,3533
21,543,175,52,rome,25,french,1,3533
22,361,164,28,rome,25,french,1,3533
23,437,101,17,rome,25,french,1,3533
24,486,181,42,rome,25,french,1,3533
25,213,103,15,rome,25,french,1,3533
26,714,78,4,rome,25,french,1,3533
27,73,185,50,rome,25,french,1,3533
28,681,156,31,rome,25,french,1,3533
29,489,282,53,rome,25,french,1,3533
30,701,75,23,rome,25,french,1,3533
31,566,155,94,rome,25,french,1,3533
32,330,248,66,rome,25,french,1,3533
33,694,138,16,rome,25,french,1,3533
34,347,84,17,rome,25,french,1,3533
35,668,109,27,rome,25,french,1,3533
36,897,253,67,rome,25,french,1,3533
37,763,108,30,rome,25,french,1,3533
38,473,240,67,rome,25,french,1,3533
39,583,76,14,rome,25,french,1,3533
40,874,173,54,rome,25,french,1,3533
41,586,159,57,rome,25,french,1,3533
42,170,140,52,rome,25,french,1,3533
43,453,262,68,rome,25,french,1,3533
44,934,78,21,rome,25,french,1,3533
45,471,166,71,rome,25,french,1,3533
46,390,176,38,rome,25,french,1,3533
47,206,176,56,rome,25,french,1,3533
48,374,107,23,rome,25,french,1,3533
49,328,75,17,rome,25,french,1,3533
50,725,177,44,rome,25,french,1,3533
51,324,167,32,rome,25,french,1,3533
52,440,113,28,rome,25,french,1,3533
53,856,78,4,rome,25,french,1,3533
54,569,111,25,rome,25,french,1,3533
55,48,69,42,rome,25,french,1,3533
56,293,69,32,rome,25,french,1,3533
57,341,115,26,rome,25,french,1,3533
58,650,80,16,rome,25,french,1,3533
59,932,142,31,rome,25,french,1,3533
60,804,144,30,rome,25,french,1,3533
61,641,111,28,rome,25,french,1,3533
62,281,111,24,rome,25,french,1,3533
63,702,181,52,rome,25,french,1,3533
64,46,270,62,rome,25,french,1,3533
65,739,190,43,rome,25,french,1,3533
66,774,177,49,rome,25,french,1,3533
67,636,103,32,rome,25,french,1,3533
68,423,253,63,rome,25,french,1,3533
69,850,175,59,rome,25,french,1,3533
70,232,80,15,rome,25,french,1,3533
71,906,149,22,rome,25,french,1,3533
72,991,177,46,rome,25,french,1,3533
73,3,72,17,rome,25,french,1,3533
74,180,78,15,rome,25,french,1,3533
75,298,153,30,rome,25,french,1,3533
76,824,238,73,rome,25,french,1,3533
77,344,71,24,rome,25,french,1,3533
78,644,74,0,rome,25,french,1,3533
79,787,116,28,rome,25,french,1,3533
80,296,69,19,rome,25,french,1,3533
81,273,149,40,rome,25,french,1,3533
82,843,243,76,rome,25,french,1,3533
83,759,165,57,rome,25,french,1,3533
84,151,248,86,rome,25,french,1,3533
85,944,277,58,rome,25,french,1,3533
86,139,81,9,rome,25,french,1,3533
87,129,109,28,rome,25,french,1,3533
88,513,79,19,rome,25,french,1,3533
89,191,145,32,rome,25,french,1,3533
90,469,66,32,rome,25,french,1,3533
91,536,106,33,rome,25,french,1,3533
92,364,156,29,rome,25,french,1,3533
93,555,159,28,rome,25,french,1,3533
94,751,234,67,rome,25,french,1,3533
95,769,84,16,rome,25,french,1,3533
96,452,170,55,rome,25,french,1,3533
97,550,78,33,rome,25,french,1,3533
98,381,141,30,rome,25,french,1,3533
99,947,142,40,rome,25,french,1,3533
100,496,70,50,rome,25,french,1,3533
101,671,147,33,rome,25,french,1,3533
102,677,168,55,rome,25,french,1,3533
103,51,145,34,rome,25,french,1,3533
104,728,284,48,rome,25,french,1,3533
105,781,75,0,rome,25,french,1,3533
106,651,99,30,rome,25,french,1,3533
107,396,108,31,rome,25,french,1,3533
108,399,186,45,rome,25,french,1,3533
109,537,166,63,rome,25,french,1,3533
110,907,149,38,rome,25,french,1,3533
111,786,239,70,rome,25,french,1,3533
112,112,79,15,rome,25,french,1,3533
113,260,110,38,rome,25,french,1,3533
114,953,108,29,rome,25,french,1,3533
115,321,275,63,rome,25,french,1,3533
116,228,142,0,rome,25,french,1,3533
117,838,165,31,rome,25,french,1,3533
118,485,76,16,rome,25,french,1,3533
119,316,165,64,rome,25,french,1,3533
120,156,76,14,rome,25,french,1,3533
121,712,162,71,rome,25,french,1,3533
122,773,76,11,rome,25,french,1,3533
123,286,122,24,rome,25,french,1,3533
124,552,100,39,rome,25,french,1,3533
125,42,180,50,rome,25,french,1,3533
126,864,147,39,rome,25,french,1,3533
127,345,142,9,rome,25,french,1,3533
