,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,156,76,14,rome,25,german,1,3533
1,286,122,24,rome,25,german,1,3533
2,725,177,44,rome,25,german,1,3533
3,178,238,96,rome,25,german,1,3533
4,636,103,32,rome,25,german,1,3533
5,774,177,49,rome,25,german,1,3533
6,453,262,68,rome,25,german,1,3533
7,932,142,31,rome,25,german,1,3533
8,316,165,64,rome,25,german,1,3533
9,763,108,30,rome,25,german,1,3533
10,677,168,55,rome,25,german,1,3533
11,907,149,38,rome,25,german,1,3533
12,651,99,30,rome,25,german,1,3533
13,170,140,52,rome,25,german,1,3533
14,563,194,38,rome,25,german,1,3533
15,781,75,0,rome,25,german,1,3533
16,895,253,67,rome,25,german,1,3533
17,151,248,86,rome,25,german,1,3533
18,399,186,45,rome,25,german,1,3533
19,114,144,36,rome,25,german,1,3533
20,586,159,57,rome,25,german,1,3533
21,864,147,39,rome,25,german,1,3533
22,686,90,18,rome,25,german,1,3533
23,228,142,0,rome,25,german,1,3533
24,213,103,15,rome,25,german,1,3533
25,298,153,30,rome,25,german,1,3533
26,671,147,33,rome,25,german,1,3533
27,993,180,48,rome,25,german,1,3533
28,569,111,25,rome,25,german,1,3533
29,390,176,38,rome,25,german,1,3533
30,112,79,15,rome,25,german,1,3533
31,843,243,76,rome,25,german,1,3533
32,702,181,52,rome,25,german,1,3533
33,644,74,0,rome,25,german,1,3533
34,345,142,9,rome,25,german,1,3533
35,991,177,46,rome,25,german,1,3533
36,550,78,33,rome,25,german,1,3533
37,787,116,28,rome,25,german,1,3533
38,816,78,12,rome,25,german,1,3533
39,552,100,39,rome,25,german,1,3533
40,496,70,50,rome,25,german,1,3533
41,46,270,62,rome,25,german,1,3533
42,129,109,28,rome,25,german,1,3533
43,874,173,54,rome,25,german,1,3533
44,537,166,63,rome,25,german,1,3533
45,51,145,34,rome,25,german,1,3533
46,328,75,17,rome,25,german,1,3533
47,489,282,53,rome,25,german,1,3533
48,139,81,9,rome,25,german,1,3533
49,473,240,67,rome,25,german,1,3533
50,543,175,52,rome,25,german,1,3533
51,659,176,52,rome,25,german,1,3533
52,621,80,14,rome,25,german,1,3533
53,681,156,31,rome,25,german,1,3533
54,281,111,24,rome,25,german,1,3533
55,485,76,16,rome,25,german,1,3533
56,386,109,17,rome,25,german,1,3533
57,452,170,55,rome,25,german,1,3533
58,374,107,23,rome,25,german,1,3533
59,423,253,63,rome,25,german,1,3533
60,850,175,59,rome,25,german,1,3533
61,913,168,32,rome,25,german,1,3533
62,273,149,40,rome,25,german,1,3533
63,897,253,67,rome,25,german,1,3533
64,856,78,4,rome,25,german,1,3533
65,642,73,24,rome,25,german,1,3533
66,232,80,15,rome,25,german,1,3533
67,650,80,16,rome,25,german,1,3533
68,380,79,15,rome,25,german,1,3533
69,73,185,50,rome,25,german,1,3533
70,929,272,58,rome,25,german,1,3533
71,471,166,71,rome,25,german,1,3533
72,694,138,16,rome,25,german,1,3533
73,701,75,23,rome,25,german,1,3533
74,947,142,40,rome,25,german,1,3533
75,293,69,32,rome,25,german,1,3533
76,48,69,42,rome,25,german,1,3533
77,944,277,58,rome,25,german,1,3533
78,536,106,33,rome,25,german,1,3533
79,296,69,19,rome,25,german,1,3533
80,838,165,31,rome,25,german,1,3533
81,714,78,4,rome,25,german,1,3533
82,953,108,29,rome,25,german,1,3533
83,341,115,26,rome,25,german,1,3533
84,712,162,71,rome,25,german,1,3533
85,739,190,43,rome,25,german,1,3533
86,321,275,63,rome,25,german,1,3533
87,469,66,32,rome,25,german,1,3533
88,769,84,16,rome,25,german,1,3533
89,840,113,32,rome,25,german,1,3533
90,566,155,94,rome,25,german,1,3533
91,361,164,28,rome,25,german,1,3533
92,696,103,27,rome,25,german,1,3533
93,854,270,62,rome,25,german,1,3533
94,759,165,57,rome,25,german,1,3533
95,3,72,17,rome,25,german,1,3533
96,440,113,28,rome,25,german,1,3533
97,396,108,31,rome,25,german,1,3533
98,555,159,28,rome,25,german,1,3533
99,751,234,67,rome,25,german,1,3533
100,786,239,70,rome,25,german,1,3533
101,437,101,17,rome,25,german,1,3533
102,381,141,30,rome,25,german,1,3533
103,486,181,42,rome,25,german,1,3533
104,206,176,56,rome,25,german,1,3533
105,242,176,55,rome,25,german,1,3533
106,260,110,38,rome,25,german,1,3533
107,42,180,50,rome,25,german,1,3533
108,144,79,22,rome,25,german,1,3533
109,796,137,43,rome,25,german,1,3533
110,191,145,32,rome,25,german,1,3533
111,324,167,32,rome,25,german,1,3533
112,344,71,24,rome,25,german,1,3533
113,906,149,22,rome,25,german,1,3533
114,513,79,19,rome,25,german,1,3533
115,773,76,11,rome,25,german,1,3533
116,330,248,66,rome,25,german,1,3533
117,668,109,27,rome,25,german,1,3533
118,728,284,48,rome,25,german,1,3533
119,364,156,29,rome,25,german,1,3533
120,347,84,17,rome,25,german,1,3533
121,934,78,21,rome,25,german,1,3533
122,38,103,17,rome,25,german,1,3533
123,583,76,14,rome,25,german,1,3533
124,180,78,15,rome,25,german,1,3533
125,804,144,30,rome,25,german,1,3533
126,824,238,73,rome,25,german,1,3533
127,641,111,28,rome,25,german,1,3533
