,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,51,145,34,rome,25,greek,0,3533
1,701,75,23,rome,25,greek,0,3533
2,286,122,24,rome,25,greek,0,3533
3,993,180,48,rome,25,greek,0,3533
4,3,72,17,rome,25,greek,0,3533
5,191,145,32,rome,25,greek,0,3533
6,144,79,22,rome,25,greek,0,3533
7,712,162,71,rome,25,greek,0,3533
8,642,73,24,rome,25,greek,0,3533
9,934,78,21,rome,25,greek,0,3533
10,907,149,38,rome,25,greek,0,3533
11,895,253,67,rome,25,greek,0,3533
12,650,80,16,rome,25,greek,0,3533
13,769,84,16,rome,25,greek,0,3533
14,906,149,22,rome,25,greek,0,3533
15,636,103,32,rome,25,greek,0,3533
16,774,177,49,rome,25,greek,0,3533
17,489,282,53,rome,25,greek,0,3533
18,583,76,14,rome,25,greek,0,3533
19,751,234,67,rome,25,greek,0,3533
20,686,90,18,rome,25,greek,0,3533
21,42,180,50,rome,25,greek,0,3533
22,671,147,33,rome,25,greek,0,3533
23,668,109,27,rome,25,greek,0,3533
24,621,80,14,rome,25,greek,0,3533
25,73,185,50,rome,25,greek,0,3533
26,180,78,15,rome,25,greek,0,3533
27,932,142,31,rome,25,greek,0,3533
28,396,108,31,rome,25,greek,0,3533
29,840,113,32,rome,25,greek,0,3533
30,316,165,64,rome,25,greek,0,3533
31,328,75,17,rome,25,greek,0,3533
32,324,167,32,rome,25,greek,0,3533
33,374,107,23,rome,25,greek,0,3533
34,641,111,28,rome,25,greek,0,3533
35,228,142,0,rome,25,greek,0,3533
36,816,78,12,rome,25,greek,0,3533
37,496,70,50,rome,25,greek,0,3533
38,513,79,19,rome,25,greek,0,3533
39,702,181,52,rome,25,greek,0,3533
40,677,168,55,rome,25,greek,0,3533
41,485,76,16,rome,25,greek,0,3533
42,796,137,43,rome,25,greek,0,3533
43,232,80,15,rome,25,greek,0,3533
44,566,155,94,rome,25,greek,0,3533
45,380,79,15,rome,25,greek,0,3533
46,773,76,11,rome,25,greek,0,3533
47,437,101,17,rome,25,greek,0,3533
48,330,248,66,rome,25,greek,0,3533
49,471,166,71,rome,25,greek,0,3533
50,537,166,63,rome,25,greek,0,3533
51,874,173,54,rome,25,greek,0,3533
52,156,76,14,rome,25,greek,0,3533
53,856,78,4,rome,25,greek,0,3533
54,944,277,58,rome,25,greek,0,3533
55,114,144,36,rome,25,greek,0,3533
56,913,168,32,rome,25,greek,0,3533
57,347,84,17,rome,25,greek,0,3533
58,364,156,29,rome,25,greek,0,3533
59,38,103,17,rome,25,greek,0,3533
60,440,113,28,rome,25,greek,0,3533
61,824,238,73,rome,25,greek,0,3533
62,170,140,52,rome,25,greek,0,3533
63,345,142,9,rome,25,greek,0,3533
64,763,108,30,rome,25,greek,0,3533
65,296,69,19,rome,25,greek,0,3533
66,423,253,63,rome,25,greek,0,3533
67,213,103,15,rome,25,greek,0,3533
68,953,108,29,rome,25,greek,0,3533
69,139,81,9,rome,25,greek,0,3533
70,344,71,24,rome,25,greek,0,3533
71,273,149,40,rome,25,greek,0,3533
72,178,238,96,rome,25,greek,0,3533
73,681,156,31,rome,25,greek,0,3533
74,725,177,44,rome,25,greek,0,3533
75,536,106,33,rome,25,greek,0,3533
76,260,110,38,rome,25,greek,0,3533
77,321,275,63,rome,25,greek,0,3533
78,569,111,25,rome,25,greek,0,3533
79,293,69,32,rome,25,greek,0,3533
80,46,270,62,rome,25,greek,0,3533
81,473,240,67,rome,25,greek,0,3533
82,453,262,68,rome,25,greek,0,3533
83,651,99,30,rome,25,greek,0,3533
84,381,141,30,rome,25,greek,0,3533
85,48,69,42,rome,25,greek,0,3533
86,129,109,28,rome,25,greek,0,3533
87,850,175,59,rome,25,greek,0,3533
88,563,194,38,rome,25,greek,0,3533
89,759,165,57,rome,25,greek,0,3533
90,854,270,62,rome,25,greek,0,3533
91,281,111,24,rome,25,greek,0,3533
92,694,138,16,rome,25,greek,0,3533
93,804,144,30,rome,25,greek,0,3533
94,112,79,15,rome,25,greek,0,3533
95,399,186,45,rome,25,greek,0,3533
96,864,147,39,rome,25,greek,0,3533
97,543,175,52,rome,25,greek,0,3533
98,739,190,43,rome,25,greek,0,3533
99,361,164,28,rome,25,greek,0,3533
100,644,74,0,rome,25,greek,0,3533
101,390,176,38,rome,25,greek,0,3533
102,242,176,55,rome,25,greek,0,3533
103,929,272,58,rome,25,greek,0,3533
104,550,78,33,rome,25,greek,0,3533
105,786,239,70,rome,25,greek,0,3533
106,843,243,76,rome,25,greek,0,3533
107,714,78,4,rome,25,greek,0,3533
108,659,176,52,rome,25,greek,0,3533
109,298,153,30,rome,25,greek,0,3533
110,552,100,39,rome,25,greek,0,3533
111,947,142,40,rome,25,greek,0,3533
112,838,165,31,rome,25,greek,0,3533
113,787,116,28,rome,25,greek,0,3533
114,728,284,48,rome,25,greek,0,3533
115,206,176,56,rome,25,greek,0,3533
116,781,75,0,rome,25,greek,0,3533
117,586,159,57,rome,25,greek,0,3533
118,341,115,26,rome,25,greek,0,3533
119,486,181,42,rome,25,greek,0,3533
120,452,170,55,rome,25,greek,0,3533
121,386,109,17,rome,25,greek,0,3533
122,897,253,67,rome,25,greek,0,3533
123,696,103,27,rome,25,greek,0,3533
124,991,177,46,rome,25,greek,0,3533
125,469,66,32,rome,25,greek,0,3533
126,555,159,28,rome,25,greek,0,3533
127,151,248,86,rome,25,greek,0,3533
