,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,968,139,15,sofia,15,luxembourgish,1,3533
1,107,52,5,sofia,15,luxembourgish,1,3533
2,578,129,22,sofia,15,luxembourgish,1,3533
3,554,50,0,sofia,15,luxembourgish,1,3533
4,553,109,6,sofia,15,luxembourgish,1,3533
5,337,110,14,sofia,15,luxembourgish,1,3533
6,109,111,15,sofia,15,luxembourgish,1,3533
7,416,105,16,sofia,15,luxembourgish,1,3533
8,542,71,0,sofia,15,luxembourgish,1,3533
9,814,187,19,sofia,15,luxembourgish,1,3533
10,13,67,6,sofia,15,luxembourgish,1,3533
11,143,65,25,sofia,15,luxembourgish,1,3533
12,208,71,2,sofia,15,luxembourgish,1,3533
13,653,125,19,sofia,15,luxembourgish,1,3533
14,44,61,2,sofia,15,luxembourgish,1,3533
15,270,131,22,sofia,15,luxembourgish,1,3533
16,201,105,15,sofia,15,luxembourgish,1,3533
17,203,131,20,sofia,15,luxembourgish,1,3533
18,597,197,19,sofia,15,luxembourgish,1,3533
19,137,50,0,sofia,15,luxembourgish,1,3533
20,883,133,17,sofia,15,luxembourgish,1,3533
21,287,203,24,sofia,15,luxembourgish,1,3533
22,574,70,4,sofia,15,luxembourgish,1,3533
23,984,68,4,sofia,15,luxembourgish,1,3533
24,683,97,16,sofia,15,luxembourgish,1,3533
25,181,94,32,sofia,15,luxembourgish,1,3533
26,852,52,9,sofia,15,luxembourgish,1,3533
27,190,61,3,sofia,15,luxembourgish,1,3533
28,302,68,24,sofia,15,luxembourgish,1,3533
29,544,71,0,sofia,15,luxembourgish,1,3533
30,459,106,15,sofia,15,luxembourgish,1,3533
31,25,189,19,sofia,15,luxembourgish,1,3533
32,470,82,12,sofia,15,luxembourgish,1,3533
33,665,75,13,sofia,15,luxembourgish,1,3533
34,590,95,6,sofia,15,luxembourgish,1,3533
35,601,82,8,sofia,15,luxembourgish,1,3533
36,802,93,0,sofia,15,luxembourgish,1,3533
37,862,85,12,sofia,15,luxembourgish,1,3533
38,4,48,0,sofia,15,luxembourgish,1,3533
39,923,60,10,sofia,15,luxembourgish,1,3533
40,353,48,17,sofia,15,luxembourgish,1,3533
41,472,50,0,sofia,15,luxembourgish,1,3533
42,145,111,15,sofia,15,luxembourgish,1,3533
43,637,69,10,sofia,15,luxembourgish,1,3533
44,304,98,36,sofia,15,luxembourgish,1,3533
45,649,160,24,sofia,15,luxembourgish,1,3533
46,141,97,12,sofia,15,luxembourgish,1,3533
47,272,53,0,sofia,15,luxembourgish,1,3533
48,815,195,22,sofia,15,luxembourgish,1,3533
49,383,49,10,sofia,15,luxembourgish,1,3533
50,608,97,16,sofia,15,luxembourgish,1,3533
