,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,815,178,41,sofia,20,lithuanian,0,3533
1,4,47,1,sofia,20,lithuanian,0,3533
2,13,61,12,sofia,20,lithuanian,0,3533
3,302,64,42,sofia,20,lithuanian,0,3533
4,287,178,38,sofia,20,lithuanian,0,3533
5,968,137,22,sofia,20,lithuanian,0,3533
6,923,57,16,sofia,20,lithuanian,0,3533
7,181,87,47,sofia,20,lithuanian,0,3533
8,665,74,15,sofia,20,lithuanian,0,3533
9,802,91,16,sofia,20,lithuanian,0,3533
10,862,72,17,sofia,20,lithuanian,0,3533
11,637,67,16,sofia,20,lithuanian,0,3533
12,459,96,22,sofia,20,lithuanian,0,3533
13,203,115,27,sofia,20,lithuanian,0,3533
14,353,47,19,sofia,20,lithuanian,0,3533
15,554,49,8,sofia,20,lithuanian,0,3533
16,190,60,7,sofia,20,lithuanian,0,3533
17,145,97,22,sofia,20,lithuanian,0,3533
18,544,70,5,sofia,20,lithuanian,0,3533
19,107,49,11,sofia,20,lithuanian,0,3533
20,883,120,30,sofia,20,lithuanian,0,3533
21,270,119,29,sofia,20,lithuanian,0,3533
22,337,88,26,sofia,20,lithuanian,0,3533
23,201,91,23,sofia,20,lithuanian,0,3533
24,653,113,32,sofia,20,lithuanian,0,3533
25,141,95,24,sofia,20,lithuanian,0,3533
26,109,102,22,sofia,20,lithuanian,0,3533
27,416,103,26,sofia,20,lithuanian,0,3533
28,208,70,9,sofia,20,lithuanian,0,3533
29,137,49,7,sofia,20,lithuanian,0,3533
30,601,72,16,sofia,20,lithuanian,0,3533
31,44,60,7,sofia,20,lithuanian,0,3533
32,25,166,39,sofia,20,lithuanian,0,3533
33,597,173,38,sofia,20,lithuanian,0,3533
34,649,144,52,sofia,20,lithuanian,0,3533
35,472,49,19,sofia,20,lithuanian,0,3533
36,608,95,28,sofia,20,lithuanian,0,3533
37,143,63,33,sofia,20,lithuanian,0,3533
38,984,66,9,sofia,20,lithuanian,0,3533
39,383,48,32,sofia,20,lithuanian,0,3533
40,470,80,16,sofia,20,lithuanian,0,3533
41,553,107,13,sofia,20,lithuanian,0,3533
42,590,93,24,sofia,20,lithuanian,0,3533
43,304,96,49,sofia,20,lithuanian,0,3533
44,683,95,32,sofia,20,lithuanian,0,3533
45,578,108,27,sofia,20,lithuanian,0,3533
46,574,69,10,sofia,20,lithuanian,0,3533
47,272,52,4,sofia,20,lithuanian,0,3533
48,542,70,5,sofia,20,lithuanian,0,3533
49,814,158,40,sofia,20,lithuanian,0,3533
50,852,51,12,sofia,20,lithuanian,0,3533
