,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,315,279,75,vienna,25,cypriot,1,3533
1,535,160,39,vienna,25,cypriot,1,3533
2,239,298,57,vienna,25,cypriot,1,3533
3,755,88,16,vienna,25,cypriot,1,3533
4,220,83,26,vienna,25,cypriot,1,3533
5,292,197,42,vienna,25,cypriot,1,3533
6,179,122,35,vienna,25,cypriot,1,3533
7,278,122,15,vienna,25,cypriot,1,3533
8,931,200,52,vienna,25,cypriot,1,3533
9,128,219,41,vienna,25,cypriot,1,3533
10,996,117,29,vienna,25,cypriot,1,3533
11,26,181,53,vienna,25,cypriot,1,3533
12,927,197,50,vienna,25,cypriot,1,3533
13,457,161,14,vienna,25,cypriot,1,3533
14,962,147,36,vienna,25,cypriot,1,3533
15,635,116,29,vienna,25,cypriot,1,3533
16,511,167,81,vienna,25,cypriot,1,3533
17,171,79,30,vienna,25,cypriot,1,3533
18,231,164,16,vienna,25,cypriot,1,3533
19,549,117,15,vienna,25,cypriot,1,3533
20,494,204,46,vienna,25,cypriot,1,3533
21,173,121,24,vienna,25,cypriot,1,3533
22,167,88,14,vienna,25,cypriot,1,3533
23,426,112,28,vienna,25,cypriot,1,3533
24,652,120,31,vienna,25,cypriot,1,3533
25,682,157,10,vienna,25,cypriot,1,3533
26,68,161,32,vienna,25,cypriot,1,3533
27,275,138,23,vienna,25,cypriot,1,3533
28,699,136,28,vienna,25,cypriot,1,3533
29,219,187,49,vienna,25,cypriot,1,3533
30,8,125,29,vienna,25,cypriot,1,3533
31,98,155,45,vienna,25,cypriot,1,3533
32,70,196,55,vienna,25,cypriot,1,3533
33,226,118,23,vienna,25,cypriot,1,3533
34,266,87,15,vienna,25,cypriot,1,3533
35,977,125,39,vienna,25,cypriot,1,3533
36,354,100,20,vienna,25,cypriot,1,3533
37,662,187,51,vienna,25,cypriot,1,3533
38,195,158,13,vienna,25,cypriot,1,3533
39,919,83,14,vienna,25,cypriot,1,3533
40,255,196,43,vienna,25,cypriot,1,3533
41,456,167,30,vienna,25,cypriot,1,3533
42,875,117,14,vienna,25,cypriot,1,3533
43,877,89,13,vienna,25,cypriot,1,3533
44,35,89,18,vienna,25,cypriot,1,3533
45,646,117,37,vienna,25,cypriot,1,3533
46,168,274,72,vienna,25,cypriot,1,3533
47,833,160,2,vienna,25,cypriot,1,3533
48,152,174,67,vienna,25,cypriot,1,3533
49,382,160,41,vienna,25,cypriot,1,3533
50,368,83,8,vienna,25,cypriot,1,3533
51,372,110,28,vienna,25,cypriot,1,3533
52,672,205,44,vienna,25,cypriot,1,3533
53,245,144,22,vienna,25,cypriot,1,3533
54,428,110,56,vienna,25,cypriot,1,3533
55,610,82,21,vienna,25,cypriot,1,3533
56,713,211,42,vienna,25,cypriot,1,3533
57,848,179,76,vienna,25,cypriot,1,3533
58,64,89,15,vienna,25,cypriot,1,3533
59,940,177,26,vienna,25,cypriot,1,3533
60,730,180,71,vienna,25,cypriot,1,3533
61,704,119,9,vienna,25,cypriot,1,3533
62,438,119,12,vienna,25,cypriot,1,3533
63,210,109,36,vienna,25,cypriot,1,3533
64,462,88,12,vienna,25,cypriot,1,3533
65,979,158,34,vienna,25,cypriot,1,3533
66,784,119,28,vienna,25,cypriot,1,3533
67,63,158,56,vienna,25,cypriot,1,3533
68,116,113,15,vienna,25,cypriot,1,3533
69,33,160,36,vienna,25,cypriot,1,3533
70,336,125,30,vienna,25,cypriot,1,3533
71,661,117,24,vienna,25,cypriot,1,3533
72,703,167,33,vienna,25,cypriot,1,3533
73,87,175,57,vienna,25,cypriot,1,3533
74,924,161,34,vienna,25,cypriot,1,3533
75,524,205,47,vienna,25,cypriot,1,3533
76,37,196,56,vienna,25,cypriot,1,3533
77,890,87,13,vienna,25,cypriot,1,3533
78,693,278,72,vienna,25,cypriot,1,3533
79,268,113,36,vienna,25,cypriot,1,3533
80,626,122,29,vienna,25,cypriot,1,3533
81,15,267,86,vienna,25,cypriot,1,3533
82,446,118,0,vienna,25,cypriot,1,3533
83,810,113,34,vienna,25,cypriot,1,3533
84,184,287,69,vienna,25,cypriot,1,3533
85,263,113,35,vienna,25,cypriot,1,3533
86,846,208,48,vienna,25,cypriot,1,3533
87,801,196,54,vienna,25,cypriot,1,3533
88,920,115,20,vienna,25,cypriot,1,3533
89,613,204,41,vienna,25,cypriot,1,3533
90,565,304,69,vienna,25,cypriot,1,3533
91,839,189,66,vienna,25,cypriot,1,3533
92,236,88,14,vienna,25,cypriot,1,3533
93,403,289,69,vienna,25,cypriot,1,3533
94,692,256,84,vienna,25,cypriot,1,3533
95,666,86,31,vienna,25,cypriot,1,3533
96,343,84,22,vienna,25,cypriot,1,3533
97,943,197,59,vienna,25,cypriot,1,3533
98,250,264,74,vienna,25,cypriot,1,3533
99,530,110,17,vienna,25,cypriot,1,3533
100,11,176,63,vienna,25,cypriot,1,3533
101,675,111,21,vienna,25,cypriot,1,3533
102,775,87,12,vienna,25,cypriot,1,3533
103,928,89,18,vienna,25,cypriot,1,3533
104,57,165,40,vienna,25,cypriot,1,3533
105,753,156,60,vienna,25,cypriot,1,3533
