,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,753,153,60,vienna,25,french,1,3533
1,219,184,49,vienna,25,french,1,3533
2,171,77,30,vienna,25,french,1,3533
3,236,86,14,vienna,25,french,1,3533
4,846,204,48,vienna,25,french,1,3533
5,173,119,24,vienna,25,french,1,3533
6,179,120,35,vienna,25,french,1,3533
7,98,152,45,vienna,25,french,1,3533
8,924,158,34,vienna,25,french,1,3533
9,26,178,53,vienna,25,french,1,3533
10,530,108,17,vienna,25,french,1,3533
11,37,192,56,vienna,25,french,1,3533
12,456,164,30,vienna,25,french,1,3533
13,848,176,76,vienna,25,french,1,3533
14,704,117,9,vienna,25,french,1,3533
15,962,145,36,vienna,25,french,1,3533
16,626,120,29,vienna,25,french,1,3533
17,446,116,0,vienna,25,french,1,3533
18,250,259,74,vienna,25,french,1,3533
19,263,111,35,vienna,25,french,1,3533
20,682,154,10,vienna,25,french,1,3533
21,245,141,22,vienna,25,french,1,3533
22,462,87,12,vienna,25,french,1,3533
23,278,120,15,vienna,25,french,1,3533
24,239,293,57,vienna,25,french,1,3533
25,426,110,28,vienna,25,french,1,3533
26,70,192,55,vienna,25,french,1,3533
27,68,158,32,vienna,25,french,1,3533
28,210,107,36,vienna,25,french,1,3533
29,428,108,56,vienna,25,french,1,3533
30,336,122,30,vienna,25,french,1,3533
31,315,274,75,vienna,25,french,1,3533
32,565,298,69,vienna,25,french,1,3533
33,927,193,50,vienna,25,french,1,3533
34,661,115,24,vienna,25,french,1,3533
35,775,85,12,vienna,25,french,1,3533
36,63,155,56,vienna,25,french,1,3533
37,226,116,23,vienna,25,french,1,3533
38,613,200,41,vienna,25,french,1,3533
39,494,200,46,vienna,25,french,1,3533
40,931,197,52,vienna,25,french,1,3533
41,940,174,26,vienna,25,french,1,3533
42,979,155,34,vienna,25,french,1,3533
43,730,177,71,vienna,25,french,1,3533
44,231,161,16,vienna,25,french,1,3533
45,943,193,59,vienna,25,french,1,3533
46,64,88,15,vienna,25,french,1,3533
47,755,86,16,vienna,25,french,1,3533
48,996,115,29,vienna,25,french,1,3533
49,87,172,57,vienna,25,french,1,3533
50,635,114,29,vienna,25,french,1,3533
51,354,99,20,vienna,25,french,1,3533
52,438,117,12,vienna,25,french,1,3533
53,511,164,81,vienna,25,french,1,3533
54,693,273,72,vienna,25,french,1,3533
55,15,262,86,vienna,25,french,1,3533
56,152,170,67,vienna,25,french,1,3533
57,368,81,8,vienna,25,french,1,3533
58,839,186,66,vienna,25,french,1,3533
59,292,193,42,vienna,25,french,1,3533
60,646,115,37,vienna,25,french,1,3533
61,919,82,14,vienna,25,french,1,3533
62,403,284,69,vienna,25,french,1,3533
63,372,108,28,vienna,25,french,1,3533
64,877,88,13,vienna,25,french,1,3533
65,168,269,72,vienna,25,french,1,3533
66,116,111,15,vienna,25,french,1,3533
67,666,85,31,vienna,25,french,1,3533
68,610,81,21,vienna,25,french,1,3533
69,8,122,29,vienna,25,french,1,3533
70,57,162,40,vienna,25,french,1,3533
71,549,115,15,vienna,25,french,1,3533
72,535,157,39,vienna,25,french,1,3533
73,801,192,54,vienna,25,french,1,3533
74,784,117,28,vienna,25,french,1,3533
75,220,81,26,vienna,25,french,1,3533
76,35,87,18,vienna,25,french,1,3533
77,810,111,34,vienna,25,french,1,3533
78,524,201,47,vienna,25,french,1,3533
79,266,85,15,vienna,25,french,1,3533
80,833,157,2,vienna,25,french,1,3533
81,275,135,23,vienna,25,french,1,3533
82,875,115,14,vienna,25,french,1,3533
83,920,112,20,vienna,25,french,1,3533
84,713,208,42,vienna,25,french,1,3533
85,382,157,41,vienna,25,french,1,3533
86,167,86,14,vienna,25,french,1,3533
87,255,192,43,vienna,25,french,1,3533
88,675,109,21,vienna,25,french,1,3533
89,11,173,63,vienna,25,french,1,3533
90,343,82,22,vienna,25,french,1,3533
91,184,282,69,vienna,25,french,1,3533
92,128,215,41,vienna,25,french,1,3533
93,662,184,51,vienna,25,french,1,3533
94,652,118,31,vienna,25,french,1,3533
95,672,201,44,vienna,25,french,1,3533
96,457,159,14,vienna,25,french,1,3533
97,195,155,13,vienna,25,french,1,3533
98,33,157,36,vienna,25,french,1,3533
99,890,85,13,vienna,25,french,1,3533
100,268,111,36,vienna,25,french,1,3533
101,692,251,84,vienna,25,french,1,3533
102,703,164,33,vienna,25,french,1,3533
103,928,87,18,vienna,25,french,1,3533
104,699,133,28,vienna,25,french,1,3533
105,977,122,39,vienna,25,french,1,3533
