,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,193,153,48,amsterdam,30,finnish,1,131654
1,417,150,62,amsterdam,30,finnish,1,131654
2,22,174,45,amsterdam,30,finnish,1,131654
3,101,281,102,amsterdam,30,finnish,1,131654
4,455,149,56,amsterdam,30,finnish,1,131654
5,777,151,60,amsterdam,30,finnish,1,131654
6,441,195,69,amsterdam,30,finnish,1,131654
7,807,284,103,amsterdam,30,finnish,1,131654
8,465,242,123,amsterdam,30,finnish,1,131654
9,103,194,80,amsterdam,30,finnish,1,131654
10,45,162,54,amsterdam,30,finnish,1,131654
11,529,246,115,amsterdam,30,finnish,1,131654
12,674,129,46,amsterdam,30,finnish,1,131654
13,809,263,109,amsterdam,30,finnish,1,131654
14,604,119,40,amsterdam,30,finnish,1,131654
15,82,117,44,amsterdam,30,finnish,1,131654
16,945,151,72,amsterdam,30,finnish,1,131654
17,867,149,48,amsterdam,30,finnish,1,131654
18,450,184,86,amsterdam,30,finnish,1,131654
19,387,246,104,amsterdam,30,finnish,1,131654
20,172,126,38,amsterdam,30,finnish,1,131654
21,918,275,110,amsterdam,30,finnish,1,131654
22,806,277,102,amsterdam,30,finnish,1,131654
23,960,277,100,amsterdam,30,finnish,1,131654
24,212,206,66,amsterdam,30,finnish,1,131654
25,783,99,20,amsterdam,30,finnish,1,131654
26,835,110,62,amsterdam,30,finnish,1,131654
27,630,154,66,amsterdam,30,finnish,1,131654
28,373,116,43,amsterdam,30,finnish,1,131654
29,515,265,99,amsterdam,30,finnish,1,131654
30,750,112,19,amsterdam,30,finnish,1,131654
31,369,81,21,amsterdam,30,finnish,1,131654
32,430,170,101,amsterdam,30,finnish,1,131654
33,429,257,110,amsterdam,30,finnish,1,131654
34,346,178,76,amsterdam,30,finnish,1,131654
35,917,275,118,amsterdam,30,finnish,1,131654
36,921,84,48,amsterdam,30,finnish,1,131654
37,706,121,38,amsterdam,30,finnish,1,131654
38,660,165,48,amsterdam,30,finnish,1,131654
39,12,82,21,amsterdam,30,finnish,1,131654
40,234,153,52,amsterdam,30,finnish,1,131654
41,224,153,57,amsterdam,30,finnish,1,131654
42,679,162,52,amsterdam,30,finnish,1,131654
43,627,114,41,amsterdam,30,finnish,1,131654
44,166,113,56,amsterdam,30,finnish,1,131654
45,460,89,22,amsterdam,30,finnish,1,131654
46,77,263,115,amsterdam,30,finnish,1,131654
47,658,170,56,amsterdam,30,finnish,1,131654
48,88,131,38,amsterdam,30,finnish,1,131654
49,603,264,96,amsterdam,30,finnish,1,131654
50,517,119,53,amsterdam,30,finnish,1,131654
51,548,246,126,amsterdam,30,finnish,1,131654
52,442,173,85,amsterdam,30,finnish,1,131654
53,570,108,45,amsterdam,30,finnish,1,131654
54,594,249,152,amsterdam,30,finnish,1,131654
55,326,253,109,amsterdam,30,finnish,1,131654
56,196,118,19,amsterdam,30,finnish,1,131654
57,902,178,94,amsterdam,30,finnish,1,131654
58,317,172,76,amsterdam,30,finnish,1,131654
59,778,117,41,amsterdam,30,finnish,1,131654
60,352,107,61,amsterdam,30,finnish,1,131654
61,105,168,48,amsterdam,30,finnish,1,131654
62,967,79,60,amsterdam,30,finnish,1,131654
63,788,117,50,amsterdam,30,finnish,1,131654
64,140,115,43,amsterdam,30,finnish,1,131654
65,892,194,69,amsterdam,30,finnish,1,131654
66,9,91,54,amsterdam,30,finnish,1,131654
67,715,153,50,amsterdam,30,finnish,1,131654
68,625,195,69,amsterdam,30,finnish,1,131654
69,969,82,31,amsterdam,30,finnish,1,131654
70,117,81,23,amsterdam,30,finnish,1,131654
71,760,174,79,amsterdam,30,finnish,1,131654
