,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,405,106,35,copenhagen,36,austrian,0,194219
1,616,182,82,copenhagen,36,austrian,0,194219
2,894,295,165,copenhagen,36,austrian,0,194219
3,142,339,158,copenhagen,36,austrian,0,194219
4,78,283,172,copenhagen,36,austrian,0,194219
5,547,177,86,copenhagen,36,austrian,0,194219
6,757,133,65,copenhagen,36,austrian,0,194219
7,761,127,72,copenhagen,36,austrian,0,194219
8,433,125,72,copenhagen,36,austrian,0,194219
9,664,316,155,copenhagen,36,austrian,0,194219
10,50,130,66,copenhagen,36,austrian,0,194219
11,655,286,170,copenhagen,36,austrian,0,194219
12,402,140,64,copenhagen,36,austrian,0,194219
13,391,189,82,copenhagen,36,austrian,0,194219
14,348,174,98,copenhagen,36,austrian,0,194219
15,989,99,34,copenhagen,36,austrian,0,194219
16,32,195,86,copenhagen,36,austrian,0,194219
17,506,130,36,copenhagen,36,austrian,0,194219
18,818,193,84,copenhagen,36,austrian,0,194219
19,110,168,82,copenhagen,36,austrian,0,194219
20,990,176,88,copenhagen,36,austrian,0,194219
21,556,195,86,copenhagen,36,austrian,0,194219
22,559,209,115,copenhagen,36,austrian,0,194219
23,350,316,161,copenhagen,36,austrian,0,194219
24,329,218,114,copenhagen,36,austrian,0,194219
25,872,104,35,copenhagen,36,austrian,0,194219
26,36,201,74,copenhagen,36,austrian,0,194219
27,291,209,124,copenhagen,36,austrian,0,194219
28,855,206,130,copenhagen,36,austrian,0,194219
29,958,228,113,copenhagen,36,austrian,0,194219
30,1,102,64,copenhagen,36,austrian,0,194219
31,876,124,68,copenhagen,36,austrian,0,194219
32,572,203,108,copenhagen,36,austrian,0,194219
33,938,133,36,copenhagen,36,austrian,0,194219
34,443,127,74,copenhagen,36,austrian,0,194219
35,23,174,88,copenhagen,36,austrian,0,194219
36,401,172,84,copenhagen,36,austrian,0,194219
37,487,185,86,copenhagen,36,austrian,0,194219
38,431,137,66,copenhagen,36,austrian,0,194219
39,669,217,116,copenhagen,36,austrian,0,194219
40,812,190,78,copenhagen,36,austrian,0,194219
41,834,101,31,copenhagen,36,austrian,0,194219
42,422,295,162,copenhagen,36,austrian,0,194219
43,831,94,31,copenhagen,36,austrian,0,194219
44,497,215,111,copenhagen,36,austrian,0,194219
45,908,335,154,copenhagen,36,austrian,0,194219
46,716,131,70,copenhagen,36,austrian,0,194219
47,893,209,114,copenhagen,36,austrian,0,194219
48,930,126,90,copenhagen,36,austrian,0,194219
49,541,133,68,copenhagen,36,austrian,0,194219
50,367,102,35,copenhagen,36,austrian,0,194219
51,358,212,112,copenhagen,36,austrian,0,194219
52,365,103,34,copenhagen,36,austrian,0,194219
53,638,170,81,copenhagen,36,austrian,0,194219
54,772,300,150,copenhagen,36,austrian,0,194219
55,407,232,109,copenhagen,36,austrian,0,194219
56,251,176,33,copenhagen,36,austrian,0,194219
57,6,129,71,copenhagen,36,austrian,0,194219
58,425,204,130,copenhagen,36,austrian,0,194219
59,100,97,34,copenhagen,36,austrian,0,194219
60,695,177,85,copenhagen,36,austrian,0,194219
61,711,133,66,copenhagen,36,austrian,0,194219
62,267,193,85,copenhagen,36,austrian,0,194219
63,385,290,170,copenhagen,36,austrian,0,194219
64,844,288,172,copenhagen,36,austrian,0,194219
65,546,94,68,copenhagen,36,austrian,0,194219
66,519,214,111,copenhagen,36,austrian,0,194219
67,770,206,120,copenhagen,36,austrian,0,194219
68,898,92,38,copenhagen,36,austrian,0,194219
69,771,293,176,copenhagen,36,austrian,0,194219
70,92,94,37,copenhagen,36,austrian,0,194219
71,707,293,166,copenhagen,36,austrian,0,194219
72,518,125,67,copenhagen,36,austrian,0,194219
73,319,305,169,copenhagen,36,austrian,0,194219
74,514,285,190,copenhagen,36,austrian,0,194219
75,869,314,157,copenhagen,36,austrian,0,194219
76,611,186,88,copenhagen,36,austrian,0,194219
77,309,103,71,copenhagen,36,austrian,0,194219
78,434,99,32,copenhagen,36,austrian,0,194219
79,624,223,116,copenhagen,36,austrian,0,194219
80,122,296,185,copenhagen,36,austrian,0,194219
81,289,122,71,copenhagen,36,austrian,0,194219
82,539,296,169,copenhagen,36,austrian,0,194219
83,983,95,36,copenhagen,36,austrian,0,194219
84,805,177,98,copenhagen,36,austrian,0,194219
85,335,97,68,copenhagen,36,austrian,0,194219
86,243,99,34,copenhagen,36,austrian,0,194219
87,53,103,36,copenhagen,36,austrian,0,194219
88,508,207,110,copenhagen,36,austrian,0,194219
89,463,108,33,copenhagen,36,austrian,0,194219
90,58,207,112,copenhagen,36,austrian,0,194219
91,113,95,36,copenhagen,36,austrian,0,194219
92,445,99,33,copenhagen,36,austrian,0,194219
93,99,193,76,copenhagen,36,austrian,0,194219
94,900,206,124,copenhagen,36,austrian,0,194219
95,766,300,167,copenhagen,36,austrian,0,194219
96,622,130,75,copenhagen,36,austrian,0,194219
97,829,193,82,copenhagen,36,austrian,0,194219
98,698,212,114,copenhagen,36,austrian,0,194219
99,959,200,117,copenhagen,36,austrian,0,194219
100,865,309,170,copenhagen,36,austrian,0,194219
101,90,175,90,copenhagen,36,austrian,0,194219
102,318,135,60,copenhagen,36,austrian,0,194219
103,973,190,84,copenhagen,36,austrian,0,194219
104,688,91,71,copenhagen,36,austrian,0,194219
105,826,209,125,copenhagen,36,austrian,0,194219
106,280,130,82,copenhagen,36,austrian,0,194219
107,124,296,175,copenhagen,36,austrian,0,194219
