,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,751,218,122,rome,30,slovene,0,157050
1,953,97,45,rome,30,slovene,0,157050
2,993,169,74,rome,30,slovene,0,157050
3,714,76,19,rome,30,slovene,0,157050
4,681,147,50,rome,30,slovene,0,157050
5,712,159,92,rome,30,slovene,0,157050
6,696,99,43,rome,30,slovene,0,157050
7,934,76,27,rome,30,slovene,0,157050
8,298,138,53,rome,30,slovene,0,157050
9,213,101,38,rome,30,slovene,0,157050
10,51,137,52,rome,30,slovene,0,157050
11,293,67,47,rome,30,slovene,0,157050
12,471,163,85,rome,30,slovene,0,157050
13,650,75,23,rome,30,slovene,0,157050
14,361,142,47,rome,30,slovene,0,157050
15,621,78,22,rome,30,slovene,0,157050
16,381,139,44,rome,30,slovene,0,157050
17,644,72,31,rome,30,slovene,0,157050
18,453,238,102,rome,30,slovene,0,157050
19,543,156,84,rome,30,slovene,0,157050
20,769,82,24,rome,30,slovene,0,157050
21,485,71,24,rome,30,slovene,0,157050
22,486,171,66,rome,30,slovene,0,157050
23,763,97,48,rome,30,slovene,0,157050
24,991,167,71,rome,30,slovene,0,157050
25,423,229,105,rome,30,slovene,0,157050
26,677,165,76,rome,30,slovene,0,157050
27,260,104,58,rome,30,slovene,0,157050
28,48,67,60,rome,30,slovene,0,157050
29,112,76,22,rome,30,slovene,0,157050
30,850,171,79,rome,30,slovene,0,157050
31,151,243,113,rome,30,slovene,0,157050
32,586,156,89,rome,30,slovene,0,157050
33,725,160,65,rome,30,slovene,0,157050
34,773,71,19,rome,30,slovene,0,157050
35,895,229,118,rome,30,slovene,0,157050
36,156,68,22,rome,30,slovene,0,157050
37,781,74,17,rome,30,slovene,0,157050
38,671,145,55,rome,30,slovene,0,157050
39,374,105,45,rome,30,slovene,0,157050
40,139,79,22,rome,30,slovene,0,157050
41,641,105,42,rome,30,slovene,0,157050
42,702,171,77,rome,30,slovene,0,157050
43,469,65,50,rome,30,slovene,0,157050
44,694,135,23,rome,30,slovene,0,157050
45,566,152,116,rome,30,slovene,0,157050
46,668,99,44,rome,30,slovene,0,157050
47,944,252,99,rome,30,slovene,0,157050
48,386,102,25,rome,30,slovene,0,157050
49,42,163,81,rome,30,slovene,0,157050
50,390,165,70,rome,30,slovene,0,157050
51,739,180,70,rome,30,slovene,0,157050
52,816,74,19,rome,30,slovene,0,157050
53,796,134,59,rome,30,slovene,0,157050
54,440,110,42,rome,30,slovene,0,157050
55,854,244,103,rome,30,slovene,0,157050
