,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,506,122,36,copenhagen,36,bulgarian,1,156498
1,367,96,35,copenhagen,36,bulgarian,1,156498
2,431,129,66,copenhagen,36,bulgarian,1,156498
3,532,206,115,copenhagen,36,bulgarian,1,156498
4,691,85,73,copenhagen,36,bulgarian,1,156498
5,990,166,88,copenhagen,36,bulgarian,1,156498
6,766,282,167,copenhagen,36,bulgarian,1,156498
7,959,189,117,copenhagen,36,bulgarian,1,156498
8,300,120,63,copenhagen,36,bulgarian,1,156498
9,32,184,86,copenhagen,36,bulgarian,1,156498
10,92,88,37,copenhagen,36,bulgarian,1,156498
11,669,204,116,copenhagen,36,bulgarian,1,156498
12,110,158,82,copenhagen,36,bulgarian,1,156498
13,202,155,84,copenhagen,36,bulgarian,1,156498
14,541,125,68,copenhagen,36,bulgarian,1,156498
15,757,125,65,copenhagen,36,bulgarian,1,156498
16,707,276,166,copenhagen,36,bulgarian,1,156498
17,405,100,35,copenhagen,36,bulgarian,1,156498
18,855,194,130,copenhagen,36,bulgarian,1,156498
19,938,125,36,copenhagen,36,bulgarian,1,156498
20,655,269,170,copenhagen,36,bulgarian,1,156498
21,122,279,185,copenhagen,36,bulgarian,1,156498
22,611,175,88,copenhagen,36,bulgarian,1,156498
23,113,89,36,copenhagen,36,bulgarian,1,156498
24,422,278,162,copenhagen,36,bulgarian,1,156498
25,23,164,88,copenhagen,36,bulgarian,1,156498
26,772,282,150,copenhagen,36,bulgarian,1,156498
27,983,89,36,copenhagen,36,bulgarian,1,156498
28,812,179,78,copenhagen,36,bulgarian,1,156498
29,243,93,34,copenhagen,36,bulgarian,1,156498
30,546,88,68,copenhagen,36,bulgarian,1,156498
31,350,298,161,copenhagen,36,bulgarian,1,156498
32,624,210,116,copenhagen,36,bulgarian,1,156498
33,893,197,114,copenhagen,36,bulgarian,1,156498
34,348,164,98,copenhagen,36,bulgarian,1,156498
35,385,273,170,copenhagen,36,bulgarian,1,156498
36,153,201,117,copenhagen,36,bulgarian,1,156498
37,547,167,86,copenhagen,36,bulgarian,1,156498
38,58,195,112,copenhagen,36,bulgarian,1,156498
39,319,287,169,copenhagen,36,bulgarian,1,156498
40,872,98,35,copenhagen,36,bulgarian,1,156498
41,834,95,31,copenhagen,36,bulgarian,1,156498
42,622,123,75,copenhagen,36,bulgarian,1,156498
43,435,280,161,copenhagen,36,bulgarian,1,156498
44,716,124,70,copenhagen,36,bulgarian,1,156498
45,664,298,155,copenhagen,36,bulgarian,1,156498
46,142,319,158,copenhagen,36,bulgarian,1,156498
47,559,197,115,copenhagen,36,bulgarian,1,156498
48,523,81,67,copenhagen,36,bulgarian,1,156498
49,844,272,172,copenhagen,36,bulgarian,1,156498
50,849,164,86,copenhagen,36,bulgarian,1,156498
51,556,184,86,copenhagen,36,bulgarian,1,156498
52,973,179,84,copenhagen,36,bulgarian,1,156498
53,433,117,72,copenhagen,36,bulgarian,1,156498
54,6,121,71,copenhagen,36,bulgarian,1,156498
55,771,276,176,copenhagen,36,bulgarian,1,156498
56,562,208,118,copenhagen,36,bulgarian,1,156498
57,335,91,68,copenhagen,36,bulgarian,1,156498
58,831,88,31,copenhagen,36,bulgarian,1,156498
59,727,125,33,copenhagen,36,bulgarian,1,156498
60,978,301,170,copenhagen,36,bulgarian,1,156498
61,922,215,108,copenhagen,36,bulgarian,1,156498
62,688,85,71,copenhagen,36,bulgarian,1,156498
63,124,279,175,copenhagen,36,bulgarian,1,156498
64,78,266,172,copenhagen,36,bulgarian,1,156498
65,690,208,120,copenhagen,36,bulgarian,1,156498
66,289,115,71,copenhagen,36,bulgarian,1,156498
67,572,191,108,copenhagen,36,bulgarian,1,156498
68,365,97,34,copenhagen,36,bulgarian,1,156498
69,930,118,90,copenhagen,36,bulgarian,1,156498
70,958,215,113,copenhagen,36,bulgarian,1,156498
71,961,189,122,copenhagen,36,bulgarian,1,156498
72,329,206,114,copenhagen,36,bulgarian,1,156498
73,695,167,85,copenhagen,36,bulgarian,1,156498
74,445,93,33,copenhagen,36,bulgarian,1,156498
75,481,96,33,copenhagen,36,bulgarian,1,156498
76,989,93,34,copenhagen,36,bulgarian,1,156498
77,726,256,177,copenhagen,36,bulgarian,1,156498
78,36,189,74,copenhagen,36,bulgarian,1,156498
79,309,97,71,copenhagen,36,bulgarian,1,156498
80,818,181,84,copenhagen,36,bulgarian,1,156498
81,805,167,98,copenhagen,36,bulgarian,1,156498
82,332,210,118,copenhagen,36,bulgarian,1,156498
83,425,192,130,copenhagen,36,bulgarian,1,156498
84,519,201,111,copenhagen,36,bulgarian,1,156498
85,826,197,125,copenhagen,36,bulgarian,1,156498
86,638,160,81,copenhagen,36,bulgarian,1,156498
87,894,278,165,copenhagen,36,bulgarian,1,156498
88,53,97,36,copenhagen,36,bulgarian,1,156498
89,596,178,76,copenhagen,36,bulgarian,1,156498
90,711,125,66,copenhagen,36,bulgarian,1,156498
91,514,268,190,copenhagen,36,bulgarian,1,156498
92,1,96,64,copenhagen,36,bulgarian,1,156498
93,401,161,84,copenhagen,36,bulgarian,1,156498
94,407,218,109,copenhagen,36,bulgarian,1,156498
95,50,123,66,copenhagen,36,bulgarian,1,156498
96,90,165,90,copenhagen,36,bulgarian,1,156498
97,876,116,68,copenhagen,36,bulgarian,1,156498
98,99,181,76,copenhagen,36,bulgarian,1,156498
99,497,202,111,copenhagen,36,bulgarian,1,156498
100,391,178,82,copenhagen,36,bulgarian,1,156498
101,96,125,66,copenhagen,36,bulgarian,1,156498
102,60,93,35,copenhagen,36,bulgarian,1,156498
103,402,132,64,copenhagen,36,bulgarian,1,156498
104,539,279,169,copenhagen,36,bulgarian,1,156498
105,463,102,33,copenhagen,36,bulgarian,1,156498
106,698,199,114,copenhagen,36,bulgarian,1,156498
107,829,181,82,copenhagen,36,bulgarian,1,156498
108,251,166,33,copenhagen,36,bulgarian,1,156498
109,793,161,35,copenhagen,36,bulgarian,1,156498
110,349,210,111,copenhagen,36,bulgarian,1,156498
111,908,316,154,copenhagen,36,bulgarian,1,156498
112,291,197,124,copenhagen,36,bulgarian,1,156498
113,280,123,82,copenhagen,36,bulgarian,1,156498
114,900,194,124,copenhagen,36,bulgarian,1,156498
115,443,120,74,copenhagen,36,bulgarian,1,156498
116,869,296,157,copenhagen,36,bulgarian,1,156498
117,518,117,67,copenhagen,36,bulgarian,1,156498
118,267,181,85,copenhagen,36,bulgarian,1,156498
119,358,199,112,copenhagen,36,bulgarian,1,156498
120,91,123,33,copenhagen,36,bulgarian,1,156498
121,434,93,32,copenhagen,36,bulgarian,1,156498
122,531,175,86,copenhagen,36,bulgarian,1,156498
123,761,120,72,copenhagen,36,bulgarian,1,156498
124,528,269,171,copenhagen,36,bulgarian,1,156498
125,898,87,38,copenhagen,36,bulgarian,1,156498
126,318,127,60,copenhagen,36,bulgarian,1,156498
127,770,194,120,copenhagen,36,bulgarian,1,156498
128,616,171,82,copenhagen,36,bulgarian,1,156498
129,487,174,86,copenhagen,36,bulgarian,1,156498
130,994,165,90,copenhagen,36,bulgarian,1,156498
131,865,290,170,copenhagen,36,bulgarian,1,156498
132,508,195,110,copenhagen,36,bulgarian,1,156498
133,720,269,189,copenhagen,36,bulgarian,1,156498
134,100,91,34,copenhagen,36,bulgarian,1,156498
