,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,123,117,56,paris,34,bulgarian,1,156498
1,736,194,102,paris,34,bulgarian,1,156498
2,858,190,103,paris,34,bulgarian,1,156498
3,853,154,70,paris,34,bulgarian,1,156498
4,634,86,30,paris,34,bulgarian,1,156498
5,397,278,146,paris,34,bulgarian,1,156498
6,631,84,30,paris,34,bulgarian,1,156498
7,903,89,68,paris,34,bulgarian,1,156498
8,28,130,55,paris,34,bulgarian,1,156498
9,576,203,96,paris,34,bulgarian,1,156498
10,795,173,74,paris,34,bulgarian,1,156498
11,612,186,104,paris,34,bulgarian,1,156498
12,599,108,71,paris,34,bulgarian,1,156498
13,785,186,91,paris,34,bulgarian,1,156498
14,842,302,134,paris,34,bulgarian,1,156498
15,24,256,178,paris,34,bulgarian,1,156498
16,165,158,82,paris,34,bulgarian,1,156498
17,889,157,73,paris,34,bulgarian,1,156498
18,560,160,74,paris,34,bulgarian,1,156498
19,722,159,68,paris,34,bulgarian,1,156498
20,415,122,58,paris,34,bulgarian,1,156498
21,412,278,170,paris,34,bulgarian,1,156498
22,274,157,70,paris,34,bulgarian,1,156498
23,963,117,62,paris,34,bulgarian,1,156498
24,176,90,22,paris,34,bulgarian,1,156498
25,975,173,68,paris,34,bulgarian,1,156498
26,617,294,144,paris,34,bulgarian,1,156498
27,756,200,95,paris,34,bulgarian,1,156498
28,868,179,107,paris,34,bulgarian,1,156498
29,579,83,33,paris,34,bulgarian,1,156498
30,577,169,69,paris,34,bulgarian,1,156498
31,837,265,151,paris,34,bulgarian,1,156498
32,937,194,98,paris,34,bulgarian,1,156498
33,614,92,30,paris,34,bulgarian,1,156498
34,56,191,104,paris,34,bulgarian,1,156498
35,522,113,58,paris,34,bulgarian,1,156498
36,121,82,35,paris,34,bulgarian,1,156498
37,948,194,106,paris,34,bulgarian,1,156498
38,942,188,94,paris,34,bulgarian,1,156498
39,808,265,134,paris,34,bulgarian,1,156498
40,910,88,33,paris,34,bulgarian,1,156498
41,327,212,94,paris,34,bulgarian,1,156498
42,705,128,54,paris,34,bulgarian,1,156498
43,467,267,142,paris,34,bulgarian,1,156498
44,584,266,148,paris,34,bulgarian,1,156498
45,723,80,31,paris,34,bulgarian,1,156498
46,792,86,70,paris,34,bulgarian,1,156498
47,986,194,105,paris,34,bulgarian,1,156498
48,580,122,52,paris,34,bulgarian,1,156498
49,526,278,142,paris,34,bulgarian,1,156498
50,49,165,84,paris,34,bulgarian,1,156498
51,95,262,164,paris,34,bulgarian,1,156498
52,132,271,147,paris,34,bulgarian,1,156498
53,825,169,75,paris,34,bulgarian,1,156498
54,222,274,142,paris,34,bulgarian,1,156498
55,656,111,58,paris,34,bulgarian,1,156498
56,823,197,99,paris,34,bulgarian,1,156498
57,66,145,84,paris,34,bulgarian,1,156498
58,342,118,33,paris,34,bulgarian,1,156498
59,863,263,162,paris,34,bulgarian,1,156498
60,912,172,66,paris,34,bulgarian,1,156498
61,188,89,35,paris,34,bulgarian,1,156498
62,314,121,57,paris,34,bulgarian,1,156498
63,248,181,99,paris,34,bulgarian,1,156498
64,972,83,29,paris,34,bulgarian,1,156498
65,62,80,32,paris,34,bulgarian,1,156498
66,851,86,66,paris,34,bulgarian,1,156498
67,259,123,48,paris,34,bulgarian,1,156498
68,339,199,100,paris,34,bulgarian,1,156498
69,735,117,55,paris,34,bulgarian,1,156498
70,841,82,66,paris,34,bulgarian,1,156498
71,207,172,76,paris,34,bulgarian,1,156498
72,27,263,161,paris,34,bulgarian,1,156498
73,65,158,80,paris,34,bulgarian,1,156498
74,926,181,104,paris,34,bulgarian,1,156498
75,949,283,143,paris,34,bulgarian,1,156498
76,133,166,71,paris,34,bulgarian,1,156498
77,216,202,101,paris,34,bulgarian,1,156498
78,492,115,64,paris,34,bulgarian,1,156498
79,0,188,102,paris,34,bulgarian,1,156498
80,970,264,163,paris,34,bulgarian,1,156498
81,595,154,77,paris,34,bulgarian,1,156498
82,582,197,103,paris,34,bulgarian,1,156498
83,573,312,142,paris,34,bulgarian,1,156498
84,225,165,70,paris,34,bulgarian,1,156498
85,558,88,29,paris,34,bulgarian,1,156498
86,776,167,70,paris,34,bulgarian,1,156498
87,447,111,61,paris,34,bulgarian,1,156498
88,645,165,74,paris,34,bulgarian,1,156498
89,229,182,103,paris,34,bulgarian,1,156498
90,150,195,99,paris,34,bulgarian,1,156498
91,130,190,97,paris,34,bulgarian,1,156498
92,564,96,29,paris,34,bulgarian,1,156498
93,742,260,138,paris,34,bulgarian,1,156498
94,882,190,103,paris,34,bulgarian,1,156498
95,885,179,70,paris,34,bulgarian,1,156498
96,379,274,151,paris,34,bulgarian,1,156498
97,782,278,162,paris,34,bulgarian,1,156498
98,817,197,94,paris,34,bulgarian,1,156498
99,790,274,140,paris,34,bulgarian,1,156498
100,29,200,103,paris,34,bulgarian,1,156498
101,115,112,70,paris,34,bulgarian,1,156498
102,148,120,57,paris,34,bulgarian,1,156498
103,17,86,33,paris,34,bulgarian,1,156498
104,684,84,30,paris,34,bulgarian,1,156498
105,571,263,140,paris,34,bulgarian,1,156498
106,767,169,70,paris,34,bulgarian,1,156498
107,359,122,55,paris,34,bulgarian,1,156498
108,477,83,78,paris,34,bulgarian,1,156498
109,290,172,68,paris,34,bulgarian,1,156498
110,159,182,106,paris,34,bulgarian,1,156498
111,69,264,186,paris,34,bulgarian,1,156498
112,734,122,56,paris,34,bulgarian,1,156498
113,254,165,78,paris,34,bulgarian,1,156498
114,534,263,148,paris,34,bulgarian,1,156498
115,299,113,70,paris,34,bulgarian,1,156498
116,199,205,98,paris,34,bulgarian,1,156498
117,998,194,108,paris,34,bulgarian,1,156498
118,323,282,148,paris,34,bulgarian,1,156498
119,182,159,84,paris,34,bulgarian,1,156498
120,436,259,179,paris,34,bulgarian,1,156498
121,540,287,147,paris,34,bulgarian,1,156498
122,700,186,132,paris,34,bulgarian,1,156498
123,21,82,35,paris,34,bulgarian,1,156498
124,911,118,71,paris,34,bulgarian,1,156498
125,741,178,71,paris,34,bulgarian,1,156498
126,803,285,144,paris,34,bulgarian,1,156498
127,640,159,64,paris,34,bulgarian,1,156498
128,708,161,70,paris,34,bulgarian,1,156498
129,421,120,59,paris,34,bulgarian,1,156498
130,192,120,32,paris,34,bulgarian,1,156498
131,629,91,62,paris,34,bulgarian,1,156498
132,602,111,35,paris,34,bulgarian,1,156498
133,980,114,58,paris,34,bulgarian,1,156498
134,419,111,61,paris,34,bulgarian,1,156498
135,946,195,97,paris,34,bulgarian,1,156498
136,308,202,97,paris,34,bulgarian,1,156498
137,392,170,78,paris,34,bulgarian,1,156498
138,663,156,76,paris,34,bulgarian,1,156498
139,331,88,56,paris,34,bulgarian,1,156498
140,338,197,95,paris,34,bulgarian,1,156498
141,162,282,143,paris,34,bulgarian,1,156498
142,119,182,107,paris,34,bulgarian,1,156498
143,306,197,98,paris,34,bulgarian,1,156498
144,227,84,30,paris,34,bulgarian,1,156498
145,14,157,65,paris,34,bulgarian,1,156498
146,94,262,184,paris,34,bulgarian,1,156498
147,257,169,68,paris,34,bulgarian,1,156498
148,797,120,66,paris,34,bulgarian,1,156498
149,357,161,68,paris,34,bulgarian,1,156498
150,748,184,122,paris,34,bulgarian,1,156498
151,884,184,102,paris,34,bulgarian,1,156498
152,866,263,161,paris,34,bulgarian,1,156498
153,731,175,70,paris,34,bulgarian,1,156498
154,738,118,62,paris,34,bulgarian,1,156498
155,41,117,56,paris,34,bulgarian,1,156498
