,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,438,111,0,vienna,7,french,1,131659
1,116,129,2,vienna,7,french,1,131659
2,428,131,4,vienna,7,french,1,131659
3,68,177,8,vienna,7,french,1,131659
4,626,146,3,vienna,7,french,1,131659
5,877,84,0,vienna,7,french,1,131659
6,928,85,0,vienna,7,french,1,131659
7,996,128,5,vienna,7,french,1,131659
8,179,114,0,vienna,7,french,1,131659
9,979,180,7,vienna,7,french,1,131659
10,672,295,4,vienna,7,french,1,131659
11,919,78,0,vienna,7,french,1,131659
12,462,83,0,vienna,7,french,1,131659
13,171,89,4,vienna,7,french,1,131659
14,368,78,0,vienna,7,french,1,131659
15,565,306,17,vienna,7,french,1,131659
16,35,85,0,vienna,7,french,1,131659
17,610,77,9,vienna,7,french,1,131659
18,494,214,6,vienna,7,french,1,131659
19,98,154,2,vienna,7,french,1,131659
20,511,201,10,vienna,7,french,1,131659
21,426,173,3,vienna,7,french,1,131659
22,704,111,0,vienna,7,french,1,131659
23,839,177,20,vienna,7,french,1,131659
24,275,129,0,vienna,7,french,1,131659
25,940,178,0,vienna,7,french,1,131659
26,220,91,6,vienna,7,french,1,131659
27,37,221,8,vienna,7,french,1,131659
28,226,110,0,vienna,7,french,1,131659
29,920,107,0,vienna,7,french,1,131659
30,755,82,0,vienna,7,french,1,131659
31,26,192,6,vienna,7,french,1,131659
32,315,304,14,vienna,7,french,1,131659
33,635,140,4,vienna,7,french,1,131659
34,403,433,6,vienna,7,french,1,131659
35,833,150,0,vienna,7,french,1,131659
36,278,114,0,vienna,7,french,1,131659
37,943,237,9,vienna,7,french,1,131659
38,931,300,5,vienna,7,french,1,131659
39,372,126,5,vienna,7,french,1,131659
40,167,82,0,vienna,7,french,1,131659
41,703,169,7,vienna,7,french,1,131659
42,336,131,0,vienna,7,french,1,131659
43,530,103,5,vienna,7,french,1,131659
44,219,220,5,vienna,7,french,1,131659
45,33,175,1,vienna,7,french,1,131659
46,195,148,0,vienna,7,french,1,131659
47,456,182,6,vienna,7,french,1,131659
48,693,261,26,vienna,7,french,1,131659
49,57,154,0,vienna,7,french,1,131659
50,890,81,0,vienna,7,french,1,131659
51,652,140,5,vienna,7,french,1,131659
52,168,396,7,vienna,7,french,1,131659
53,524,307,5,vienna,7,french,1,131659
54,713,293,4,vienna,7,french,1,131659
55,343,83,4,vienna,7,french,1,131659
56,382,182,6,vienna,7,french,1,131659
57,875,109,0,vienna,7,french,1,131659
58,173,113,0,vienna,7,french,1,131659
59,810,162,4,vienna,7,french,1,131659
60,646,109,3,vienna,7,french,1,131659
61,239,430,7,vienna,7,french,1,131659
62,236,82,3,vienna,7,french,1,131659
63,64,84,0,vienna,7,french,1,131659
64,87,230,8,vienna,7,french,1,131659
65,682,147,0,vienna,7,french,1,131659
66,801,290,5,vienna,7,french,1,131659
67,263,145,3,vienna,7,french,1,131659
68,15,326,11,vienna,7,french,1,131659
69,784,111,0,vienna,7,french,1,131659
70,457,151,0,vienna,7,french,1,131659
71,846,300,5,vienna,7,french,1,131659
72,927,273,5,vienna,7,french,1,131659
73,977,117,13,vienna,7,french,1,131659
74,128,293,5,vienna,7,french,1,131659
75,675,104,10,vienna,7,french,1,131659
76,245,141,5,vienna,7,french,1,131659
77,662,293,5,vienna,7,french,1,131659
78,730,192,10,vienna,7,french,1,131659
79,184,398,7,vienna,7,french,1,131659
80,70,183,13,vienna,7,french,1,131659
81,11,211,10,vienna,7,french,1,131659
82,250,430,7,vienna,7,french,1,131659
83,775,81,0,vienna,7,french,1,131659
84,924,177,7,vienna,7,french,1,131659
85,266,81,0,vienna,7,french,1,131659
86,446,110,0,vienna,7,french,1,131659
87,63,148,10,vienna,7,french,1,131659
88,549,109,0,vienna,7,french,1,131659
89,666,84,0,vienna,7,french,1,131659
90,354,94,7,vienna,7,french,1,131659
91,699,131,1,vienna,7,french,1,131659
92,255,198,10,vienna,7,french,1,131659
93,8,141,6,vienna,7,french,1,131659
94,152,228,10,vienna,7,french,1,131659
95,210,129,6,vienna,7,french,1,131659
96,661,128,4,vienna,7,french,1,131659
97,962,147,0,vienna,7,french,1,131659
98,613,278,5,vienna,7,french,1,131659
99,848,267,7,vienna,7,french,1,131659
100,292,216,8,vienna,7,french,1,131659
101,231,153,0,vienna,7,french,1,131659
102,535,150,0,vienna,7,french,1,131659
103,268,129,2,vienna,7,french,1,131659
104,753,156,7,vienna,7,french,1,131659
105,692,380,7,vienna,7,french,1,131659
