,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,311,108,21,amsterdam,15,austrian,1,131639
1,809,311,21,amsterdam,15,austrian,1,131639
2,163,184,27,amsterdam,15,austrian,1,131639
3,117,79,8,amsterdam,15,austrian,1,131639
4,515,351,20,amsterdam,15,austrian,1,131639
5,752,313,21,amsterdam,15,austrian,1,131639
6,52,184,13,amsterdam,15,austrian,1,131639
7,460,88,0,amsterdam,15,austrian,1,131639
8,783,105,0,amsterdam,15,austrian,1,131639
9,264,84,0,amsterdam,15,austrian,1,131639
10,223,159,0,amsterdam,15,austrian,1,131639
11,706,133,4,amsterdam,15,austrian,1,131639
12,9,89,0,amsterdam,15,austrian,1,131639
13,570,114,8,amsterdam,15,austrian,1,131639
14,878,115,18,amsterdam,15,austrian,1,131639
15,779,197,24,amsterdam,15,austrian,1,131639
16,157,313,28,amsterdam,15,austrian,1,131639
17,269,160,0,amsterdam,15,austrian,1,131639
18,674,127,13,amsterdam,15,austrian,1,131639
19,676,92,6,amsterdam,15,austrian,1,131639
20,685,346,19,amsterdam,15,austrian,1,131639
21,588,184,0,amsterdam,15,austrian,1,131639
22,933,159,0,amsterdam,15,austrian,1,131639
23,507,133,12,amsterdam,15,austrian,1,131639
24,762,184,15,amsterdam,15,austrian,1,131639
25,82,115,13,amsterdam,15,austrian,1,131639
26,16,188,0,amsterdam,15,austrian,1,131639
27,12,83,3,amsterdam,15,austrian,1,131639
28,603,281,22,amsterdam,15,austrian,1,131639
29,218,247,13,amsterdam,15,austrian,1,131639
30,657,185,19,amsterdam,15,austrian,1,131639
31,745,109,12,amsterdam,15,austrian,1,131639
32,307,133,12,amsterdam,15,austrian,1,131639
33,271,86,0,amsterdam,15,austrian,1,131639
34,256,82,2,amsterdam,15,austrian,1,131639
35,214,249,13,amsterdam,15,austrian,1,131639
36,916,114,12,amsterdam,15,austrian,1,131639
37,921,97,14,amsterdam,15,austrian,1,131639
38,417,188,12,amsterdam,15,austrian,1,131639
39,557,118,0,amsterdam,15,austrian,1,131639
40,806,283,34,amsterdam,15,austrian,1,131639
41,77,322,19,amsterdam,15,austrian,1,131639
42,821,116,13,amsterdam,15,austrian,1,131639
43,548,242,47,amsterdam,15,austrian,1,131639
44,196,116,0,amsterdam,15,austrian,1,131639
45,517,121,16,amsterdam,15,austrian,1,131639
46,627,112,0,amsterdam,15,austrian,1,131639
47,835,108,38,amsterdam,15,austrian,1,131639
48,960,317,20,amsterdam,15,austrian,1,131639
49,45,185,10,amsterdam,15,austrian,1,131639
50,892,238,13,amsterdam,15,austrian,1,131639
51,253,302,27,amsterdam,15,austrian,1,131639
52,724,313,27,amsterdam,15,austrian,1,131639
53,326,302,27,amsterdam,15,austrian,1,131639
54,880,137,5,amsterdam,15,austrian,1,131639
55,430,167,40,amsterdam,15,austrian,1,131639
56,373,138,8,amsterdam,15,austrian,1,131639
57,10,160,10,amsterdam,15,austrian,1,131639
58,902,206,21,amsterdam,15,austrian,1,131639
59,867,156,10,amsterdam,15,austrian,1,131639
60,918,357,25,amsterdam,15,austrian,1,131639
61,971,188,14,amsterdam,15,austrian,1,131639
62,778,115,0,amsterdam,15,austrian,1,131639
63,375,112,7,amsterdam,15,austrian,1,131639
64,303,224,17,amsterdam,15,austrian,1,131639
65,83,185,14,amsterdam,15,austrian,1,131639
66,88,139,7,amsterdam,15,austrian,1,131639
67,567,97,4,amsterdam,15,austrian,1,131639
68,146,224,19,amsterdam,15,austrian,1,131639
69,224,151,28,amsterdam,15,austrian,1,131639
70,482,85,0,amsterdam,15,austrian,1,131639
71,105,184,14,amsterdam,15,austrian,1,131639
72,917,315,24,amsterdam,15,austrian,1,131639
73,166,126,14,amsterdam,15,austrian,1,131639
74,283,121,12,amsterdam,15,austrian,1,131639
75,193,156,11,amsterdam,15,austrian,1,131639
76,750,119,10,amsterdam,15,austrian,1,131639
77,86,118,0,amsterdam,15,austrian,1,131639
78,594,256,40,amsterdam,15,austrian,1,131639
79,230,144,8,amsterdam,15,austrian,1,131639
80,969,87,8,amsterdam,15,austrian,1,131639
81,760,234,15,amsterdam,15,austrian,1,131639
82,967,83,18,amsterdam,15,austrian,1,131639
83,807,344,19,amsterdam,15,austrian,1,131639
84,317,207,21,amsterdam,15,austrian,1,131639
85,101,343,20,amsterdam,15,austrian,1,131639
86,442,202,20,amsterdam,15,austrian,1,131639
87,743,176,18,amsterdam,15,austrian,1,131639
88,234,184,12,amsterdam,15,austrian,1,131639
89,587,160,0,amsterdam,15,austrian,1,131639
90,505,115,11,amsterdam,15,austrian,1,131639
91,493,185,10,amsterdam,15,austrian,1,131639
92,660,182,12,amsterdam,15,austrian,1,131639
93,387,308,19,amsterdam,15,austrian,1,131639
94,510,294,29,amsterdam,15,austrian,1,131639
95,465,313,24,amsterdam,15,austrian,1,131639
96,625,199,22,amsterdam,15,austrian,1,131639
97,352,105,35,amsterdam,15,austrian,1,131639
98,788,115,0,amsterdam,15,austrian,1,131639
99,158,160,15,amsterdam,15,austrian,1,131639
100,429,263,37,amsterdam,15,austrian,1,131639
101,366,83,0,amsterdam,15,austrian,1,131639
102,346,229,17,amsterdam,15,austrian,1,131639
103,604,137,11,amsterdam,15,austrian,1,131639
104,212,249,13,amsterdam,15,austrian,1,131639
105,581,157,9,amsterdam,15,austrian,1,131639
106,585,79,16,amsterdam,15,austrian,1,131639
107,925,131,9,amsterdam,15,austrian,1,131639
108,891,130,6,amsterdam,15,austrian,1,131639
109,475,112,8,amsterdam,15,austrian,1,131639
110,777,190,13,amsterdam,15,austrian,1,131639
111,111,154,8,amsterdam,15,austrian,1,131639
112,680,159,2,amsterdam,15,austrian,1,131639
113,85,124,8,amsterdam,15,austrian,1,131639
114,628,159,18,amsterdam,15,austrian,1,131639
115,945,190,15,amsterdam,15,austrian,1,131639
116,630,163,0,amsterdam,15,austrian,1,131639
117,450,181,46,amsterdam,15,austrian,1,131639
118,172,139,10,amsterdam,15,austrian,1,131639
119,211,156,0,amsterdam,15,austrian,1,131639
120,103,191,38,amsterdam,15,austrian,1,131639
121,34,83,4,amsterdam,15,austrian,1,131639
122,369,80,0,amsterdam,15,austrian,1,131639
123,679,159,9,amsterdam,15,austrian,1,131639
