,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,660,141,104,amsterdam,40,belgian,0,131646
1,52,142,106,amsterdam,40,belgian,0,131646
2,685,235,216,amsterdam,40,belgian,0,131646
3,311,107,47,amsterdam,40,belgian,0,131646
4,77,233,208,amsterdam,40,belgian,0,131646
5,117,75,43,amsterdam,40,belgian,0,131646
6,346,172,151,amsterdam,40,belgian,0,131646
7,779,171,156,amsterdam,40,belgian,0,131646
8,517,110,93,amsterdam,40,belgian,0,131646
9,140,106,89,amsterdam,40,belgian,0,131646
10,752,243,224,amsterdam,40,belgian,0,131646
11,214,169,154,amsterdam,40,belgian,0,131646
12,264,75,43,amsterdam,40,belgian,0,131646
13,460,82,43,amsterdam,40,belgian,0,131646
14,892,172,150,amsterdam,40,belgian,0,131646
15,591,244,217,amsterdam,40,belgian,0,131646
16,680,147,44,amsterdam,40,belgian,0,131646
17,745,105,43,amsterdam,40,belgian,0,131646
18,658,152,109,amsterdam,40,belgian,0,131646
19,172,112,82,amsterdam,40,belgian,0,131646
20,557,112,86,amsterdam,40,belgian,0,131646
21,307,103,84,amsterdam,40,belgian,0,131646
22,196,105,43,amsterdam,40,belgian,0,131646
23,442,168,154,amsterdam,40,belgian,0,131646
24,750,104,42,amsterdam,40,belgian,0,131646
25,891,103,44,amsterdam,40,belgian,0,131646
26,657,168,160,amsterdam,40,belgian,0,131646
27,157,232,208,amsterdam,40,belgian,0,131646
28,158,146,108,amsterdam,40,belgian,0,131646
29,715,142,108,amsterdam,40,belgian,0,131646
30,604,106,84,amsterdam,40,belgian,0,131646
31,166,109,96,amsterdam,40,belgian,0,131646
32,760,169,160,amsterdam,40,belgian,0,131646
33,326,245,209,amsterdam,40,belgian,0,131646
34,269,155,110,amsterdam,40,belgian,0,131646
35,510,257,207,amsterdam,40,belgian,0,131646
36,212,178,148,amsterdam,40,belgian,0,131646
37,762,149,104,amsterdam,40,belgian,0,131646
38,387,239,219,amsterdam,40,belgian,0,131646
39,585,75,45,amsterdam,40,belgian,0,131646
40,317,167,155,amsterdam,40,belgian,0,131646
41,223,145,107,amsterdam,40,belgian,0,131646
42,224,142,107,amsterdam,40,belgian,0,131646
43,253,245,204,amsterdam,40,belgian,0,131646
44,493,138,104,amsterdam,40,belgian,0,131646
45,101,240,215,amsterdam,40,belgian,0,131646
46,10,155,107,amsterdam,40,belgian,0,131646
47,455,145,105,amsterdam,40,belgian,0,131646
48,465,235,226,amsterdam,40,belgian,0,131646
49,706,108,84,amsterdam,40,belgian,0,131646
50,82,109,85,amsterdam,40,belgian,0,131646
51,450,171,158,amsterdam,40,belgian,0,131646
52,960,246,218,amsterdam,40,belgian,0,131646
53,628,151,107,amsterdam,40,belgian,0,131646
54,916,108,86,amsterdam,40,belgian,0,131646
55,806,246,217,amsterdam,40,belgian,0,131646
56,921,75,106,amsterdam,40,belgian,0,131646
57,417,146,113,amsterdam,40,belgian,0,131646
58,366,79,87,amsterdam,40,belgian,0,131646
59,625,173,147,amsterdam,40,belgian,0,131646
60,30,106,88,amsterdam,40,belgian,0,131646
61,45,145,106,amsterdam,40,belgian,0,131646
62,303,173,158,amsterdam,40,belgian,0,131646
63,103,180,150,amsterdam,40,belgian,0,131646
64,515,246,213,amsterdam,40,belgian,0,131646
65,410,105,84,amsterdam,40,belgian,0,131646
66,630,150,114,amsterdam,40,belgian,0,131646
67,230,105,85,amsterdam,40,belgian,0,131646
68,88,107,84,amsterdam,40,belgian,0,131646
69,441,182,146,amsterdam,40,belgian,0,131646
70,529,228,224,amsterdam,40,belgian,0,131646
71,146,173,150,amsterdam,40,belgian,0,131646
72,373,103,86,amsterdam,40,belgian,0,131646
73,807,233,209,amsterdam,40,belgian,0,131646
74,809,233,220,amsterdam,40,belgian,0,131646
75,627,101,86,amsterdam,40,belgian,0,131646
76,234,142,108,amsterdam,40,belgian,0,131646
77,783,86,42,amsterdam,40,belgian,0,131646
78,169,77,46,amsterdam,40,belgian,0,131646
79,369,72,45,amsterdam,40,belgian,0,131646
80,925,102,89,amsterdam,40,belgian,0,131646
81,22,142,101,amsterdam,40,belgian,0,131646
82,271,78,44,amsterdam,40,belgian,0,131646
83,971,139,108,amsterdam,40,belgian,0,131646
84,588,170,114,amsterdam,40,belgian,0,131646
85,743,141,107,amsterdam,40,belgian,0,131646
86,505,104,90,amsterdam,40,belgian,0,131646
87,917,256,216,amsterdam,40,belgian,0,131646
88,548,239,229,amsterdam,40,belgian,0,131646
89,163,167,150,amsterdam,40,belgian,0,131646
90,835,107,88,amsterdam,40,belgian,0,131646
91,16,146,101,amsterdam,40,belgian,0,131646
92,724,243,215,amsterdam,40,belgian,0,131646
93,429,228,225,amsterdam,40,belgian,0,131646
94,969,79,47,amsterdam,40,belgian,0,131646
95,676,71,43,amsterdam,40,belgian,0,131646
96,918,245,213,amsterdam,40,belgian,0,131646
97,587,155,105,amsterdam,40,belgian,0,131646
98,12,75,44,amsterdam,40,belgian,0,131646
99,902,172,153,amsterdam,40,belgian,0,131646
100,211,145,109,amsterdam,40,belgian,0,131646
101,570,100,88,amsterdam,40,belgian,0,131646
102,933,154,108,amsterdam,40,belgian,0,131646
103,193,142,91,amsterdam,40,belgian,0,131646
104,9,82,109,amsterdam,40,belgian,0,131646
105,430,165,157,amsterdam,40,belgian,0,131646
106,945,147,115,amsterdam,40,belgian,0,131646
107,878,104,114,amsterdam,40,belgian,0,131646
108,375,101,87,amsterdam,40,belgian,0,131646
109,85,103,91,amsterdam,40,belgian,0,131646
110,86,109,157,amsterdam,40,belgian,0,131646
111,218,176,143,amsterdam,40,belgian,0,131646
112,34,73,43,amsterdam,40,belgian,0,131646
113,581,152,43,amsterdam,40,belgian,0,131646
114,603,235,217,amsterdam,40,belgian,0,131646
115,594,242,229,amsterdam,40,belgian,0,131646
116,778,106,84,amsterdam,40,belgian,0,131646
117,777,147,113,amsterdam,40,belgian,0,131646
118,111,105,86,amsterdam,40,belgian,0,131646
119,821,108,87,amsterdam,40,belgian,0,131646
120,567,75,43,amsterdam,40,belgian,0,131646
