,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,311,109,22,amsterdam,16,irish,1,131650
1,157,316,30,amsterdam,16,irish,1,131650
2,166,127,15,amsterdam,16,irish,1,131650
3,77,292,22,amsterdam,16,irish,1,131650
4,352,106,36,amsterdam,16,irish,1,131650
5,969,84,9,amsterdam,16,irish,1,131650
6,604,138,12,amsterdam,16,irish,1,131650
7,515,354,22,amsterdam,16,irish,1,131650
8,475,112,10,amsterdam,16,irish,1,131650
9,925,132,10,amsterdam,16,irish,1,131650
10,657,187,21,amsterdam,16,irish,1,131650
11,960,296,23,amsterdam,16,irish,1,131650
12,450,182,48,amsterdam,16,irish,1,131650
13,581,159,10,amsterdam,16,irish,1,131650
14,111,155,9,amsterdam,16,irish,1,131650
15,917,295,27,amsterdam,16,irish,1,131650
16,211,157,0,amsterdam,16,irish,1,131650
17,212,228,15,amsterdam,16,irish,1,131650
18,482,85,1,amsterdam,16,irish,1,131650
19,585,80,17,amsterdam,16,irish,1,131650
20,507,134,13,amsterdam,16,irish,1,131650
21,196,117,0,amsterdam,16,irish,1,131650
22,967,84,20,amsterdam,16,irish,1,131650
23,902,208,23,amsterdam,16,irish,1,131650
24,442,203,22,amsterdam,16,irish,1,131650
25,307,134,12,amsterdam,16,irish,1,131650
26,253,272,30,amsterdam,16,irish,1,131650
27,375,112,9,amsterdam,16,irish,1,131650
28,752,282,24,amsterdam,16,irish,1,131650
29,921,97,16,amsterdam,16,irish,1,131650
30,745,110,13,amsterdam,16,irish,1,131650
31,16,189,0,amsterdam,16,irish,1,131650
32,223,161,0,amsterdam,16,irish,1,131650
33,625,201,26,amsterdam,16,irish,1,131650
34,45,187,12,amsterdam,16,irish,1,131650
35,660,184,13,amsterdam,16,irish,1,131650
36,429,265,39,amsterdam,16,irish,1,131650
37,891,131,7,amsterdam,16,irish,1,131650
38,86,119,0,amsterdam,16,irish,1,131650
39,706,134,6,amsterdam,16,irish,1,131650
40,271,87,0,amsterdam,16,irish,1,131650
41,283,112,13,amsterdam,16,irish,1,131650
42,916,115,14,amsterdam,16,irish,1,131650
43,264,85,0,amsterdam,16,irish,1,131650
44,821,117,14,amsterdam,16,irish,1,131650
45,778,116,0,amsterdam,16,irish,1,131650
46,105,186,16,amsterdam,16,irish,1,131650
47,505,116,12,amsterdam,16,irish,1,131650
48,680,161,4,amsterdam,16,irish,1,131650
49,214,221,15,amsterdam,16,irish,1,131650
50,10,162,12,amsterdam,16,irish,1,131650
51,588,185,0,amsterdam,16,irish,1,131650
52,510,285,35,amsterdam,16,irish,1,131650
53,570,115,10,amsterdam,16,irish,1,131650
54,172,140,11,amsterdam,16,irish,1,131650
55,750,120,10,amsterdam,16,irish,1,131650
56,933,161,0,amsterdam,16,irish,1,131650
57,346,208,19,amsterdam,16,irish,1,131650
58,945,170,16,amsterdam,16,irish,1,131650
59,158,162,17,amsterdam,16,irish,1,131650
60,101,345,22,amsterdam,16,irish,1,131650
61,88,140,8,amsterdam,16,irish,1,131650
62,809,281,24,amsterdam,16,irish,1,131650
63,430,168,43,amsterdam,16,irish,1,131650
64,762,186,16,amsterdam,16,irish,1,131650
65,163,186,30,amsterdam,16,irish,1,131650
66,867,157,12,amsterdam,16,irish,1,131650
67,679,161,11,amsterdam,16,irish,1,131650
68,685,305,21,amsterdam,16,irish,1,131650
69,587,162,0,amsterdam,16,irish,1,131650
70,230,131,9,amsterdam,16,irish,1,131650
71,517,122,18,amsterdam,16,irish,1,131650
72,807,303,21,amsterdam,16,irish,1,131650
