,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,596,189,0,copenhagen,18,irish,1,131650
1,669,236,28,copenhagen,18,irish,1,131650
2,319,358,40,copenhagen,18,irish,1,131650
3,556,195,20,copenhagen,18,irish,1,131650
4,391,197,20,copenhagen,18,irish,1,131650
5,365,105,8,copenhagen,18,irish,1,131650
6,289,156,13,copenhagen,18,irish,1,131650
7,519,232,24,copenhagen,18,irish,1,131650
8,401,218,17,copenhagen,18,irish,1,131650
9,43,88,42,copenhagen,18,irish,1,131650
10,994,215,18,copenhagen,18,irish,1,131650
11,110,225,18,copenhagen,18,irish,1,131650
12,153,270,19,copenhagen,18,irish,1,131650
13,6,134,15,copenhagen,18,irish,1,131650
14,407,260,19,copenhagen,18,irish,1,131650
15,616,189,18,copenhagen,18,irish,1,131650
16,514,297,41,copenhagen,18,irish,1,131650
17,849,221,18,copenhagen,18,irish,1,131650
18,961,219,26,copenhagen,18,irish,1,131650
19,898,102,8,copenhagen,18,irish,1,131650
20,958,266,18,copenhagen,18,irish,1,131650
21,249,93,28,copenhagen,18,irish,1,131650
22,194,132,0,copenhagen,18,irish,1,131650
23,348,174,26,copenhagen,18,irish,1,131650
24,99,225,12,copenhagen,18,irish,1,131650
25,23,213,18,copenhagen,18,irish,1,131650
26,267,193,5,copenhagen,18,irish,1,131650
27,834,101,0,copenhagen,18,irish,1,131650
28,826,218,33,copenhagen,18,irish,1,131650
29,481,106,5,copenhagen,18,irish,1,131650
30,757,168,14,copenhagen,18,irish,1,131650
31,506,141,8,copenhagen,18,irish,1,131650
32,664,316,41,copenhagen,18,irish,1,131650
33,707,346,31,copenhagen,18,irish,1,131650
34,358,248,21,copenhagen,18,irish,1,131650
35,894,322,46,copenhagen,18,irish,1,131650
36,691,95,17,copenhagen,18,irish,1,131650
37,508,226,30,copenhagen,18,irish,1,131650
38,761,162,13,copenhagen,18,irish,1,131650
39,716,159,8,copenhagen,18,irish,1,131650
40,930,126,37,copenhagen,18,irish,1,131650
41,329,266,22,copenhagen,18,irish,1,131650
42,922,276,19,copenhagen,18,irish,1,131650
43,951,93,19,copenhagen,18,irish,1,131650
44,547,225,18,copenhagen,18,irish,1,131650
45,523,116,14,copenhagen,18,irish,1,131650
46,772,364,33,copenhagen,18,irish,1,131650
47,425,223,24,copenhagen,18,irish,1,131650
48,528,391,27,copenhagen,18,irish,1,131650
49,96,150,15,copenhagen,18,irish,1,131650
50,990,183,20,copenhagen,18,irish,1,131650
51,539,311,54,copenhagen,18,irish,1,131650
