,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,35,90,11,vienna,19,irish,0,131650
1,168,281,37,vienna,19,irish,0,131650
2,549,115,7,vienna,19,irish,0,131650
3,511,165,58,vienna,19,irish,0,131650
4,37,201,31,vienna,19,irish,0,131650
5,236,87,9,vienna,19,irish,0,131650
6,784,117,10,vienna,19,irish,0,131650
7,245,148,14,vienna,19,irish,0,131650
8,184,283,37,vienna,19,irish,0,131650
9,753,158,39,vienna,19,irish,0,131650
10,368,82,0,vienna,19,irish,0,131650
11,70,193,36,vienna,19,irish,0,131650
12,403,307,37,vienna,19,irish,0,131650
13,226,116,0,vienna,19,irish,0,131650
14,275,136,8,vienna,19,irish,0,131650
15,220,96,15,vienna,19,irish,0,131650
16,877,88,1,vienna,19,irish,0,131650
17,64,88,0,vienna,19,irish,0,131650
18,195,156,2,vienna,19,irish,0,131650
19,962,155,18,vienna,19,irish,0,131650
20,846,205,27,vienna,19,irish,0,131650
21,646,115,27,vienna,19,irish,0,131650
22,152,179,35,vienna,19,irish,0,131650
23,116,136,8,vienna,19,irish,0,131650
24,755,87,7,vienna,19,irish,0,131650
25,446,116,0,vienna,19,irish,0,131650
26,26,179,27,vienna,19,irish,0,131650
27,927,210,24,vienna,19,irish,0,131650
28,11,173,41,vienna,19,irish,0,131650
29,977,123,32,vienna,19,irish,0,131650
30,666,88,16,vienna,19,irish,0,131650
31,239,362,30,vienna,19,irish,0,131650
32,382,158,27,vienna,19,irish,0,131650
33,68,186,19,vienna,19,irish,0,131650
34,565,323,41,vienna,19,irish,0,131650
35,524,227,22,vienna,19,irish,0,131650
36,610,81,16,vienna,19,irish,0,131650
37,250,272,40,vienna,19,irish,0,131650
38,231,161,6,vienna,19,irish,0,131650
39,98,152,26,vienna,19,irish,0,131650
40,535,158,16,vienna,19,irish,0,131650
41,33,165,18,vienna,19,irish,0,131650
42,848,177,41,vienna,19,irish,0,131650
43,457,159,4,vienna,19,irish,0,131650
44,801,208,27,vienna,19,irish,0,131650
45,928,90,10,vienna,19,irish,0,131650
46,996,125,15,vienna,19,irish,0,131650
47,173,119,3,vienna,19,irish,0,131650
48,268,117,18,vienna,19,irish,0,131650
49,210,108,24,vienna,19,irish,0,131650
50,292,227,24,vienna,19,irish,0,131650
51,343,87,15,vienna,19,irish,0,131650
52,530,109,10,vienna,19,irish,0,131650
53,713,216,20,vienna,19,irish,0,131650
54,635,118,17,vienna,19,irish,0,131650
55,456,192,18,vienna,19,irish,0,131650
56,613,239,20,vienna,19,irish,0,131650
57,919,82,6,vienna,19,irish,0,131650
58,920,113,0,vienna,19,irish,0,131650
59,675,110,18,vienna,19,irish,0,131650
60,692,252,42,vienna,19,irish,0,131650
61,63,156,44,vienna,19,irish,0,131650
62,810,112,20,vienna,19,irish,0,131650
63,704,117,0,vienna,19,irish,0,131650
64,87,195,31,vienna,19,irish,0,131650
65,336,138,15,vienna,19,irish,0,131650
66,219,193,27,vienna,19,irish,0,131650
67,662,201,26,vienna,19,irish,0,131650
68,462,87,1,vienna,19,irish,0,131650
69,682,155,0,vienna,19,irish,0,131650
70,661,121,14,vienna,19,irish,0,131650
71,730,178,51,vienna,19,irish,0,131650
72,315,275,52,vienna,19,irish,0,131650
73,8,123,16,vienna,19,irish,0,131650
74,626,121,17,vienna,19,irish,0,131650
75,167,87,6,vienna,19,irish,0,131650
76,263,122,17,vienna,19,irish,0,131650
77,775,86,0,vienna,19,irish,0,131650
78,57,162,16,vienna,19,irish,0,131650
79,278,120,6,vienna,19,irish,0,131650
80,354,99,13,vienna,19,irish,0,131650
81,15,263,51,vienna,19,irish,0,131650
82,266,86,8,vienna,19,irish,0,131650
83,875,115,7,vienna,19,irish,0,131650
84,979,190,19,vienna,19,irish,0,131650
85,833,158,0,vienna,19,irish,0,131650
86,924,173,19,vienna,19,irish,0,131650
87,940,188,17,vienna,19,irish,0,131650
88,255,193,28,vienna,19,irish,0,131650
89,171,81,16,vienna,19,irish,0,131650
90,428,109,42,vienna,19,irish,0,131650
91,931,205,28,vienna,19,irish,0,131650
92,179,120,18,vienna,19,irish,0,131650
93,438,117,4,vienna,19,irish,0,131650
94,128,231,22,vienna,19,irish,0,131650
95,693,274,47,vienna,19,irish,0,131650
96,699,138,16,vienna,19,irish,0,131650
97,839,186,49,vienna,19,irish,0,131650
