,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,198,120,72,vilnius,34,austrian,0,194411
1,136,89,56,vilnius,34,austrian,0,194411
2,819,133,120,vilnius,34,austrian,0,194411
3,879,122,80,vilnius,34,austrian,0,194411
4,740,116,77,vilnius,34,austrian,0,194411
5,406,60,29,vilnius,34,austrian,0,194411
6,678,87,64,vilnius,34,austrian,0,194411
7,19,62,29,vilnius,34,austrian,0,194411
8,687,115,72,vilnius,34,austrian,0,194411
9,794,224,147,vilnius,34,austrian,0,194411
10,623,190,137,vilnius,34,austrian,0,194411
11,221,59,35,vilnius,34,austrian,0,194411
12,74,124,75,vilnius,34,austrian,0,194411
13,502,90,59,vilnius,34,austrian,0,194411
14,362,86,59,vilnius,34,austrian,0,194411
15,589,63,34,vilnius,34,austrian,0,194411
16,104,63,60,vilnius,34,austrian,0,194411
17,183,136,113,vilnius,34,austrian,0,194411
18,607,131,64,vilnius,34,austrian,0,194411
19,18,56,33,vilnius,34,austrian,0,194411
20,394,62,68,vilnius,34,austrian,0,194411
21,881,143,111,vilnius,34,austrian,0,194411
22,448,114,70,vilnius,34,austrian,0,194411
23,340,79,31,vilnius,34,austrian,0,194411
24,89,85,56,vilnius,34,austrian,0,194411
25,914,62,31,vilnius,34,austrian,0,194411
26,155,84,58,vilnius,34,austrian,0,194411
27,765,65,33,vilnius,34,austrian,0,194411
28,654,144,102,vilnius,34,austrian,0,194411
29,40,119,81,vilnius,34,austrian,0,194411
30,356,84,79,vilnius,34,austrian,0,194411
31,217,134,113,vilnius,34,austrian,0,194411
32,498,85,56,vilnius,34,austrian,0,194411
33,516,194,161,vilnius,34,austrian,0,194411
34,80,198,151,vilnius,34,austrian,0,194411
35,935,67,30,vilnius,34,austrian,0,194411
36,820,143,99,vilnius,34,austrian,0,194411
37,520,88,31,vilnius,34,austrian,0,194411
38,76,65,27,vilnius,34,austrian,0,194411
39,545,127,72,vilnius,34,austrian,0,194411
40,161,123,89,vilnius,34,austrian,0,194411
41,632,84,33,vilnius,34,austrian,0,194411
42,294,66,33,vilnius,34,austrian,0,194411
43,593,63,62,vilnius,34,austrian,0,194411
44,956,97,51,vilnius,34,austrian,0,194411
45,568,88,68,vilnius,34,austrian,0,194411
46,976,88,30,vilnius,34,austrian,0,194411
47,950,80,30,vilnius,34,austrian,0,194411
48,667,112,74,vilnius,34,austrian,0,194411
49,204,61,31,vilnius,34,austrian,0,194411
50,974,116,70,vilnius,34,austrian,0,194411
51,503,189,160,vilnius,34,austrian,0,194411
52,813,126,72,vilnius,34,austrian,0,194411
53,247,143,104,vilnius,34,austrian,0,194411
54,177,147,97,vilnius,34,austrian,0,194411
55,551,66,29,vilnius,34,austrian,0,194411
56,451,117,81,vilnius,34,austrian,0,194411
57,533,137,97,vilnius,34,austrian,0,194411
58,954,132,73,vilnius,34,austrian,0,194411
59,187,137,124,vilnius,34,austrian,0,194411
60,189,112,82,vilnius,34,austrian,0,194411
61,5,134,114,vilnius,34,austrian,0,194411
62,896,63,54,vilnius,34,austrian,0,194411
63,61,195,139,vilnius,34,austrian,0,194411
64,355,88,68,vilnius,34,austrian,0,194411
65,758,66,34,vilnius,34,austrian,0,194411
66,955,66,28,vilnius,34,austrian,0,194411
67,215,81,27,vilnius,34,austrian,0,194411
68,118,91,59,vilnius,34,austrian,0,194411
69,620,140,105,vilnius,34,austrian,0,194411
70,409,93,58,vilnius,34,austrian,0,194411
71,72,61,31,vilnius,34,austrian,0,194411
72,320,125,74,vilnius,34,austrian,0,194411
73,59,119,74,vilnius,34,austrian,0,194411
74,125,61,32,vilnius,34,austrian,0,194411
75,464,83,56,vilnius,34,austrian,0,194411
76,240,150,114,vilnius,34,austrian,0,194411
77,47,133,105,vilnius,34,austrian,0,194411
78,887,114,70,vilnius,34,austrian,0,194411
79,670,85,28,vilnius,34,austrian,0,194411
80,279,58,32,vilnius,34,austrian,0,194411
81,84,197,154,vilnius,34,austrian,0,194411
82,461,60,70,vilnius,34,austrian,0,194411
83,490,123,68,vilnius,34,austrian,0,194411
84,605,139,102,vilnius,34,austrian,0,194411
85,408,115,79,vilnius,34,austrian,0,194411
