,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,895,264,20,rome,14,polish,1,131656
1,843,323,17,rome,14,polish,1,131656
2,659,227,18,rome,14,polish,1,131656
3,129,122,11,rome,14,polish,1,131656
4,555,171,4,rome,14,polish,1,131656
5,991,177,21,rome,14,polish,1,131656
6,144,84,8,rome,14,polish,1,131656
7,854,319,20,rome,14,polish,1,131656
8,46,319,20,rome,14,polish,1,131656
9,453,352,15,rome,14,polish,1,131656
10,774,213,15,rome,14,polish,1,131656
11,440,149,9,rome,14,polish,1,131656
12,139,81,0,rome,14,polish,1,131656
13,345,142,0,rome,14,polish,1,131656
14,380,81,0,rome,14,polish,1,131656
15,796,167,14,rome,14,polish,1,131656
16,286,131,10,rome,14,polish,1,131656
17,906,148,0,rome,14,polish,1,131656
18,569,137,7,rome,14,polish,1,131656
19,42,216,15,rome,14,polish,1,131656
20,112,81,1,rome,14,polish,1,131656
21,178,248,27,rome,14,polish,1,131656
22,296,72,6,rome,14,polish,1,131656
23,953,134,7,rome,14,polish,1,131656
24,396,140,11,rome,14,polish,1,131656
25,781,75,0,rome,14,polish,1,131656
26,668,122,8,rome,14,polish,1,131656
27,543,189,18,rome,14,polish,1,131656
28,260,110,14,rome,14,polish,1,131656
29,897,355,16,rome,14,polish,1,131656
30,816,88,7,rome,14,polish,1,131656
31,213,103,0,rome,14,polish,1,131656
32,944,287,7,rome,14,polish,1,131656
33,728,284,0,rome,14,polish,1,131656
34,621,80,1,rome,14,polish,1,131656
35,390,205,13,rome,14,polish,1,131656
36,191,170,14,rome,14,polish,1,131656
37,324,173,4,rome,14,polish,1,131656
38,170,145,18,rome,14,polish,1,131656
39,330,316,21,rome,14,polish,1,131656
40,114,168,14,rome,14,polish,1,131656
41,636,103,0,rome,14,polish,1,131656
42,206,183,25,rome,14,polish,1,131656
43,364,175,10,rome,14,polish,1,131656
44,677,205,18,rome,14,polish,1,131656
45,281,137,6,rome,14,polish,1,131656
46,759,214,16,rome,14,polish,1,131656
47,552,102,6,rome,14,polish,1,131656
48,642,82,8,rome,14,polish,1,131656
49,702,218,19,rome,14,polish,1,131656
50,437,105,4,rome,14,polish,1,131656
51,344,74,11,rome,14,polish,1,131656
52,804,168,9,rome,14,polish,1,131656
53,51,170,12,rome,14,polish,1,131656
54,864,147,14,rome,14,polish,1,131656
55,347,84,4,rome,14,polish,1,131656
56,361,170,11,rome,14,polish,1,131656
57,651,120,11,rome,14,polish,1,131656
58,486,203,20,rome,14,polish,1,131656
59,228,142,0,rome,14,polish,1,131656
60,787,146,7,rome,14,polish,1,131656
61,513,79,7,rome,14,polish,1,131656
62,934,81,7,rome,14,polish,1,131656
63,751,284,27,rome,14,polish,1,131656
64,929,352,14,rome,14,polish,1,131656
65,650,80,4,rome,14,polish,1,131656
66,3,75,4,rome,14,polish,1,131656
67,712,205,18,rome,14,polish,1,131656
68,550,82,11,rome,14,polish,1,131656
69,993,224,13,rome,14,polish,1,131656
70,328,75,1,rome,14,polish,1,131656
71,293,75,5,rome,14,polish,1,131656
72,583,76,2,rome,14,polish,1,131656
73,423,314,18,rome,14,polish,1,131656
74,671,147,0,rome,14,polish,1,131656
75,38,103,6,rome,14,polish,1,131656
76,763,108,11,rome,14,polish,1,131656
77,381,141,0,rome,14,polish,1,131656
78,850,175,22,rome,14,polish,1,131656
79,701,75,10,rome,14,polish,1,131656
80,386,109,0,rome,14,polish,1,131656
81,471,166,43,rome,14,polish,1,131656
82,838,171,1,rome,14,polish,1,131656
83,48,75,11,rome,14,polish,1,131656
84,773,89,7,rome,14,polish,1,131656
85,947,160,14,rome,14,polish,1,131656
86,537,202,20,rome,14,polish,1,131656
87,725,199,7,rome,14,polish,1,131656
88,840,112,19,rome,14,polish,1,131656
89,469,73,12,rome,14,polish,1,131656
90,769,84,0,rome,14,polish,1,131656
91,473,292,27,rome,14,polish,1,131656
92,156,76,0,rome,14,polish,1,131656
93,399,193,18,rome,14,polish,1,131656
94,321,357,15,rome,14,polish,1,131656
95,232,80,0,rome,14,polish,1,131656
96,316,200,19,rome,14,polish,1,131656
97,151,248,37,rome,14,polish,1,131656
98,856,77,0,rome,14,polish,1,131656
99,586,218,15,rome,14,polish,1,131656
100,180,77,1,rome,14,polish,1,131656
101,932,142,0,rome,14,polish,1,131656
102,489,334,23,rome,14,polish,1,131656
103,563,202,0,rome,14,polish,1,131656
104,536,130,11,rome,14,polish,1,131656
105,641,137,8,rome,14,polish,1,131656
106,824,248,23,rome,14,polish,1,131656
107,686,94,6,rome,14,polish,1,131656
108,681,175,10,rome,14,polish,1,131656
109,566,155,34,rome,14,polish,1,131656
110,273,148,14,rome,14,polish,1,131656
111,913,168,16,rome,14,polish,1,131656
112,73,229,14,rome,14,polish,1,131656
113,242,235,14,rome,14,polish,1,131656
114,786,319,17,rome,14,polish,1,131656
115,374,107,0,rome,14,polish,1,131656
116,341,128,11,rome,14,polish,1,131656
117,907,148,0,rome,14,polish,1,131656
118,485,76,6,rome,14,polish,1,131656
119,739,256,12,rome,14,polish,1,131656
120,696,103,0,rome,14,polish,1,131656
121,714,77,0,rome,14,polish,1,131656
122,644,74,0,rome,14,polish,1,131656
123,694,144,6,rome,14,polish,1,131656
124,298,171,10,rome,14,polish,1,131656
125,496,86,20,rome,14,polish,1,131656
126,874,230,15,rome,14,polish,1,131656
127,452,248,10,rome,14,polish,1,131656
