,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,649,171,21,sofia,14,polish,1,131656
1,145,109,14,sofia,14,polish,1,131656
2,653,135,18,sofia,14,polish,1,131656
3,871,94,6,sofia,14,polish,1,131656
4,302,66,20,sofia,14,polish,1,131656
5,597,213,17,sofia,14,polish,1,131656
6,472,49,0,sofia,14,polish,1,131656
7,25,204,17,sofia,14,polish,1,131656
8,459,104,14,sofia,14,polish,1,131656
9,272,52,0,sofia,14,polish,1,131656
10,143,63,23,sofia,14,polish,1,131656
11,554,49,0,sofia,14,polish,1,131656
12,637,68,9,sofia,14,polish,1,131656
13,601,89,7,sofia,14,polish,1,131656
14,270,129,20,sofia,14,polish,1,131656
15,470,80,11,sofia,14,polish,1,131656
16,553,107,5,sofia,14,polish,1,131656
17,590,93,2,sofia,14,polish,1,131656
18,802,91,0,sofia,14,polish,1,131656
19,181,92,28,sofia,14,polish,1,131656
20,665,74,12,sofia,14,polish,1,131656
21,608,111,14,sofia,14,polish,1,131656
22,984,66,3,sofia,14,polish,1,131656
23,544,70,0,sofia,14,polish,1,131656
24,109,109,14,sofia,14,polish,1,131656
25,814,203,17,sofia,14,polish,1,131656
26,44,60,1,sofia,14,polish,1,131656
27,923,59,9,sofia,14,polish,1,131656
28,203,129,18,sofia,14,polish,1,131656
29,13,65,5,sofia,14,polish,1,131656
30,542,70,0,sofia,14,polish,1,131656
31,208,70,0,sofia,14,polish,1,131656
32,353,47,16,sofia,14,polish,1,131656
33,337,108,12,sofia,14,polish,1,131656
34,141,95,10,sofia,14,polish,1,131656
35,262,108,10,sofia,14,polish,1,131656
36,190,60,3,sofia,14,polish,1,131656
37,815,211,20,sofia,14,polish,1,131656
38,107,51,4,sofia,14,polish,1,131656
39,764,71,0,sofia,14,polish,1,131656
40,416,103,14,sofia,14,polish,1,131656
41,578,127,21,sofia,14,polish,1,131656
42,287,199,22,sofia,14,polish,1,131656
43,862,83,11,sofia,14,polish,1,131656
44,574,68,2,sofia,14,polish,1,131656
45,852,51,8,sofia,14,polish,1,131656
46,137,49,0,sofia,14,polish,1,131656
47,304,96,34,sofia,14,polish,1,131656
48,4,47,0,sofia,14,polish,1,131656
49,201,103,14,sofia,14,polish,1,131656
50,683,95,13,sofia,14,polish,1,131656
51,883,143,15,sofia,14,polish,1,131656
52,968,136,14,sofia,14,polish,1,131656
53,899,108,14,sofia,14,polish,1,131656
54,383,48,4,sofia,14,polish,1,131656
