,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,899,81,108,sofia,40,czech,1,131652
1,13,58,45,sofia,40,czech,1,131652
2,649,138,222,sofia,40,czech,1,131652
3,190,47,43,sofia,40,czech,1,131652
4,353,45,45,sofia,40,czech,1,131652
5,968,103,145,sofia,40,czech,1,131652
6,459,84,107,sofia,40,czech,1,131652
7,416,82,110,sofia,40,czech,1,131652
8,814,133,225,sofia,40,czech,1,131652
9,137,44,45,sofia,40,czech,1,131652
10,862,63,86,sofia,40,czech,1,131652
11,601,58,85,sofia,40,czech,1,131652
12,141,83,107,sofia,40,czech,1,131652
13,109,82,108,sofia,40,czech,1,131652
14,799,42,46,sofia,40,czech,1,131652
15,262,81,108,sofia,40,czech,1,131652
16,597,140,212,sofia,40,czech,1,131652
17,554,46,108,sofia,40,czech,1,131652
18,270,96,147,sofia,40,czech,1,131652
19,815,144,212,sofia,40,czech,1,131652
20,302,61,108,sofia,40,czech,1,131652
21,470,60,86,sofia,40,czech,1,131652
22,544,62,44,sofia,40,czech,1,131652
23,4,42,43,sofia,40,czech,1,131652
24,542,62,85,sofia,40,czech,1,131652
25,107,46,45,sofia,40,czech,1,131652
26,208,62,42,sofia,40,czech,1,131652
27,802,82,91,sofia,40,czech,1,131652
28,984,61,46,sofia,40,czech,1,131652
29,287,139,218,sofia,40,czech,1,131652
30,553,96,45,sofia,40,czech,1,131652
31,764,61,43,sofia,40,czech,1,131652
32,637,61,45,sofia,40,czech,1,131652
33,472,45,152,sofia,40,czech,1,131652
34,871,82,111,sofia,40,czech,1,131652
35,383,42,109,sofia,40,czech,1,131652
36,883,97,147,sofia,40,czech,1,131652
37,201,82,106,sofia,40,czech,1,131652
38,923,46,86,sofia,40,czech,1,131652
39,574,61,45,sofia,40,czech,1,131652
40,145,82,116,sofia,40,czech,1,131652
41,608,83,106,sofia,40,czech,1,131652
42,44,45,42,sofia,40,czech,1,131652
43,304,92,154,sofia,40,czech,1,131652
44,181,83,114,sofia,40,czech,1,131652
45,143,57,86,sofia,40,czech,1,131652
46,337,84,108,sofia,40,czech,1,131652
47,590,81,113,sofia,40,czech,1,131652
48,25,128,218,sofia,40,czech,1,131652
49,203,92,153,sofia,40,czech,1,131652
50,653,91,150,sofia,40,czech,1,131652
51,272,47,45,sofia,40,czech,1,131652
52,578,95,146,sofia,40,czech,1,131652
53,665,55,83,sofia,40,czech,1,131652
