,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,750,97,42,amsterdam,40,slovakian,0,131636
1,303,162,158,amsterdam,40,slovakian,0,131636
2,140,99,89,amsterdam,40,slovakian,0,131636
3,346,161,151,amsterdam,40,slovakian,0,131636
4,311,100,47,amsterdam,40,slovakian,0,131636
5,960,230,218,amsterdam,40,slovakian,0,131636
6,517,103,93,amsterdam,40,slovakian,0,131636
7,105,133,110,amsterdam,40,slovakian,0,131636
8,34,69,43,amsterdam,40,slovakian,0,131636
9,585,70,45,amsterdam,40,slovakian,0,131636
10,88,100,84,amsterdam,40,slovakian,0,131636
11,22,133,101,amsterdam,40,slovakian,0,131636
12,455,135,105,amsterdam,40,slovakian,0,131636
13,442,157,154,amsterdam,40,slovakian,0,131636
14,878,97,114,amsterdam,40,slovakian,0,131636
15,460,77,43,amsterdam,40,slovakian,0,131636
16,658,142,109,amsterdam,40,slovakian,0,131636
17,603,219,217,amsterdam,40,slovakian,0,131636
18,777,137,113,amsterdam,40,slovakian,0,131636
19,760,158,160,amsterdam,40,slovakian,0,131636
20,256,72,44,amsterdam,40,slovakian,0,131636
21,594,226,229,amsterdam,40,slovakian,0,131636
22,52,133,106,amsterdam,40,slovakian,0,131636
23,172,105,82,amsterdam,40,slovakian,0,131636
24,224,133,107,amsterdam,40,slovakian,0,131636
25,685,219,216,amsterdam,40,slovakian,0,131636
26,529,213,224,amsterdam,40,slovakian,0,131636
27,918,229,213,amsterdam,40,slovakian,0,131636
28,387,223,219,amsterdam,40,slovakian,0,131636
29,510,240,207,amsterdam,40,slovakian,0,131636
30,214,158,154,amsterdam,40,slovakian,0,131636
31,352,97,88,amsterdam,40,slovakian,0,131636
32,892,161,150,amsterdam,40,slovakian,0,131636
33,604,99,84,amsterdam,40,slovakian,0,131636
34,317,156,155,amsterdam,40,slovakian,0,131636
35,505,97,90,amsterdam,40,slovakian,0,131636
36,969,74,47,amsterdam,40,slovakian,0,131636
37,706,101,84,amsterdam,40,slovakian,0,131636
38,429,213,225,amsterdam,40,slovakian,0,131636
39,902,161,153,amsterdam,40,slovakian,0,131636
40,169,72,46,amsterdam,40,slovakian,0,131636
41,417,136,113,amsterdam,40,slovakian,0,131636
42,880,99,86,amsterdam,40,slovakian,0,131636
43,373,96,86,amsterdam,40,slovakian,0,131636
44,588,159,114,amsterdam,40,slovakian,0,131636
45,16,136,101,amsterdam,40,slovakian,0,131636
46,234,133,108,amsterdam,40,slovakian,0,131636
47,778,99,84,amsterdam,40,slovakian,0,131636
48,724,227,215,amsterdam,40,slovakian,0,131636
49,806,230,217,amsterdam,40,slovakian,0,131636
50,430,154,157,amsterdam,40,slovakian,0,131636
51,369,68,45,amsterdam,40,slovakian,0,131636
52,366,73,87,amsterdam,40,slovakian,0,131636
53,745,98,43,amsterdam,40,slovakian,0,131636
54,264,70,43,amsterdam,40,slovakian,0,131636
55,86,102,157,amsterdam,40,slovakian,0,131636
56,450,160,158,amsterdam,40,slovakian,0,131636
57,475,92,89,amsterdam,40,slovakian,0,131636
58,891,96,44,amsterdam,40,slovakian,0,131636
59,627,94,86,amsterdam,40,slovakian,0,131636
60,103,168,150,amsterdam,40,slovakian,0,131636
61,809,218,220,amsterdam,40,slovakian,0,131636
62,680,137,44,amsterdam,40,slovakian,0,131636
63,925,95,89,amsterdam,40,slovakian,0,131636
64,628,141,107,amsterdam,40,slovakian,0,131636
65,821,101,87,amsterdam,40,slovakian,0,131636
66,117,70,43,amsterdam,40,slovakian,0,131636
67,12,70,44,amsterdam,40,slovakian,0,131636
68,779,160,156,amsterdam,40,slovakian,0,131636
69,157,217,208,amsterdam,40,slovakian,0,131636
70,85,96,91,amsterdam,40,slovakian,0,131636
71,945,137,115,amsterdam,40,slovakian,0,131636
72,916,101,86,amsterdam,40,slovakian,0,131636
73,587,145,105,amsterdam,40,slovakian,0,131636
74,971,130,108,amsterdam,40,slovakian,0,131636
75,660,132,104,amsterdam,40,slovakian,0,131636
76,230,98,85,amsterdam,40,slovakian,0,131636
77,212,166,148,amsterdam,40,slovakian,0,131636
78,146,162,150,amsterdam,40,slovakian,0,131636
79,307,96,84,amsterdam,40,slovakian,0,131636
80,921,70,106,amsterdam,40,slovakian,0,131636
81,967,70,108,amsterdam,40,slovakian,0,131636
82,752,227,224,amsterdam,40,slovakian,0,131636
83,196,98,43,amsterdam,40,slovakian,0,131636
84,657,157,160,amsterdam,40,slovakian,0,131636
85,218,164,143,amsterdam,40,slovakian,0,131636
86,933,144,108,amsterdam,40,slovakian,0,131636
87,917,239,216,amsterdam,40,slovakian,0,131636
88,9,76,109,amsterdam,40,slovakian,0,131636
89,548,223,229,amsterdam,40,slovakian,0,131636
90,625,162,147,amsterdam,40,slovakian,0,131636
91,676,67,43,amsterdam,40,slovakian,0,131636
92,158,136,108,amsterdam,40,slovakian,0,131636
93,835,100,88,amsterdam,40,slovakian,0,131636
94,269,145,110,amsterdam,40,slovakian,0,131636
95,111,98,86,amsterdam,40,slovakian,0,131636
96,211,135,109,amsterdam,40,slovakian,0,131636
97,166,102,96,amsterdam,40,slovakian,0,131636
98,630,140,114,amsterdam,40,slovakian,0,131636
99,101,224,215,amsterdam,40,slovakian,0,131636
100,493,129,104,amsterdam,40,slovakian,0,131636
101,557,105,86,amsterdam,40,slovakian,0,131636
102,223,135,107,amsterdam,40,slovakian,0,131636
103,326,229,209,amsterdam,40,slovakian,0,131636
104,193,132,91,amsterdam,40,slovakian,0,131636
105,441,170,146,amsterdam,40,slovakian,0,131636
106,743,132,107,amsterdam,40,slovakian,0,131636
107,515,230,213,amsterdam,40,slovakian,0,131636
108,163,156,150,amsterdam,40,slovakian,0,131636
109,783,80,42,amsterdam,40,slovakian,0,131636
110,82,102,85,amsterdam,40,slovakian,0,131636
111,570,93,88,amsterdam,40,slovakian,0,131636
112,10,145,107,amsterdam,40,slovakian,0,131636
113,30,99,88,amsterdam,40,slovakian,0,131636
114,762,139,104,amsterdam,40,slovakian,0,131636
115,253,229,204,amsterdam,40,slovakian,0,131636
116,77,218,208,amsterdam,40,slovakian,0,131636
117,271,72,44,amsterdam,40,slovakian,0,131636
118,567,70,43,amsterdam,40,slovakian,0,131636
119,807,218,209,amsterdam,40,slovakian,0,131636
120,581,142,43,amsterdam,40,slovakian,0,131636
121,715,133,108,amsterdam,40,slovakian,0,131636
122,45,135,106,amsterdam,40,slovakian,0,131636
123,375,94,87,amsterdam,40,slovakian,0,131636
124,465,219,226,amsterdam,40,slovakian,0,131636
