,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,476,119,33,valletta,30,slovakian,0,131636
1,512,172,67,valletta,30,slovakian,0,131636
2,466,130,56,valletta,30,slovakian,0,131636
3,521,64,24,valletta,30,slovakian,0,131636
4,754,220,108,valletta,30,slovakian,0,131636
5,501,71,22,valletta,30,slovakian,0,131636
6,643,71,25,valletta,30,slovakian,0,131636
7,389,102,38,valletta,30,slovakian,0,131636
8,334,75,23,valletta,30,slovakian,0,131636
9,363,128,50,valletta,30,slovakian,0,131636
10,598,135,55,valletta,30,slovakian,0,131636
11,200,125,66,valletta,30,slovakian,0,131636
12,237,137,56,valletta,30,slovakian,0,131636
13,480,67,22,valletta,30,slovakian,0,131636
14,295,69,21,valletta,30,slovakian,0,131636
15,371,90,46,valletta,30,slovakian,0,131636
16,160,88,21,valletta,30,slovakian,0,131636
17,209,68,46,valletta,30,slovakian,0,131636
18,404,133,20,valletta,30,slovakian,0,131636
19,832,125,48,valletta,30,slovakian,0,131636
20,988,135,49,valletta,30,slovakian,0,131636
21,719,146,97,valletta,30,slovakian,0,131636
22,985,66,54,valletta,30,slovakian,0,131636
23,360,154,62,valletta,30,slovakian,0,131636
24,639,156,76,valletta,30,slovakian,0,131636
25,244,263,88,valletta,30,slovakian,0,131636
26,377,122,64,valletta,30,slovakian,0,131636
27,81,122,62,valletta,30,slovakian,0,131636
28,376,153,93,valletta,30,slovakian,0,131636
29,504,149,74,valletta,30,slovakian,0,131636
30,746,148,71,valletta,30,slovakian,0,131636
31,718,132,56,valletta,30,slovakian,0,131636
32,400,93,55,valletta,30,slovakian,0,131636
33,732,154,93,valletta,30,slovakian,0,131636
34,491,151,85,valletta,30,slovakian,0,131636
35,861,166,73,valletta,30,slovakian,0,131636
36,592,237,99,valletta,30,slovakian,0,131636
37,55,100,41,valletta,30,slovakian,0,131636
38,749,97,23,valletta,30,slovakian,0,131636
39,325,96,23,valletta,30,slovakian,0,131636
40,859,126,58,valletta,30,slovakian,0,131636
41,424,158,74,valletta,30,slovakian,0,131636
42,134,74,22,valletta,30,slovakian,0,131636
43,965,128,56,valletta,30,slovakian,0,131636
44,709,132,52,valletta,30,slovakian,0,131636
45,106,136,52,valletta,30,slovakian,0,131636
46,282,127,50,valletta,30,slovakian,0,131636
47,905,122,65,valletta,30,slovakian,0,131636
