,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,494,173,183,vienna,43,greek,0,131655
1,168,243,264,vienna,43,greek,0,131655
2,610,76,53,vienna,43,greek,0,131655
3,184,233,261,vienna,43,greek,0,131655
4,372,98,104,vienna,43,greek,0,131655
5,63,143,131,vienna,43,greek,0,131655
6,87,169,186,vienna,43,greek,0,131655
7,672,168,186,vienna,43,greek,0,131655
8,977,111,104,vienna,43,greek,0,131655
9,682,136,53,vienna,43,greek,0,131655
10,675,103,52,vienna,43,greek,0,131655
11,626,103,106,vienna,43,greek,0,131655
12,875,103,52,vienna,43,greek,0,131655
13,662,166,186,vienna,43,greek,0,131655
14,428,107,106,vienna,43,greek,0,131655
15,128,166,184,vienna,43,greek,0,131655
16,927,160,185,vienna,43,greek,0,131655
17,226,104,106,vienna,43,greek,0,131655
18,438,103,53,vienna,43,greek,0,131655
19,70,173,186,vienna,43,greek,0,131655
20,920,99,105,vienna,43,greek,0,131655
21,646,103,104,vienna,43,greek,0,131655
22,846,170,181,vienna,43,greek,0,131655
23,403,245,263,vienna,43,greek,0,131655
24,236,77,52,vienna,43,greek,0,131655
25,292,167,183,vienna,43,greek,0,131655
26,666,78,107,vienna,43,greek,0,131655
27,801,173,184,vienna,43,greek,0,131655
28,255,166,182,vienna,43,greek,0,131655
29,116,104,53,vienna,43,greek,0,131655
30,64,79,105,vienna,43,greek,0,131655
31,343,78,53,vienna,43,greek,0,131655
32,535,139,133,vienna,43,greek,0,131655
33,996,103,106,vienna,43,greek,0,131655
34,336,107,105,vienna,43,greek,0,131655
35,426,99,106,vienna,43,greek,0,131655
36,524,174,186,vienna,43,greek,0,131655
37,26,168,184,vienna,43,greek,0,131655
38,940,139,130,vienna,43,greek,0,131655
39,179,109,104,vienna,43,greek,0,131655
40,35,81,53,vienna,43,greek,0,131655
41,57,143,130,vienna,43,greek,0,131655
42,98,146,128,vienna,43,greek,0,131655
43,730,174,183,vienna,43,greek,0,131655
44,268,100,105,vienna,43,greek,0,131655
45,877,79,53,vienna,43,greek,0,131655
46,613,166,184,vienna,43,greek,0,131655
47,354,97,53,vienna,43,greek,0,131655
48,266,76,52,vienna,43,greek,0,131655
49,210,100,106,vienna,43,greek,0,131655
50,890,76,52,vienna,43,greek,0,131655
51,245,139,54,vienna,43,greek,0,131655
52,8,107,106,vienna,43,greek,0,131655
53,775,76,52,vienna,43,greek,0,131655
54,549,103,53,vienna,43,greek,0,131655
55,11,170,186,vienna,43,greek,0,131655
56,368,72,53,vienna,43,greek,0,131655
57,692,247,263,vienna,43,greek,0,131655
58,919,72,53,vienna,43,greek,0,131655
59,250,233,265,vienna,43,greek,0,131655
60,275,105,104,vienna,43,greek,0,131655
61,693,237,258,vienna,43,greek,0,131655
62,220,74,105,vienna,43,greek,0,131655
63,962,136,106,vienna,43,greek,0,131655
64,943,168,183,vienna,43,greek,0,131655
65,456,141,134,vienna,43,greek,0,131655
66,810,105,106,vienna,43,greek,0,131655
67,924,137,133,vienna,43,greek,0,131655
68,699,107,105,vienna,43,greek,0,131655
69,848,173,186,vienna,43,greek,0,131655
70,263,110,106,vienna,43,greek,0,131655
71,928,80,52,vienna,43,greek,0,131655
72,152,168,186,vienna,43,greek,0,131655
73,704,105,53,vienna,43,greek,0,131655
74,784,103,105,vienna,43,greek,0,131655
75,703,141,130,vienna,43,greek,0,131655
76,530,102,53,vienna,43,greek,0,131655
77,382,147,129,vienna,43,greek,0,131655
78,239,244,266,vienna,43,greek,0,131655
79,713,166,183,vienna,43,greek,0,131655
80,37,173,183,vienna,43,greek,0,131655
81,635,102,106,vienna,43,greek,0,131655
82,979,140,130,vienna,43,greek,0,131655
83,839,174,186,vienna,43,greek,0,131655
84,195,137,52,vienna,43,greek,0,131655
85,753,147,132,vienna,43,greek,0,131655
86,462,76,52,vienna,43,greek,0,131655
87,511,161,186,vienna,43,greek,0,131655
88,446,104,52,vienna,43,greek,0,131655
89,833,142,130,vienna,43,greek,0,131655
90,15,247,258,vienna,43,greek,0,131655
91,315,247,262,vienna,43,greek,0,131655
92,167,79,53,vienna,43,greek,0,131655
93,755,79,52,vienna,43,greek,0,131655
94,173,108,105,vienna,43,greek,0,131655
95,565,249,259,vienna,43,greek,0,131655
96,171,70,107,vienna,43,greek,0,131655
97,931,170,186,vienna,43,greek,0,131655
98,652,102,106,vienna,43,greek,0,131655
99,33,136,134,vienna,43,greek,0,131655
100,219,158,184,vienna,43,greek,0,131655
101,68,143,130,vienna,43,greek,0,131655
102,231,138,54,vienna,43,greek,0,131655
103,661,99,104,vienna,43,greek,0,131655
104,278,109,52,vienna,43,greek,0,131655
105,457,140,51,vienna,43,greek,0,131655
