,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,875,111,10,vienna,22,spanish,1,131660
1,116,113,11,vienna,22,spanish,1,131660
2,462,84,6,vienna,22,spanish,1,131660
3,962,147,27,vienna,22,spanish,1,131660
4,652,115,26,vienna,22,spanish,1,131660
5,931,199,38,vienna,22,spanish,1,131660
6,171,75,23,vienna,22,spanish,1,131660
7,704,114,0,vienna,22,spanish,1,131660
8,801,194,38,vienna,22,spanish,1,131660
9,368,79,0,vienna,22,spanish,1,131660
10,219,187,36,vienna,22,spanish,1,131660
11,457,154,10,vienna,22,spanish,1,131660
12,535,153,29,vienna,22,spanish,1,131660
13,775,83,6,vienna,22,spanish,1,131660
14,98,148,36,vienna,22,spanish,1,131660
15,996,112,21,vienna,22,spanish,1,131660
16,263,108,24,vienna,22,spanish,1,131660
17,245,144,17,vienna,22,spanish,1,131660
18,784,114,20,vienna,22,spanish,1,131660
19,26,173,40,vienna,22,spanish,1,131660
20,943,188,44,vienna,22,spanish,1,131660
21,275,132,15,vienna,22,spanish,1,131660
22,699,130,22,vienna,22,spanish,1,131660
23,877,85,7,vienna,22,spanish,1,131660
24,833,153,0,vienna,22,spanish,1,131660
25,928,85,14,vienna,22,spanish,1,131660
26,278,117,10,vienna,22,spanish,1,131660
27,250,264,55,vienna,22,spanish,1,131660
28,549,111,11,vienna,22,spanish,1,131660
29,220,79,19,vienna,22,spanish,1,131660
30,977,119,35,vienna,22,spanish,1,131660
31,372,105,20,vienna,22,spanish,1,131660
32,266,83,11,vienna,22,spanish,1,131660
33,511,159,71,vienna,22,spanish,1,131660
34,403,276,54,vienna,22,spanish,1,131660
35,8,119,22,vienna,22,spanish,1,131660
36,666,85,23,vienna,22,spanish,1,131660
37,810,108,27,vienna,22,spanish,1,131660
38,167,84,10,vienna,22,spanish,1,131660
39,839,181,57,vienna,22,spanish,1,131660
40,675,106,19,vienna,22,spanish,1,131660
41,64,85,1,vienna,22,spanish,1,131660
42,753,149,50,vienna,22,spanish,1,131660
43,919,80,10,vienna,22,spanish,1,131660
44,703,159,26,vienna,22,spanish,1,131660
45,343,84,18,vienna,22,spanish,1,131660
46,63,151,50,vienna,22,spanish,1,131660
47,128,224,31,vienna,22,spanish,1,131660
48,57,157,28,vienna,22,spanish,1,131660
49,168,272,52,vienna,22,spanish,1,131660
50,646,111,32,vienna,22,spanish,1,131660
51,755,84,11,vienna,22,spanish,1,131660
52,315,267,63,vienna,22,spanish,1,131660
53,195,151,8,vienna,22,spanish,1,131660
54,70,187,45,vienna,22,spanish,1,131660
55,924,154,26,vienna,22,spanish,1,131660
56,268,108,27,vienna,22,spanish,1,131660
57,730,172,59,vienna,22,spanish,1,131660
58,494,202,32,vienna,22,spanish,1,131660
59,231,156,12,vienna,22,spanish,1,131660
60,255,187,34,vienna,22,spanish,1,131660
61,662,187,37,vienna,22,spanish,1,131660
62,626,117,23,vienna,22,spanish,1,131660
63,428,105,50,vienna,22,spanish,1,131660
64,920,109,4,vienna,22,spanish,1,131660
65,15,255,70,vienna,22,spanish,1,131660
66,152,166,52,vienna,22,spanish,1,131660
67,426,107,20,vienna,22,spanish,1,131660
68,438,114,8,vienna,22,spanish,1,131660
69,713,202,29,vienna,22,spanish,1,131660
70,382,153,34,vienna,22,spanish,1,131660
71,979,157,23,vienna,22,spanish,1,131660
72,524,204,34,vienna,22,spanish,1,131660
73,661,112,19,vienna,22,spanish,1,131660
74,236,84,11,vienna,22,spanish,1,131660
75,239,307,42,vienna,22,spanish,1,131660
76,87,182,43,vienna,22,spanish,1,131660
77,635,115,23,vienna,22,spanish,1,131660
78,613,194,29,vienna,22,spanish,1,131660
79,530,105,13,vienna,22,spanish,1,131660
80,672,196,29,vienna,22,spanish,1,131660
81,846,199,36,vienna,22,spanish,1,131660
82,692,244,61,vienna,22,spanish,1,131660
83,11,168,52,vienna,22,spanish,1,131660
84,37,187,42,vienna,22,spanish,1,131660
85,927,188,35,vienna,22,spanish,1,131660
86,292,211,31,vienna,22,spanish,1,131660
87,184,274,53,vienna,22,spanish,1,131660
88,682,150,2,vienna,22,spanish,1,131660
89,610,79,19,vienna,22,spanish,1,131660
90,848,171,58,vienna,22,spanish,1,131660
91,890,83,7,vienna,22,spanish,1,131660
92,33,153,27,vienna,22,spanish,1,131660
93,456,166,22,vienna,22,spanish,1,131660
94,35,85,14,vienna,22,spanish,1,131660
95,565,290,52,vienna,22,spanish,1,131660
96,693,266,57,vienna,22,spanish,1,131660
97,226,113,12,vienna,22,spanish,1,131660
98,173,116,13,vienna,22,spanish,1,131660
99,354,96,16,vienna,22,spanish,1,131660
100,940,182,22,vienna,22,spanish,1,131660
101,446,113,0,vienna,22,spanish,1,131660
102,336,119,22,vienna,22,spanish,1,131660
103,210,104,30,vienna,22,spanish,1,131660
104,179,117,27,vienna,22,spanish,1,131660
105,68,162,23,vienna,22,spanish,1,131660
