,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,472,48,152,sofia,40,portuguese,0,131642
1,608,89,106,sofia,40,portuguese,0,131642
2,637,66,45,sofia,40,portuguese,0,131642
3,109,88,108,sofia,40,portuguese,0,131642
4,287,149,218,sofia,40,portuguese,0,131642
5,383,45,109,sofia,40,portuguese,0,131642
6,597,150,212,sofia,40,portuguese,0,131642
7,13,62,45,sofia,40,portuguese,0,131642
8,143,61,86,sofia,40,portuguese,0,131642
9,416,88,110,sofia,40,portuguese,0,131642
10,968,111,145,sofia,40,portuguese,0,131642
11,544,67,44,sofia,40,portuguese,0,131642
12,4,45,43,sofia,40,portuguese,0,131642
13,304,98,154,sofia,40,portuguese,0,131642
14,554,49,108,sofia,40,portuguese,0,131642
15,553,103,45,sofia,40,portuguese,0,131642
16,141,89,107,sofia,40,portuguese,0,131642
17,923,49,86,sofia,40,portuguese,0,131642
18,814,143,225,sofia,40,portuguese,0,131642
19,578,102,146,sofia,40,portuguese,0,131642
20,353,48,45,sofia,40,portuguese,0,131642
21,262,87,108,sofia,40,portuguese,0,131642
22,590,87,113,sofia,40,portuguese,0,131642
23,107,49,45,sofia,40,portuguese,0,131642
24,665,59,83,sofia,40,portuguese,0,131642
25,337,91,108,sofia,40,portuguese,0,131642
26,270,103,147,sofia,40,portuguese,0,131642
27,203,98,153,sofia,40,portuguese,0,131642
28,802,88,91,sofia,40,portuguese,0,131642
29,181,89,114,sofia,40,portuguese,0,131642
30,862,67,86,sofia,40,portuguese,0,131642
31,653,97,150,sofia,40,portuguese,0,131642
32,883,104,147,sofia,40,portuguese,0,131642
33,470,65,86,sofia,40,portuguese,0,131642
34,272,50,45,sofia,40,portuguese,0,131642
35,649,148,222,sofia,40,portuguese,0,131642
36,25,138,218,sofia,40,portuguese,0,131642
37,601,63,85,sofia,40,portuguese,0,131642
38,145,88,116,sofia,40,portuguese,0,131642
39,574,66,45,sofia,40,portuguese,0,131642
40,984,66,46,sofia,40,portuguese,0,131642
41,459,91,107,sofia,40,portuguese,0,131642
42,201,88,106,sofia,40,portuguese,0,131642
43,815,154,212,sofia,40,portuguese,0,131642
44,764,66,43,sofia,40,portuguese,0,131642
45,302,66,108,sofia,40,portuguese,0,131642
46,799,45,46,sofia,40,portuguese,0,131642
47,190,50,43,sofia,40,portuguese,0,131642
48,137,47,45,sofia,40,portuguese,0,131642
49,208,67,42,sofia,40,portuguese,0,131642
50,871,88,111,sofia,40,portuguese,0,131642
51,44,48,42,sofia,40,portuguese,0,131642
52,899,87,108,sofia,40,portuguese,0,131642
53,542,67,85,sofia,40,portuguese,0,131642
