,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,183,136,129,vilnius,36,portuguese,0,131642
1,394,62,80,vilnius,36,portuguese,0,131642
2,320,125,87,vilnius,36,portuguese,0,131642
3,740,116,88,vilnius,36,portuguese,0,131642
4,464,83,66,vilnius,36,portuguese,0,131642
5,813,126,80,vilnius,36,portuguese,0,131642
6,80,197,172,vilnius,36,portuguese,0,131642
7,155,84,67,vilnius,36,portuguese,0,131642
8,551,66,33,vilnius,36,portuguese,0,131642
9,18,56,37,vilnius,36,portuguese,0,131642
10,59,119,85,vilnius,36,portuguese,0,131642
11,881,143,125,vilnius,36,portuguese,0,131642
12,687,115,84,vilnius,36,portuguese,0,131642
13,667,112,84,vilnius,36,portuguese,0,131642
14,217,134,129,vilnius,36,portuguese,0,131642
15,247,143,117,vilnius,36,portuguese,0,131642
16,593,63,70,vilnius,36,portuguese,0,131642
17,406,59,32,vilnius,36,portuguese,0,131642
18,545,127,82,vilnius,36,portuguese,0,131642
19,490,117,79,vilnius,36,portuguese,0,131642
20,40,119,89,vilnius,36,portuguese,0,131642
21,355,88,76,vilnius,36,portuguese,0,131642
22,678,85,73,vilnius,36,portuguese,0,131642
23,279,58,35,vilnius,36,portuguese,0,131642
24,954,121,83,vilnius,36,portuguese,0,131642
25,654,144,116,vilnius,36,portuguese,0,131642
26,956,90,60,vilnius,36,portuguese,0,131642
27,819,133,130,vilnius,36,portuguese,0,131642
28,605,138,118,vilnius,36,portuguese,0,131642
29,409,90,68,vilnius,36,portuguese,0,131642
30,448,113,82,vilnius,36,portuguese,0,131642
31,362,86,66,vilnius,36,portuguese,0,131642
32,887,113,82,vilnius,36,portuguese,0,131642
33,533,137,113,vilnius,36,portuguese,0,131642
34,758,66,36,vilnius,36,portuguese,0,131642
35,498,85,68,vilnius,36,portuguese,0,131642
36,76,64,32,vilnius,36,portuguese,0,131642
37,161,123,96,vilnius,36,portuguese,0,131642
38,177,140,113,vilnius,36,portuguese,0,131642
39,215,81,32,vilnius,36,portuguese,0,131642
40,89,85,64,vilnius,36,portuguese,0,131642
41,516,194,180,vilnius,36,portuguese,0,131642
42,955,62,32,vilnius,36,portuguese,0,131642
43,589,63,38,vilnius,36,portuguese,0,131642
44,670,82,33,vilnius,36,portuguese,0,131642
45,189,112,92,vilnius,36,portuguese,0,131642
46,19,62,33,vilnius,36,portuguese,0,131642
47,72,61,34,vilnius,36,portuguese,0,131642
48,204,61,35,vilnius,36,portuguese,0,131642
49,408,115,87,vilnius,36,portuguese,0,131642
50,61,186,165,vilnius,36,portuguese,0,131642
51,198,115,84,vilnius,36,portuguese,0,131642
52,240,150,125,vilnius,36,portuguese,0,131642
53,356,83,88,vilnius,36,portuguese,0,131642
54,221,59,38,vilnius,36,portuguese,0,131642
55,896,62,63,vilnius,36,portuguese,0,131642
56,5,134,127,vilnius,36,portuguese,0,131642
57,935,67,34,vilnius,36,portuguese,0,131642
58,914,62,34,vilnius,36,portuguese,0,131642
59,187,137,139,vilnius,36,portuguese,0,131642
60,520,88,35,vilnius,36,portuguese,0,131642
61,976,88,35,vilnius,36,portuguese,0,131642
62,104,63,67,vilnius,36,portuguese,0,131642
63,74,124,82,vilnius,36,portuguese,0,131642
64,879,121,91,vilnius,36,portuguese,0,131642
65,451,117,90,vilnius,36,portuguese,0,131642
66,820,137,115,vilnius,36,portuguese,0,131642
67,974,116,82,vilnius,36,portuguese,0,131642
68,632,83,36,vilnius,36,portuguese,0,131642
69,568,88,76,vilnius,36,portuguese,0,131642
70,340,79,36,vilnius,36,portuguese,0,131642
71,623,190,161,vilnius,36,portuguese,0,131642
72,125,61,35,vilnius,36,portuguese,0,131642
73,118,91,67,vilnius,36,portuguese,0,131642
74,765,65,36,vilnius,36,portuguese,0,131642
75,607,125,77,vilnius,36,portuguese,0,131642
76,794,214,163,vilnius,36,portuguese,0,131642
77,136,89,64,vilnius,36,portuguese,0,131642
78,503,188,180,vilnius,36,portuguese,0,131642
79,950,80,34,vilnius,36,portuguese,0,131642
80,620,140,121,vilnius,36,portuguese,0,131642
81,502,90,67,vilnius,36,portuguese,0,131642
82,461,60,76,vilnius,36,portuguese,0,131642
83,84,196,172,vilnius,36,portuguese,0,131642
84,47,133,122,vilnius,36,portuguese,0,131642
85,294,66,37,vilnius,36,portuguese,0,131642
