,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,569,162,0,rome,1,dutch,1,131658
1,636,98,0,rome,1,dutch,1,131658
2,380,77,0,rome,1,dutch,1,131658
3,213,98,0,rome,1,dutch,1,131658
4,345,136,0,rome,1,dutch,1,131658
5,453,386,1,rome,1,dutch,1,131658
6,3,72,0,rome,1,dutch,1,131658
7,993,262,1,rome,1,dutch,1,131658
8,929,386,1,rome,1,dutch,1,131658
9,913,167,1,rome,1,dutch,1,131658
10,139,77,0,rome,1,dutch,1,131658
11,641,162,0,rome,1,dutch,1,131658
12,341,112,1,rome,1,dutch,1,131658
13,696,98,0,rome,1,dutch,1,131658
14,344,65,3,rome,1,dutch,1,131658
15,786,380,1,rome,1,dutch,1,131658
16,374,102,0,rome,1,dutch,1,131658
17,328,72,0,rome,1,dutch,1,131658
18,701,66,3,rome,1,dutch,1,131658
19,42,254,1,rome,1,dutch,1,131658
20,381,135,0,rome,1,dutch,1,131658
21,232,77,0,rome,1,dutch,1,131658
22,621,77,0,rome,1,dutch,1,131658
23,671,141,0,rome,1,dutch,1,131658
24,694,149,0,rome,1,dutch,1,131658
25,864,151,1,rome,1,dutch,1,131658
26,651,105,1,rome,1,dutch,1,131658
27,763,121,0,rome,1,dutch,1,131658
28,659,266,1,rome,1,dutch,1,131658
29,537,177,1,rome,1,dutch,1,131658
30,856,74,0,rome,1,dutch,1,131658
31,144,80,0,rome,1,dutch,1,131658
32,563,193,0,rome,1,dutch,1,131658
33,48,72,0,rome,1,dutch,1,131658
34,725,190,0,rome,1,dutch,1,131658
35,550,79,0,rome,1,dutch,1,131658
36,897,388,1,rome,1,dutch,1,131658
37,324,166,0,rome,1,dutch,1,131658
38,206,175,6,rome,1,dutch,1,131658
39,330,378,1,rome,1,dutch,1,131658
40,437,100,0,rome,1,dutch,1,131658
41,586,277,0,rome,1,dutch,1,131658
42,874,275,1,rome,1,dutch,1,131658
43,114,148,1,rome,1,dutch,1,131658
44,907,142,0,rome,1,dutch,1,131658
45,473,279,0,rome,1,dutch,1,131658
46,953,156,0,rome,1,dutch,1,131658
47,739,279,1,rome,1,dutch,1,131658
48,796,159,0,rome,1,dutch,1,131658
49,991,175,1,rome,1,dutch,1,131658
50,51,163,0,rome,1,dutch,1,131658
51,486,178,1,rome,1,dutch,1,131658
52,396,133,0,rome,1,dutch,1,131658
53,686,114,0,rome,1,dutch,1,131658
54,854,380,1,rome,1,dutch,1,131658
55,773,78,4,rome,1,dutch,1,131658
56,471,146,23,rome,1,dutch,1,131658
57,296,71,0,rome,1,dutch,1,131658
58,774,250,1,rome,1,dutch,1,131658
59,906,142,0,rome,1,dutch,1,131658
60,485,85,0,rome,1,dutch,1,131658
61,178,365,1,rome,1,dutch,1,131658
62,838,164,0,rome,1,dutch,1,131658
63,944,274,0,rome,1,dutch,1,131658
64,38,98,0,rome,1,dutch,1,131658
65,816,77,4,rome,1,dutch,1,131658
66,242,279,1,rome,1,dutch,1,131658
67,156,73,0,rome,1,dutch,1,131658
68,932,136,0,rome,1,dutch,1,131658
69,804,161,0,rome,1,dutch,1,131658
70,824,345,1,rome,1,dutch,1,131658
71,170,163,0,rome,1,dutch,1,131658
72,552,97,0,rome,1,dutch,1,131658
73,347,80,0,rome,1,dutch,1,131658
74,850,277,1,rome,1,dutch,1,131658
75,714,74,0,rome,1,dutch,1,131658
76,759,252,1,rome,1,dutch,1,131658
77,536,124,0,rome,1,dutch,1,131658
78,677,266,1,rome,1,dutch,1,131658
79,555,164,0,rome,1,dutch,1,131658
80,228,136,0,rome,1,dutch,1,131658
81,273,142,0,rome,1,dutch,1,131658
82,361,163,0,rome,1,dutch,1,131658
83,469,85,0,rome,1,dutch,1,131658
84,386,104,0,rome,1,dutch,1,131658
85,712,279,1,rome,1,dutch,1,131658
86,668,117,0,rome,1,dutch,1,131658
87,566,214,1,rome,1,dutch,1,131658
88,73,282,1,rome,1,dutch,1,131658
89,947,152,1,rome,1,dutch,1,131658
90,112,77,0,rome,1,dutch,1,131658
91,151,305,2,rome,1,dutch,1,131658
92,681,167,0,rome,1,dutch,1,131658
93,496,75,1,rome,1,dutch,1,131658
94,840,99,8,rome,1,dutch,1,131658
95,895,310,1,rome,1,dutch,1,131658
96,843,386,1,rome,1,dutch,1,131658
97,728,271,0,rome,1,dutch,1,131658
98,452,271,1,rome,1,dutch,1,131658
99,281,162,0,rome,1,dutch,1,131658
100,180,74,0,rome,1,dutch,1,131658
101,286,115,3,rome,1,dutch,1,131658
102,934,77,0,rome,1,dutch,1,131658
103,129,117,0,rome,1,dutch,1,131658
104,293,72,0,rome,1,dutch,1,131658
105,364,167,0,rome,1,dutch,1,131658
106,390,196,0,rome,1,dutch,1,131658
107,644,71,0,rome,1,dutch,1,131658
108,781,72,0,rome,1,dutch,1,131658
109,543,256,1,rome,1,dutch,1,131658
110,316,191,0,rome,1,dutch,1,131658
111,650,76,0,rome,1,dutch,1,131658
112,751,249,1,rome,1,dutch,1,131658
113,191,163,0,rome,1,dutch,1,131658
114,642,78,0,rome,1,dutch,1,131658
115,513,78,0,rome,1,dutch,1,131658
116,298,164,0,rome,1,dutch,1,131658
117,769,80,0,rome,1,dutch,1,131658
118,260,105,0,rome,1,dutch,1,131658
119,583,73,0,rome,1,dutch,1,131658
